full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
DANCOMECH HOLDINGS BERHAD,5276, Main Market,Industrial Products & Services ,0.335 - 0.605,12.85,12,5.04,0.77,0.0129,1.52,26.82,2.0,177.3M,Neutral 69.6,Overbought 91.3
RUBBEREX CORPORATION (M) BERHAD,7803, Main Market,Industrial Products & Services ,0.430 - 0.655,3.55,15,3.05,1.75,0.038,0.53,139.99,0.0,116.0M,Neutral 50.6,Neutral 66.7
XOX BHD,0165, Ace Market,Telecommunications & Media ,0.050 - 0.105,-8.64,-5,-0.96,0.0,0.0,0.45,20.26,0.0,54.6M,Neutral 42.2,Oversold 0.0
GREEN PACKET BERHAD,0082, Main Market,Telecommunications & Media ,0.280 - 0.460,-30.19,-4,-7.31,0.0,0.0,1.3,43.92,1.0,286.3M,Neutral 37.1,Oversold 5.9
PMB TECHNOLOGY BERHAD,7172, Main Market,Industrial Products & Services ,2.180 - 4.700,2.61,55,5.77,1.93,0.006,1.45,275.2,1.0,517.2M,Neutral 46.1,Neutral 52.4
JCBNEXT BERHAD,0058, Main Market,Industrial Products & Services ,1.340 - 1.780,3.06,21,7.28,0.0,0.0,0.64,6.19,25.0,209.4M,Neutral 47.9,Neutral 40.0
JOHORE TIN BERHAD,7167, Main Market,Consumer Products & Services ,0.835 - 1.480,12.33,11,12.58,5.0,0.0362,1.35,161.41,1.0,428.4M,Neutral 61.9,Neutral 54.5
FAVELLE FAVCO BERHAD,7229, Main Market,Industrial Products & Services ,2.200 - 2.830,9.7,10,28.91,0.0,0.0,0.95,239.61,1.0,626.6M,Overbought 83.8,Overbought 100.0
SHH RESOURCES HOLDINGS BERHAD,7412, Main Market,Consumer Products & Services ,0.470 - 0.980,-13.38,-3,-19.4,0.0,0.0,0.34,229.02,0.0,25.0M,Neutral 39.6,Neutral 42.9
SERSOL BERHAD,0055, Ace Market,Industrial Products & Services ,0.080 - 0.180,-4.38,-29,-0.35,0.0,0.0,1.25,8.37,1.0,21.5M,Neutral 49.6,Neutral 66.7
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351, Main Market,Consumer Products & Services ,5.600 - 8.520,25.12,19,33.16,27.5,0.0448,4.65,591.46,1.0,"1,009.3M",Neutral 56.7,Neutral 68.0
MB WORLD GROUP BERHAD,7189, Main Market,Property ,1.540 - 2.080,20.72,5,32.32,10.0,0.061,1.05,182.37,1.0,258.1M,Neutral 43.4,Oversold 20.0
PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869, Main Market,Industrial Products & Services ,3.800 - 5.260,19.5,28,15.68,6.3,0.0146,5.37,228.59,2.0,"17,355.9M",Neutral 51.7,Neutral 61.9
PETRONAS DAGANGAN BHD,5681, Main Market,Consumer Products & Services ,23.000 - 28.480,14.4,31,85.55,70.0,0.0264,4.46,3026.69,1.0,"26,326.5M",Neutral 50.0,Neutral 30.8
MULTI-USAGE HOLDINGS BERHAD,9539, Main Market,Property ,0.390 - 0.600,-5.99,-7,-7.01,0.0,0.0,0.41,20.12,2.0,27.1M,Neutral 55.3,Overbought 100.0
CAREPLUS GROUP BERHAD,0163, Ace Market,Health Care ,0.170 - 0.270,-1.41,-63,-0.27,0.0,0.0,0.89,63.74,0.0,90.3M,Neutral 31.6,Oversold 0.0
RCE CAPITAL BERHAD,9296, Main Market,Financial Services ,1.060 - 1.720,16.06,6,26.34,8.0,0.0476,1.02,71.78,2.0,604.8M,Neutral 69.3,Overbought 87.5
PAN MALAYSIA HOLDINGS BERHAD,1287, Main Market,Consumer Products & Services ,0.045 - 0.210,-3.29,-30,-0.17,0.0,0.0,0.97,0.87,6.0,46.4M,Oversold 28.1,Neutral 25.0
GENETEC TECHNOLOGY BERHAD,0104, Ace Market,Technology ,1.150 - 2.050,11.41,8,21.8,5.0,0.0282,0.93,265.43,1.0,74.6M,Neutral 39.8,Oversold 6.7
FOCUS LUMBER BERHAD,5197, Main Market,Industrial Products & Services ,0.980 - 1.870,15.12,6,26.92,14.0,0.0838,0.94,192.7,1.0,176.3M,Neutral 45.0,Oversold 10.5
FOCUS POINT HOLDINGS BERHAD,0157, Ace Market,Consumer Products & Services ,0.160 - 0.445,12.38,9,4.3,1.0,0.025,1.15,108.65,0.0,66.0M,Overbought 72.8,Overbought 84.2
DKLS INDUSTRIES BHD,7528, Main Market,Construction ,1.560 - 1.860,1.4,29,5.97,0.0,0.0,0.4,234.66,1.0,158.5M,Neutral 43.5,Neutral 55.0
CWG HOLDINGS BERHAD,9423, Main Market,Consumer Products & Services ,0.415 - 0.540,6.33,10,4.24,1.49,0.0355,0.63,79.98,1.0,53.0M,Neutral 43.5,Oversold 14.3
B.I.G. INDUSTRIES BERHAD,7005, Main Market,Industrial Products & Services ,0.260 - 0.500,2.03,32,1.4,0.0,0.0,0.65,97.39,0.0,21.6M,Neutral 63.1,Neutral 70.6
IJM CORPORATION BERHAD,3336, Main Market,Construction ,1.390 - 2.980,2.03,38,5.21,5.0,0.0251,0.77,155.66,1.0,"7,235.0M",Neutral 60.3,Overbought 95.8
INTA BINA GROUP BERHAD,0192, Main Market,Construction ,0.250 - 0.370,17.84,7,3.96,0.0,0.0,1.22,71.57,0.0,144.5M,Neutral 40.4,Oversold 0.0
EVERSAFE RUBBER BERHAD,0190, Ace Market,Industrial Products & Services ,0.170 - 0.375,1.39,62,0.35,1.8,0.0818,0.88,46.66,0.0,52.9M,Neutral 48.9,Neutral 33.3
DATAPREP HOLDINGS BHD,8338, Main Market,Technology ,0.175 - 0.295,-39.0,-11,-1.95,0.0,0.0,4.2,8.97,2.0,88.5M,Neutral 45.1,Neutral 28.6
PLENITUDE BERHAD,5075, Main Market,Property ,1.350 - 1.650,3.13,12,12.69,4.5,0.0304,0.36,63.27,2.0,564.7M,Neutral 54.3,Neutral 50.0
UMS-NEIKEN GROUP BERHAD,7227, Main Market,Industrial Products & Services ,0.810 - 1.100,8.05,10,10.06,3.0,0.0288,0.83,91.6,1.0,83.2M,Neutral 52.5,Neutral 79.3
WIDETECH (MALAYSIA) BERHAD,7692, Main Market,Industrial Products & Services ,0.460 - 0.655,4.83,14,3.96,0.0,0.0,0.66,17.9,3.0,24.2M,Neutral 44.8,Oversold 20.0
IGB BERHAD,5606, Main Market,Property ,2.200 - 3.080,6.85,7,34.18,2.0,0.008,0.5,188.83,1.0,"1,723.8M",Neutral 51.7,Overbought 80.0
IJM PLANTATIONS BERHAD,2216, Main Market,Plantation ,1.300 - 2.610,-2.99,-38,-4.52,5.0,0.0294,1.13,68.98,2.0,"1,497.0M",Neutral 46.4,Oversold 15.4
CYCLE & CARRIAGE BINTANG BERHAD,2925, Main Market,Consumer Products & Services ,1.440 - 2.180,7.61,7,22.15,0.0,0.0,0.54,1502.11,0.0,158.2M,Neutral 48.4,Neutral 77.8
KNUSFORD BERHAD,5035, Main Market,Industrial Products & Services ,0.350 - 0.810,-13.77,-2,-29.3,0.0,0.0,0.22,209.86,0.0,46.8M,Neutral 44.3,Neutral 63.2
LION FOREST INDUSTRIES BERHAD,8486, Main Market,Industrial Products & Services ,0.405 - 0.775,1.07,17,2.52,0.0,0.0,0.18,167.5,0.0,99.6M,Neutral 49.3,Neutral 21.1
UPA CORPORATION BHD,7757, Main Market,Consumer Products & Services ,2.050 - 2.560,3.52,19,11.52,0.0,0.0,0.66,204.5,1.0,171.9M,Neutral 52.4,Neutral 72.7
TROPICANA CORPORATION BERHAD,5401, Main Market,Property ,0.805 - 0.930,4.9,8,11.56,2.78,0.0312,0.38,111.23,1.0,"1,308.7M",Neutral 58.8,Overbought 100.0
OCK GROUP BERHAD,0172, Main Market,Telecommunications & Media ,0.400 - 0.815,5.63,21,2.76,0.0,0.0,1.17,52.48,1.0,501.1M,Neutral 56.4,Neutral 46.7
COMPUTER FORMS (MALAYSIA) BERHAD,8044, Main Market,Industrial Products & Services ,0.900 - 1.360,-10.76,-10,-12.27,0.0,0.0,1.1,91.34,1.0,51.3M,Neutral 53.9,Neutral 55.0
MALTON BERHAD,6181, Main Market,Property ,0.390 - 0.935,1.49,20,2.58,2.0,0.0392,0.29,163.41,0.0,269.4M,Neutral 50.4,Neutral 33.3
AMVERTON BERHAD,5959, Main Market,Property ,0.870 - 1.220,10.55,5,20.67,0.0,0.0,0.52,32.64,3.0,372.4M,Neutral 57.2,Neutral 71.4
MENANG CORPORATION (M) BERHAD,1694, Main Market,Property ,0.340 - 0.545,3.73,16,2.39,0.0,0.0,0.59,11.41,3.0,182.7M,Neutral 47.0,Neutral 60.0
ENG KAH CORPORATION BERHAD,7149, Main Market,Consumer Products & Services ,0.935 - 1.500,9.04,11,9.22,3.0,0.0286,1.03,81.72,1.0,74.3M,Neutral 51.7,Neutral 64.3
TEO GUAN LEE CORPORATION BERHAD,9369, Main Market,Consumer Products & Services ,0.880 - 1.100,7.26,6,15.25,5.0,0.0526,0.45,219.48,0.0,38.7M,Neutral 43.3,Oversold 6.7
YGL CONVERGENCE BERHAD,0086, Ace Market,Technology ,0.100 - 0.170,-14.07,-12,-1.01,0.0,0.0,1.67,1.48,8.0,27.9M,Neutral 55.3,Neutral 40.0
THETA EDGE BERHAD,9075, Main Market,Technology ,0.240 - 0.450,-2.38,-30,-1.5,0.0,0.0,0.71,65.71,1.0,47.7M,Overbought 71.8,Overbought 93.8
KELINGTON GROUP BERHAD,0151, Main Market,Industrial Products & Services ,0.600 - 1.340,14.58,19,6.48,1.0,0.008,2.81,122.51,1.0,356.3M,Neutral 53.6,Neutral 30.8
SEG INTERNATIONAL BHD,9792, Main Market,Consumer Products & Services ,0.605 - 0.680,45.47,19,3.33,2.7,0.0429,8.6,19.95,3.0,796.7M,Neutral 32.7,Oversold 0.0
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,7178, Main Market,Health Care ,2.330 - 3.390,9.62,13,21.94,0.0,0.0,1.27,208.71,1.0,401.2M,Neutral 58.7,Neutral 65.2
TSR CAPITAL BERHAD,5042, Main Market,Construction ,0.295 - 0.580,-0.89,-43,-0.93,0.0,0.0,0.38,151.83,0.0,69.8M,Neutral 48.4,Oversold 11.1
PARKSON HOLDINGS BERHAD,5657, Main Market,Consumer Products & Services ,0.225 - 0.650,-5.96,-2,-11.63,0.0,0.0,0.13,363.74,0.0,273.5M,Neutral 52.9,Neutral 55.6
SCANWOLF CORPORATION BERHAD,7239, Main Market,Industrial Products & Services ,0.140 - 0.350,-16.51,-3,-6.44,0.0,0.0,0.45,50.87,0.0,16.8M,Neutral 52.3,Overbought 87.5
METROD HOLDINGS BERHAD,6149, Main Market,Industrial Products & Services ,1.540 - 1.800,2.15,22,7.58,6.0,0.0353,0.48,2389.58,0.0,204.0M,Neutral 55.2,Neutral 76.2
SPRITZER BHD,7103, Main Market,Consumer Products & Services ,2.000 - 2.460,6.23,19,11.54,0.0,0.0,1.18,165.57,1.0,457.8M,Neutral 58.8,Overbought 81.8
OPCOM HOLDINGS BERHAD,0035, Ace Market,Telecommunications & Media ,0.325 - 1.170,7.66,15,4.24,1.25,0.0192,1.17,55.92,1.0,104.8M,Neutral 47.8,Neutral 26.9
AJINOMOTO (MALAYSIA) BERHAD,2658, Main Market,Consumer Products & Services ,17.740 - 25.500,13.11,19,97.77,46.5,0.025,2.49,729.13,3.0,"1,130.9M",Neutral 46.3,Neutral 23.1
KKB ENGINEERING BERHAD,9466, Main Market,Industrial Products & Services ,0.780 - 1.270,5.9,17,6.84,0.0,0.0,1.02,160.0,1.0,304.2M,Neutral 62.1,Neutral 62.5
PARAGON GLOBE BERHAD,3611, Main Market,Industrial Products & Services ,1.000 - 1.400,-1.52,-56,-1.96,0.0,0.0,0.85,20.48,5.0,205.3M,Neutral 51.3,Overbought 100.0
DUFU TECHNOLOGY CORP. BERHAD,7233, Main Market,Industrial Products & Services ,0.940 - 4.070,29.41,8,19.7,1.56,0.0096,2.43,91.73,2.0,429.0M,Neutral 43.4,Oversold 12.5
NOTION VTEC BERHAD,0083, Main Market,Technology ,0.515 - 0.790,17.78,3,21.45,1.0,0.0174,0.48,78.4,1.0,191.6M,Neutral 40.8,Oversold 12.0
HAP SENG PLANTATIONS HOLDINGS BERHAD,5138, Main Market,Plantation ,1.610 - 2.530,1.78,51,3.64,2.5,0.0134,0.91,48.84,4.0,"1,496.0M",Neutral 49.3,Oversold 10.0
AWC BERHAD,7579, Main Market,Industrial Products & Services ,0.600 - 0.930,12.96,9,8.45,0.47,0.0061,1.17,112.5,1.0,220.2M,Neutral 60.4,Neutral 73.7
CAHYA MATA SARAWAK BERHAD,2852, Main Market,Industrial Products & Services ,1.740 - 4.400,10.39,13,24.73,0.0,0.0,1.34,159.34,2.0,"3,416.5M",Neutral 66.3,Overbought 84.6
RHONE MA HOLDINGS BERHAD,5278, Main Market,Consumer Products & Services ,0.700 - 1.000,9.62,14,5.51,0.91,0.0121,1.31,74.06,1.0,137.0M,Neutral 50.3,Neutral 46.2
TECHFAST HOLDINGS BERHAD,0084, Ace Market,Industrial Products & Services ,0.260 - 0.565,15.28,19,1.74,0.5,0.0149,2.94,13.33,3.0,76.4M,Neutral 49.4,Neutral 27.8
UZMA BERHAD,7250, Main Market,Energy ,0.550 - 1.570,4.07,16,6.22,0.0,0.0,0.67,114.84,1.0,326.4M,Neutral 69.9,Neutral 78.3
SBC CORPORATION BERHAD,5207, Main Market,Property ,0.400 - 0.630,2.21,13,3.78,0.0,0.0,0.3,48.51,1.0,130.4M,Neutral 50.1,Neutral 60.0
STAR MEDIA GROUP BERHAD,6084, Main Market,Telecommunications & Media ,0.620 - 1.310,0.63,110,0.71,3.0,0.0382,0.69,53.17,1.0,579.8M,Neutral 61.9,Neutral 50.0
HIL INDUSTRIES BERHAD,8443, Main Market,Industrial Products & Services ,0.465 - 0.800,5.16,11,5.11,0.0,0.0,0.55,31.56,2.0,182.0M,Neutral 63.7,Overbought 88.2
QES GROUP BERHAD,0196, Ace Market,Industrial Products & Services ,0.165 - 0.380,15.5,13,1.86,0.0,0.0,2.0,25.46,1.0,182.0M,Neutral 52.1,Neutral 33.3
MANAGEPAY SYSTEMS BERHAD,0156, Ace Market,Technology ,0.100 - 0.210,-8.62,-11,-1.12,0.0,0.0,0.96,1.82,7.0,88.8M,Neutral 52.3,Neutral 33.3
UCHI TECHNOLOGIES BERHAD,7100, Main Market,Industrial Products & Services ,2.200 - 3.370,45.03,18,15.31,7.0,0.0249,8.26,31.05,9.0,"1,266.7M",Neutral 58.6,Neutral 63.2
MPHB CAPITAL BERHAD,5237, Main Market,Financial Services ,1.010 - 1.410,0.92,62,1.74,0.0,0.0,0.57,64.73,2.0,772.2M,Neutral 49.5,Neutral 38.9
GENTING PLANTATIONS BERHAD,2291, Main Market,Plantation ,9.050 - 10.780,3.98,51,20.4,4.75,0.0046,2.03,235.46,4.0,"8,404.7M",Neutral 51.5,Neutral 24.0
SCICOM (MSC) BERHAD,0099, Main Market,Industrial Products & Services ,0.900 - 2.160,23.29,18,6.52,8.5,0.0708,4.29,43.55,3.0,426.5M,Neutral 44.1,Oversold 10.0
CHIN WELL HOLDINGS BERHAD,5007, Main Market,Industrial Products & Services ,1.490 - 2.000,10.4,9,20.08,8.6,0.0478,0.93,211.76,1.0,539.2M,Neutral 58.0,Neutral 44.4
NAIM HOLDINGS BERHAD,5073, Main Market,Property ,0.430 - 1.070,5.8,8,12.59,0.0,0.0,0.44,113.26,1.0,485.5M,Overbought 71.5,Neutral 72.9
TOMYPAK HOLDINGS BERHAD,7285, Main Market,Industrial Products & Services ,0.480 - 0.865,-0.96,-109,-0.44,0.0,0.0,1.05,40.1,1.0,203.6M,Oversold 26.6,Oversold 3.2
DOLOMITE CORPORATION BERHAD,5835, Main Market,Industrial Products & Services ,0.100 - 0.295,-375.82,0,-41.34,0.0,0.0,1.0,23.7,0.0,31.3M,Neutral 44.9,Neutral 40.0
FIAMMA HOLDINGS BERHAD,6939, Main Market,Consumer Products & Services ,0.430 - 0.570,6.72,8,6.32,2.25,0.0433,0.55,65.25,1.0,275.6M,Neutral 56.5,Neutral 50.0
ESTHETICS INTERNATIONAL GROUP BERHAD,5081, Main Market,Consumer Products & Services ,0.540 - 0.695,4.79,18,3.59,3.0,0.0458,0.87,71.49,1.0,155.4M,Neutral 58.9,Overbought 88.9
AYS VENTURES BERHAD,5021, Main Market,Industrial Products & Services ,0.320 - 0.435,6.78,7,4.88,1.0,0.0286,0.49,155.28,0.0,133.1M,Neutral 49.9,Neutral 37.5
HENG HUAT RESOURCES GROUP BERHAD,0175, Ace Market,Industrial Products & Services ,0.115 - 0.235,-4.44,-12,-1.03,0.0,0.0,0.52,33.78,0.0,40.7M,Neutral 37.8,Oversold 20.0
WMG HOLDINGS BERHAD,6378, Main Market,Property ,0.105 - 0.250,-8.13,-2,-5.31,0.0,0.0,0.18,5.91,2.0,51.1M,Neutral 44.8,Neutral 25.0
CSC STEEL HOLDINGS BERHAD,5094, Main Market,Industrial Products & Services ,0.975 - 1.440,2.64,19,5.76,0.0,0.0,0.49,363.78,0.0,406.6M,Neutral 41.2,Oversold 13.3
JAG BERHAD,0024, Ace Market,Industrial Products & Services ,0.035 - 0.090,1.3,41,0.12,0.0,0.0,0.54,10.19,0.0,75.8M,Neutral 40.6,Neutral 33.3
PRG HOLDINGS BERHAD,7168, Main Market,Consumer Products & Services ,0.700 - 0.920,-6.67,-26,-2.84,0.0,0.0,1.75,46.06,2.0,240.4M,Oversold 28.6,Neutral 50.0
ABM FUJIYA BERHAD,5198, Main Market,Industrial Products & Services ,0.370 - 0.740,2.72,21,2.39,0.0,0.0,0.58,62.24,1.0,91.8M,Neutral 48.9,Neutral 36.7
ONLY WORLD GROUP HOLDINGS BERHAD,5260, Main Market,Consumer Products & Services ,0.460 - 1.230,5.29,13,4.98,0.0,0.0,0.66,48.98,1.0,173.2M,Neutral 52.7,Oversold 14.8
SUCCESS TRANSFORMER CORPORATION BERHAD,7207, Main Market,Industrial Products & Services ,0.520 - 1.060,1.69,31,2.4,2.41,0.0328,0.52,128.81,1.0,182.6M,Overbought 70.8,Overbought 86.7
GLOBALTEC FORMATION BERHAD,5220, Main Market,Industrial Products & Services ,0.025 - 0.700,1.4,36,1.32,0.0,0.0,0.5,76.84,1.0,126.5M,Neutral 40.0,Neutral 37.5
SEREMBAN ENGINEERING BERHAD,5163, Main Market,Industrial Products & Services ,0.180 - 0.480,-31.42,-5,-9.74,0.0,0.0,1.44,81.58,1.0,35.6M,Overbought 78.3,Overbought 85.7
MERCURY INDUSTRIES BERHAD,8192, Main Market,Construction ,0.860 - 1.540,1.83,26,3.35,0.0,0.0,0.47,260.96,0.0,34.6M,Neutral 38.5,Oversold 0.0
CLASSIC SCENIC BERHAD,7202, Main Market,Consumer Products & Services ,1.050 - 1.580,7.59,19,6.0,6.0,0.0531,1.43,52.19,2.0,136.2M,Neutral 56.8,Neutral 71.4
VITROX CORPORATION BERHAD,0097, Main Market,Technology ,4.850 - 8.520,25.51,32,22.42,1.75,0.0024,8.27,83.87,9.0,"3,421.1M",Neutral 69.9,Overbought 88.6
COASTAL CONTRACTS BHD,5071, Main Market,Energy ,0.735 - 1.370,-45.42,-1,-103.19,0.0,0.0,0.59,26.68,5.0,707.0M,Overbought 80.5,Overbought 89.2
TASEK CORPORATION BERHAD,4448, Main Market,Industrial Products & Services ,4.050 - 8.500,-4.01,-28,-17.64,20.0,0.0404,1.13,448.77,1.0,611.9M,Neutral 60.0,Neutral 48.6
MERGE ENERGY BHD,5006, Main Market,Construction ,0.240 - 1.500,-18.21,-10,-13.11,0.0,0.0,1.82,66.38,2.0,87.8M,Overbought 75.7,Neutral 70.1
UEM SUNRISE BERHAD,5148, Main Market,Property ,0.620 - 1.030,3.96,14,6.18,0.0,0.0,0.54,45.05,2.0,"3,788.8M",Neutral 58.1,Neutral 43.8
NESTLE (MALAYSIA) BERHAD,4707, Main Market,Consumer Products & Services ,125.000 - 163.000,100.71,53,280.98,415.0,0.0281,52.97,2353.54,6.0,"34,659.1M",Neutral 46.9,Neutral 31.7
TELEKOM MALAYSIA BERHAD,4863, Main Market,Telecommunications & Media ,2.110 - 5.780,2.04,78,4.08,2.0,0.0063,1.59,314.52,1.0,"11,950.2M",Neutral 65.2,Neutral 75.6
ATURMAJU RESOURCES BERHAD,7181, Main Market,Industrial Products & Services ,0.035 - 0.600,17.9,8,5.22,0.0,0.0,1.42,18.84,2.0,33.6M,Neutral 56.6,Neutral 57.4
ATA IMS BERHAD,8176, Main Market,Industrial Products & Services ,1.340 - 1.880,21.0,18,9.45,0.0,0.0,3.84,229.61,1.0,"1,984.3M",Neutral 47.1,Neutral 31.3
MALAYAN BANKING BERHAD,1155, Main Market,Financial Services ,8.680 - 11.080,10.77,13,73.43,25.0,0.0262,1.4,428.25,2.0,"105,303.5M",Neutral 50.0,Neutral 35.0
HOCK SENG LEE BERHAD,6238, Main Market,Construction ,1.290 - 1.650,6.54,16,9.23,1.0,0.0069,1.02,104.75,1.0,839.1M,Neutral 43.1,Oversold 5.6
HONG LEONG FINANCIAL GROUP BERHAD,1082, Main Market,Financial Services ,17.380 - 20.400,10.45,12,169.42,40.0,0.0205,1.2,464.89,4.0,"22,376.6M",Neutral 45.2,Neutral 25.6
WELLCALL HOLDINGS BERHAD,7231, Main Market,Industrial Products & Services ,1.140 - 1.470,30.18,19,6.67,5.3,0.0408,5.88,35.01,4.0,647.3M,Neutral 63.3,Overbought 100.0
HONG LEONG BANK BERHAD,5819, Main Market,Financial Services ,17.560 - 21.660,10.45,17,125.03,48.0,0.0226,1.78,222.52,10.0,"46,042.3M",Neutral 60.4,Neutral 43.2
HONG LEONG CAPITAL BERHAD,5274, Main Market,Financial Services ,9.600 - 9.790,8.74,35,27.69,19.0,0.0198,3.03,118.96,8.0,"2,518.3M",Oversold 0.0,Neutral 50.0
GETS GLOBAL BERHAD,5079, Main Market,Consumer Products & Services ,0.100 - 0.245,-9.37,-4,-3.28,0.0,0.0,0.34,23.66,1.0,15.1M,Neutral 45.4,Oversold 16.7
TIMBERWELL BERHAD,7854, Main Market,Industrial Products & Services ,0.410 - 0.700,12.83,9,7.3,0.0,0.0,1.12,40.01,2.0,57.0M,Neutral 50.7,Neutral 79.3
REVENUE GROUP BERHAD,0200, Ace Market,Technology ,0.495 - 1.570,16.81,34,3.53,0.0,0.0,5.67,21.71,5.0,265.2M,Neutral 43.7,Oversold 6.3
SEDANIA INNOVATOR BERHAD,0178, Ace Market,Telecommunications & Media ,0.090 - 0.300,-16.55,-6,-1.93,0.0,0.0,1.03,5.47,2.0,27.1M,Neutral 50.0,Neutral 28.6
WAH SEONG CORPORATION BERHAD,5142, Main Market,Energy ,0.595 - 1.660,6.74,9,8.36,0.0,0.0,0.64,382.14,0.0,612.2M,Neutral 48.6,Neutral 27.0
DEGEM BERHAD,7119, Main Market,Consumer Products & Services ,0.920 - 1.100,-0.01,-15672,-0.01,1.0,0.0095,0.55,120.87,1.0,140.7M,Neutral 51.8,Neutral 61.5
G3 GLOBAL BERHAD,7184, Main Market,Consumer Products & Services ,0.600 - 0.950,-33.74,-19,-4.15,0.0,0.0,6.26,7.12,11.0,317.6M,Neutral 49.7,Neutral 50.0
EXCEL FORCE MSC BERHAD,0065, Main Market,Technology ,0.335 - 1.220,14.69,31,1.6,1.5,0.0306,4.5,5.53,9.0,203.1M,Neutral 45.6,Neutral 27.3
LAY HONG BERHAD,9385, Main Market,Consumer Products & Services ,0.325 - 0.990,1.88,47,0.92,0.5,0.0116,0.88,123.31,0.0,283.9M,Neutral 48.9,Neutral 30.0
SCOMI ENERGY SERVICES BHD,7045, Main Market,Energy ,0.030 - 0.115,-29.33,-1,-6.16,0.0,0.0,0.24,25.33,0.0,117.1M,Neutral 45.9,Neutral 33.3
TAN CHONG MOTOR HOLDINGS BERHAD,4405, Main Market,Consumer Products & Services ,1.330 - 1.910,3.45,11,15.03,2.0,0.0118,0.39,722.95,0.0,"1,135.7M",Neutral 67.8,Overbought 81.8
DELEUM BERHAD,5132, Main Market,Energy ,0.900 - 1.340,8.16,17,6.77,3.5,0.0313,1.35,155.48,1.0,449.3M,Neutral 50.2,Neutral 23.8
MEDIA CHINESE INTERNATIONAL LIMITED,5090, Main Market,Telecommunications & Media ,0.185 - 0.505,-5.93,-9,-2.69,1.46,0.0635,0.51,70.76,0.0,388.1M,Neutral 50.3,Neutral 30.0
DUTALAND BERHAD,3948, Main Market,Plantation ,0.435 - 0.650,30.0,1,46.2,5.0,0.10099999999999999,0.32,2.76,18.0,418.8M,Neutral 49.3,Neutral 28.6
LEE SWEE KIAT GROUP BERHAD,8079, Main Market,Consumer Products & Services ,0.525 - 1.090,19.09,16,6.11,2.5,0.0263,2.97,59.61,2.0,159.4M,Neutral 52.6,Neutral 40.0
OPENSYS (M) BERHAD,0040, Ace Market,Technology ,0.260 - 0.375,17.89,10,3.4,1.25,0.0379,1.74,32.01,1.0,98.3M,Neutral 51.5,Neutral 25.0
CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076, Main Market,Industrial Products & Services ,0.960 - 1.600,5.98,12,8.61,2.0,0.019,0.73,89.39,1.0,565.2M,Neutral 46.1,Neutral 30.8
M N C WIRELESS BERHAD,0103, Ace Market,Telecommunications & Media ,0.035 - 0.085,-8.87,-6,-0.7,0.0,0.0,0.51,3.47,1.0,19.1M,Neutral 37.6,Neutral 33.3
MALAYSIAN BULK CARRIERS BERHAD,5077, Main Market,Transportation & Logistics ,0.410 - 0.805,67.11,2,26.38,0.0,0.0,1.51,23.9,2.0,595.0M,Neutral 45.8,Oversold 4.0
IDIMENSION CONSOLIDATED BHD,0174, Ace Market,Technology ,0.020 - 0.110,-0.13,-72,-0.04,0.0,0.0,0.1,-11.88,0.0,8.2M,Neutral 60.6,Overbought 100.0
ASIAN PAC HOLDINGS BERHAD,4057, Main Market,Property ,0.110 - 0.165,3.8,3,3.65,0.0,0.0,0.12,14.9,1.0,119.3M,Neutral 45.8,Oversold 0.0
UEM EDGENTA BERHAD,1368, Main Market,Industrial Products & Services ,1.860 - 2.950,9.85,16,17.83,14.0,0.0481,1.61,262.45,1.0,"2,420.0M",Neutral 60.2,Overbought 85.0
YFG BERHAD,7122, Main Market,Industrial Products & Services ,0.005 - 0.025,12.63,0,-2.02,0.0,0.0,-0.03,0.56,1.0,3.0M,Oversold 25.0,Oversold 0.0
MMS VENTURES BERHAD,0113, Main Market,Technology ,0.660 - 1.720,15.71,22,4.4,1.79,0.0185,3.45,23.48,4.0,196.6M,Neutral 64.8,Overbought 85.3
CABNET HOLDINGS BERHAD,0191, Ace Market,Technology ,0.200 - 0.650,11.54,12,2.64,0.0,0.0,1.35,26.4,1.0,55.4M,Overbought 75.8,Overbought 85.0
TOYO INK GROUP BERHAD,7173, Main Market,Industrial Products & Services ,0.510 - 1.040,2.48,23,2.8,1.0,0.0156,0.57,85.13,1.0,68.5M,Neutral 50.9,Neutral 58.3
GROMUTUAL BERHAD,9962, Main Market,Property ,0.240 - 0.400,1.71,19,1.59,0.5,0.0169,0.32,13.52,2.0,110.8M,Neutral 55.5,Neutral 46.2
TFP SOLUTIONS BERHAD,0145, Ace Market,Technology ,0.085 - 0.210,-0.19,-10,-0.95,0.0,0.0,0.02,24.28,0.0,19.8M,Neutral 47.3,Neutral 25.0
SCC HOLDINGS BERHAD,0158, Ace Market,Consumer Products & Services ,0.470 - 0.560,16.62,10,4.98,3.4,0.0654,1.74,46.87,1.0,73.4M,Neutral 51.4,Neutral 37.5
OCB BERHAD,5533, Main Market,Consumer Products & Services ,0.300 - 0.580,-2.35,-8,-4.85,0.0,0.0,0.2,239.98,0.0,41.7M,Neutral 51.9,Neutral 70.0
