full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
ADVANCE SYNERGY BERHAD,1481, Main Market,Consumer Products & Services ,0.105 - 0.240,-1.17,-24,-0.53,0.0,0.0,0.28,30.52,0.0,116.1M,Neutral 48.2,Oversold 0.0
TANCO HOLDINGS BERHAD,2429, Main Market,Property ,0.045 - 0.145,-5.27,-4,-1.14,0.0,0.0,0.23,5.53,1.0,36.1M,Neutral 41.2,Oversold 0.0
,03002, Leap Market,Technology ,0.280 - 0.440,-117.5,-6,-4.7,0.0,0.0,7.0,2.28,12.0,28.0M,Neutral 32.1,Oversold 0.0
,03003, Leap Market,Consumer Products & Services ,0.515 - 0.560,28.39,10,5.47,3.9,0.0729,2.78,23.69,2.0,38.0M,Neutral 68.7,Neutral 50.0
KWANTAS CORPORATION BERHAD,6572, Main Market,Plantation ,0.800 - 1.520,-11.23,-2,-42.69,0.0,0.0,0.22,213.22,0.0,258.7M,Neutral 40.5,Neutral 27.3
EDARAN BERHAD,5036, Main Market,Technology ,0.335 - 0.840,22.33,5,11.66,0.0,0.0,1.08,221.83,0.0,33.9M,Neutral 52.5,Neutral 59.1
GOODWAY INTEGRATED INDUSTRIES BERHAD,7192, Main Market,Industrial Products & Services ,0.170 - 0.330,-7.86,-8,-2.83,0.0,0.0,0.61,83.69,0.0,24.3M,Neutral 54.6,Overbought 80.0
MANULIFE HOLDINGS BERHAD,1058, Main Market,Financial Services ,2.300 - 3.070,3.2,20,12.97,0.0,0.0,0.64,493.08,1.0,526.2M,Neutral 56.7,Overbought 100.0
PINEAPPLE RESOURCES BERHAD,0006, Ace Market,Technology ,0.240 - 0.730,0.09,535,0.05,0.0,0.0,0.49,119.28,0.0,12.9M,Neutral 42.0,Oversold 8.3
YEE LEE CORPORATION BHD,5584, Main Market,Consumer Products & Services ,1.800 - 2.360,5.94,10,19.56,0.0,0.0,0.57,585.59,0.0,358.3M,Neutral 52.1,Overbought 80.0
KUB MALAYSIA BERHAD,6874, Main Market,Industrial Products & Services ,0.225 - 0.530,0.37,206,0.21,0.0,0.0,0.76,95.21,0.0,242.1M,Neutral 54.7,Neutral 58.3
PANASONIC MANUFACTURING MALAYSIA BERHAD,3719, Main Market,Consumer Products & Services ,33.500 - 41.900,13.17,21,178.52,248.0,0.0653,2.8,1940.78,2.0,"2,308.3M",Neutral 46.9,Neutral 64.5
DIGISTAR CORPORATION BERHAD,0029, Main Market,Technology ,0.040 - 0.115,-32.09,-1,-3.09,0.0,0.0,0.47,8.38,1.0,29.6M,Neutral 45.1,Oversold 0.0
SMIS CORPORATION BERHAD,7132, Main Market,Industrial Products & Services ,0.370 - 0.540,-7.91,-5,-9.65,0.0,0.0,0.36,285.55,0.0,19.5M,Neutral 47.6,Neutral 40.6
C.I. HOLDINGS BERHAD,2828, Main Market,Consumer Products & Services ,1.450 - 2.180,8.88,13,11.19,10.0,0.069,1.15,1515.74,0.0,234.9M,Neutral 40.2,Oversold 0.0
COCOALAND HOLDINGS BERHAD,7205, Main Market,Consumer Products & Services ,1.830 - 2.730,13.12,15,13.51,6.0,0.0294,1.98,110.9,2.0,466.8M,Neutral 46.9,Oversold 9.1
CHUAN HUAT RESOURCES BHD,7016, Main Market,Industrial Products & Services ,0.230 - 0.485,2.51,8,4.71,1.1,0.0278,0.21,421.45,0.0,66.6M,Neutral 60.1,Overbought 90.0
MKH BERHAD,6114, Main Market,Property ,1.110 - 1.560,4.94,10,13.43,3.47,0.0259,0.49,196.96,1.0,786.0M,Overbought 72.8,Overbought 82.4
,03008, Leap Market,Technology ,0.230 - 0.430,28.11,17,2.53,1.0,0.0238,4.67,24.08,2.0,54.6M,Overbought 100.0,Neutral 50.0
PEGASUS HEIGHTS BERHAD,4464, Main Market,Property ,0.015 - 0.045,-23.69,-2,-1.27,0.0,0.0,0.47,0.57,4.0,45.0M,Neutral 59.3,Overbought 100.0
ADVANCECON HOLDINGS BERHAD,5281, Main Market,Construction ,0.250 - 0.770,5.87,15,2.64,1.0,0.0256,0.87,67.86,1.0,156.8M,Overbought 78.1,Overbought 93.3
KUANTAN FLOUR MILLS BHD,8303, Main Market,Consumer Products & Services ,0.080 - 0.225,7.72,-7,-3.01,0.0,0.0,-0.55,66.51,0.0,14.7M,Neutral 65.1,Overbought 90.5
LEBTECH BERHAD,9628, Main Market,Construction ,0.750 - 1.220,-0.55,-164,-0.52,0.0,0.0,0.9,24.78,3.0,116.7M,Neutral 39.8,Neutral 40.4
DAIMAN DEVELOPMENT BHD,5355, Main Market,Property ,1.950 - 3.020,1.65,32,9.32,5.0,0.0167,0.53,69.83,4.0,634.5M,Neutral 69.9,Neutral 66.7
