,code,date,news,extract_code,extracted_date
17499,https://www.klsescreener.com/v2/news/stock/0010,"TheStar27 Mar, 2019 12:56pm - 7 hours ago","KLCI extends fall; banks, telcos lead decline",0010,2019-03-27
17498,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew27 Mar, 2019 13:03pm - 7 hours ago",国行年报将出炉 ·马股半日跌6.46点,0010,2019-03-27
17497,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 13:13pm - 7 hours ago",跌至3个月低位后 马股收复部分失地,0010,2019-03-27
17496,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 14:00pm - 6 hours ago","IRIS Corp in pursuit of acquisitions, partners",0010,2019-03-27
8411,https://www.klsescreener.com/v2/news/stock/0010,"TheStar27 Mar, 2019 17:05pm - 1 week ago","Public Bank, Genting lead KLCI lower",0010,2019-03-27
17472,https://www.klsescreener.com/v2/news/stock/0010,"TheStar12 Mar, 2019 00:00am - 6 days ago","Proton expects sales of Persona, Iriz to increase 30%",0010,2019-03-12
8409,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 19:18pm - 1 week ago",缺乏催化剂 马股处于年内低位,0010,2019-03-27
8408,https://www.klsescreener.com/v2/news/stock/0010,"TheStar30 Mar, 2019 07:35am - 4 days ago",GHL’s petrol subsidy win a market surprise,0010,2019-03-30
17494,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 18:52pm - 1 hour ago",FBM KLCI at year’s low in the absence of positive catalysts,0010,2019-03-27
17478,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew28 Feb, 2019 09:50am - 2 weeks ago",IHH医保与兴业表现优良·马股稍涨,0010,2019-02-28
17479,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge26 Feb, 2019 14:00pm - 2 weeks ago","Insider Moves: Utusan Melayu (Malaysia) Bhd, TFP Solutions Bhd, Asia Media Group Bhd, XingHe Holdings Bhd, Cahya Mata Sarawak Bhd, Kronologi Asia Bhd",0010,2019-02-26
8354,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge16 Apr, 2019 14:00pm - 1 day ago","Insider Moves: Kian Joo Can Factory Bhd, Iris Corp Bhd, JMR Conglomeration Bhd, Muda Holdings Bhd, Straits Inter Logistics Bhd, Alam Maritim Resources Bhd",0010,2019-04-16
8353,https://www.klsescreener.com/v2/news/stock/0010,"TheStar16 Apr, 2019 18:22pm - 1 day ago",Will upbeat economic data make China tap the brakes on monetary easing?,0010,2019-04-16
17473,https://www.klsescreener.com/v2/news/stock/0010,"TheStar05 Mar, 2019 16:17pm - 1 week ago","China to slash taxes, boost lending to prop up slowing economy",0010,2019-03-05
17480,https://www.klsescreener.com/v2/news/stock/0010,"TheStar26 Feb, 2019 00:00am - 2 weeks ago",Debt is roaring back in China,0010,2019-02-26
17477,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 10:12am - 2 weeks ago",KLCI drifts lower in line with regional markets,0010,2019-02-28
17481,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge25 Feb, 2019 10:21am - 3 weeks ago",RF contribution expected to remain soft for Inari Amertron,0010,2019-02-25
17474,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 13:21pm - 2 weeks ago",区域情绪转为谨慎 马股跌0.25%,0010,2019-02-28
17476,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 10:38am - 2 weeks ago",马股跟随区域股市走低,0010,2019-02-28
8356,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge09 Apr, 2019 10:29am - 1 week ago","KLCI down 0.16% as IHH, MAHB drag",0010,2019-04-09
8355,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge09 Apr, 2019 11:07am - 1 week ago",IHH大马机场拖累马股挫0.16%,0010,2019-04-09
17475,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 13:01pm - 2 weeks ago",KLCI dips 0.25% as regional sentiment turns cautious,0010,2019-02-28
17470,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge15 Mar, 2019 10:52am - 3 days ago",追踪区域股市走势 马股止跌回扬,0010,2019-03-15
11816,https://www.klsescreener.com/v2/news/stock/0011,"TheEdge18 Mar, 2019 13:18pm - 1 month ago","Crest Builder, L&G, Brite-Tech, Carimin, Destini, Federal International, LB Aluminium, Marine & General, Master-Pack, Mieco, Minho, MSCM, Orion IXL, Public Packages",0011,2019-03-18
2066,https://www.klsescreener.com/v2/news/stock/0012,"Sinchew14 Mar, 2019 17:48pm - 3 weeks ago",证监会：IPO改善·股市升90亿·资金市场料增长1200亿,0012,2019-03-14
2067,https://www.klsescreener.com/v2/news/stock/0012,"Sinchew25 Feb, 2019 16:19pm - 1 month ago",边佳兰打造“东方鹿特丹”·油气业者摩拳擦掌,0012,2019-02-25
2065,https://www.klsescreener.com/v2/news/stock/0012,"Orientaldaily14 Mar, 2019 19:43pm - 3 weeks ago",今年資本市場平穩　集資額預計1200億,0012,2019-03-14
2064,https://www.klsescreener.com/v2/news/stock/0012,"TheEdge19 Mar, 2019 13:22pm - 3 weeks ago","Crest Builder, Eden, Three-A, Damansara Realty, Kian Joo, Komark, Magni-Tech, MTD, MSCM, QES, Thriven",0012,2019-03-19
2063,https://www.klsescreener.com/v2/news/stock/0012,"Nanyang19 Mar, 2019 23:55pm - 3 weeks ago",热门股:3A资源上挑RM1.04,0012,2019-03-19
2062,https://www.klsescreener.com/v2/news/stock/0012,"TheEdge20 Mar, 2019 10:37am - 3 weeks ago",Stock With Momentum: Three-A Resources,0012,2019-03-20
8803,https://www.klsescreener.com/v2/news/stock/0017,"Sinchew09 Mar, 2019 11:18am - 3 weeks ago",M3科技私下配售10%,0017,2019-03-09
8802,https://www.klsescreener.com/v2/news/stock/0017,"Nanyang10 Mar, 2019 00:16am - 3 weeks ago",M3科技私配筹240万,0017,2019-03-10
10243,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge13 Mar, 2019 20:26pm - 4 days ago",Lambo Group proposes one-for-two bonus warrants,0018,2019-03-13
1182,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge12 Mar, 2019 11:08am - 4 weeks ago",Best new cars at the Geneva Auto Show,0018,2019-03-12
1173,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge29 Mar, 2019 23:50pm - 4 days ago","Public Bank, EcoWorld, UDA, Tasco, GDEX, AirAsia, TDM, Lambo, Sunway, Damansara Realty and Vertice",0018,2019-03-29
1173,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge25 Mar, 2019 10:47am - 2 days ago",Stock With Momentum: Lambo Group,0018,2019-03-25
1174,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge22 Mar, 2019 13:29pm - 5 days ago","Vsolar, YGL, Hibiscus, Lambo, Progressive Impact",0018,2019-03-22
1174,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge29 Mar, 2019 20:20pm - 5 days ago",Lambo Group appoints Abdullah Abdul Rahman as chairman,0018,2019-03-29
1175,https://www.klsescreener.com/v2/news/stock/0018,"Sinchew14 Mar, 2019 11:46am - 1 week ago",LAMBO 2送1凭单,0018,2019-03-14
1177,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge13 Mar, 2019 23:03pm - 1 week ago","CMS, Lafarge, Destini, Bermaz Auto and Lambo",0018,2019-03-13
1178,https://www.klsescreener.com/v2/news/stock/0018,"TheEdge13 Mar, 2019 20:53pm - 1 week ago",蓝宝建议2送1凭单,0018,2019-03-13
1173,https://www.klsescreener.com/v2/news/stock/0018,"Sinchew11 Apr, 2019 11:34am - 6 days ago",发展电商运输业·LAMBO双管齐下拼盈利,0018,2019-04-11
8424,https://www.klsescreener.com/v2/news/stock/0020,"TheEdge19 Mar, 2019 20:39pm - 4 weeks ago",Fintec Global takes control of Zouk Club KL in RM29m deal,0020,2019-03-19
3120,https://www.klsescreener.com/v2/news/stock/0021,"TheStar28 Mar, 2019 08:25am - 1 week ago",GHL bags petrol subsidy contract,0021,2019-03-28
3121,https://www.klsescreener.com/v2/news/stock/0021,"TheEdge28 Mar, 2019 00:05am - 1 week ago","Gamuda, Yinson, GHL, GDB, Eco World Development, SCGM and Stone Master",0021,2019-03-28
3122,https://www.klsescreener.com/v2/news/stock/0021,"TheEdge27 Mar, 2019 19:54pm - 2 weeks ago",GHL获2503万RON95补贴计划项目,0021,2019-03-27
3123,https://www.klsescreener.com/v2/news/stock/0021,"TheEdge27 Mar, 2019 18:49pm - 2 weeks ago",GHL bags RM25m project for RON95 subsidy programme,0021,2019-03-27
3124,https://www.klsescreener.com/v2/news/stock/0021,"TheStar27 Mar, 2019 06:20am - 2 weeks ago",No cash no problem,0021,2019-03-27
3119,https://www.klsescreener.com/v2/news/stock/0021,"TheStar28 Mar, 2019 09:00am - 1 week ago","Trading ideas: Yinson, GHL, GDB, SCGM, Gamuda",0021,2019-03-28
3119,https://www.klsescreener.com/v2/news/stock/0021,"TheStar28 Mar, 2019 09:32am - 2 weeks ago",Quick take: Contract win sends GHL shares up 3%,0021,2019-03-28
3118,https://www.klsescreener.com/v2/news/stock/0021,"TheEdge28 Mar, 2019 11:30am - 2 weeks ago",GHL Systems up 1.79% on landing RM25m govt job,0021,2019-03-28
3117,https://www.klsescreener.com/v2/news/stock/0021,"TheEdge28 Mar, 2019 11:51am - 2 weeks ago",获2500万政府项目 GHL系统涨1.79%,0021,2019-03-28
3116,https://www.klsescreener.com/v2/news/stock/0021,"Nanyang29 Mar, 2019 00:05am - 2 weeks ago","GHL系统获2503万合约
助落实RON95汽油补贴",0021,2019-03-29
999,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge05 Mar, 2019 13:05pm - 1 month ago","KLCI remains below 1,700 level on lack of fresh catalysts",0023,2019-03-05
1005,https://www.klsescreener.com/v2/news/stock/0023,"TheStar01 Mar, 2019 12:57pm - 1 month ago","TNB, CIMB and Genting lead KLCI below 1,700",0023,2019-03-01
10042,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge11 Mar, 2019 11:05am - 1 week ago",区域股市回落 马股微跌0.37%,0023,2019-03-11
10041,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge11 Mar, 2019 12:53pm - 1 week ago","KLCI struggles in line with region, falls 0.53%",0023,2019-03-11
10040,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge11 Mar, 2019 13:23pm - 1 week ago",区域股市步履蹒跚 马股跌0.53%,0023,2019-03-11
10039,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge14 Mar, 2019 13:31pm - 4 days ago","KKB, IFCAMSC, Zelan, Huaan, Plenitude, Hockheng, Turbo, Scable, Dsonic, BAuto, Reach, Carimin, MTDACPI, MCEHldg, BIG, Zecon, Scomi, THHeavy, Destini, NiHsin, Handal",0023,2019-03-14
996,https://www.klsescreener.com/v2/news/stock/0023,"Sinchew11 Mar, 2019 10:45am - 1 month ago",担忧全球经济各疲软‧马股开盘走低,0023,2019-03-11
997,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge11 Mar, 2019 10:24am - 1 month ago",KLCI pulls back 0.37% in line with regional retreat,0023,2019-03-11
998,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge05 Mar, 2019 13:36pm - 1 month ago",缺乏新催化剂 马股仍低于1700点,0023,2019-03-05
1006,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge28 Feb, 2019 13:07pm - 1 month ago","IFCAMSC, MBMR, Peterlabs, PCCS, THHeavy",0023,2019-02-28
1000,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge04 Mar, 2019 10:38am - 1 month ago",马股跌幅收窄 仍低于1700点,0023,2019-03-04
1007,https://www.klsescreener.com/v2/news/stock/0023,"TheStar28 Feb, 2019 10:48am - 1 month ago",Quick take: IFCA rallies 19% on higher earnings,0023,2019-02-28
1001,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge04 Mar, 2019 10:20am - 1 month ago","KLCI pares loss, remains below 1,700",0023,2019-03-04
1002,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge01 Mar, 2019 14:10pm - 1 month ago","IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas",0023,2019-03-01
1003,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge01 Mar, 2019 13:28pm - 1 month ago",重量级股拖累 马股跌0.53%,0023,2019-03-01
1009,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge25 Feb, 2019 10:30am - 1 month ago",Stock With Momentum: IFCA MSC,0023,2019-02-25
1004,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge01 Mar, 2019 13:11pm - 1 month ago","KLCI falls 0.53%, remains below 1,700 level as heavyweights drag",0023,2019-03-01
993,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge15 Apr, 2019 10:18am - 2 days ago","KLCI rises 0.38% on revived ECRL news, firmer regional markets",0023,2019-04-15
994,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge15 Apr, 2019 09:04am - 2 days ago",IFCA banks on SME market growth to outdo FY18’s performance,0023,2019-04-15
992,https://www.klsescreener.com/v2/news/stock/0023,"TheEdge15 Apr, 2019 10:53am - 2 days ago",亚股走强ERCL复苏 提振马股扬0.38%,0023,2019-04-15
5410,https://www.klsescreener.com/v2/news/stock/0024,"TheStar04 Mar, 2019 10:02am - 2 weeks ago",Quick Take: JAG Capital pays large premium for 32% KUB stake,0024,2019-03-04
5409,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge04 Mar, 2019 11:37am - 2 weeks ago",KUB sees entry of new substantial shareholder JAG Capital with 31.99% stake,0024,2019-03-04
5408,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge04 Mar, 2019 12:42pm - 2 weeks ago",JAG Capital emerges as largest shareholder in KUB with 32% stake,0024,2019-03-04
14567,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge04 Apr, 2019 11:02am - 1 week ago",受累于云顶相关股 马股处于跌势,0024,2019-04-04
14573,https://www.klsescreener.com/v2/news/stock/0024,"Nanyang01 Apr, 2019 22:10pm - 2 weeks ago",前第二财长佐哈里 任大马统一合作主席,0024,2019-04-01
14569,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge02 Apr, 2019 10:54am - 2 weeks ago",Ex-finance minister II Johari is now KUB chairman,0024,2019-04-02
14570,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge02 Apr, 2019 09:41am - 2 weeks ago",佐哈里担任非执行主席 刺激KUB涨7.41%,0024,2019-04-02
14571,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge02 Apr, 2019 09:27am - 2 weeks ago","KUB Malaysia active, up 7.41% after Johari made non-exec chairman",0024,2019-04-02
14572,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge02 Apr, 2019 00:44am - 2 weeks ago","KUB, Wah Seong, Alam Maritim, Coastal Contracts, Scientex, Daibochi, SunCon and Yinson",0024,2019-04-02
14594,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge26 Mar, 2019 14:00pm - 1 day ago","Insider Moves: Marco Holdings Bhd, AmFirst REIT, Berjaya Corp Bhd, ConnectCounty Holdings Bhd, KUB Malaysia Bhd, Berjaya Land Bhd",0024,2019-03-26
14574,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge01 Apr, 2019 15:53pm - 2 weeks ago",前第二财长佐哈里被调任为KUB主席,0024,2019-04-01
14575,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge01 Apr, 2019 14:48pm - 2 weeks ago",Ex-finance minister II Johari redesignated as KUB chairman,0024,2019-04-01
14576,https://www.klsescreener.com/v2/news/stock/0024,"Chinapress01 Apr, 2019 02:25am - 2 weeks ago",统一合作社 调任佐哈里为非执行主席,0024,2019-04-01
14578,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge21 Mar, 2019 14:00pm - 3 weeks ago","Off-Market Trades: KUB Malaysia Bhd, APFT Bhd, Merge Energy Bhd, Rex Industry Bhd",0024,2019-03-21
14579,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge21 Mar, 2019 13:23pm - 3 weeks ago",银行股及顶级手套拖累 马股下滑1.05%,0024,2019-03-21
14581,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge21 Mar, 2019 10:42am - 3 weeks ago",动能指标依然疲弱 马股抹去涨幅,0024,2019-03-21
14568,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge04 Apr, 2019 10:23am - 1 week ago",KLCI stays in red as Genting-linked stocks weigh,0024,2019-04-04
14602,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge20 Mar, 2019 13:13pm - 1 week ago",铝土矿开采协议带动 JAG受追捧,0024,2019-03-20
14597,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge21 Mar, 2019 13:00pm - 6 days ago","KLCI loses 1.05% as banks, Top Glove drag",0024,2019-03-21
5399,https://www.klsescreener.com/v2/news/stock/0024,"TheStar09 Mar, 2019 00:00am - 1 week ago",True equality?,0024,2019-03-09
5400,https://www.klsescreener.com/v2/news/stock/0024,"Nanyang08 Mar, 2019 00:00am - 1 week ago",佐哈里重返合成董事局,0024,2019-03-08
5401,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge05 Mar, 2019 10:13am - 1 week ago",JAG Capital now the largest shareholder of KUB,0024,2019-03-05
5402,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge05 Mar, 2019 00:18am - 1 week ago","Top Glove, KUB Malaysia, DNeX, Hibiscus Petroleum, Censof, Uni Wall, Harn Len, Sunway, Cahya Mata Sarawak, Aturmaju and MCT",0024,2019-03-05
5403,https://www.klsescreener.com/v2/news/stock/0024,"Nanyang05 Mar, 2019 00:00am - 1 week ago","JAG资本高价购31.99%
晋大马统一合作大股东",0024,2019-03-05
5404,https://www.klsescreener.com/v2/news/stock/0024,"TheStar05 Mar, 2019 00:00am - 1 week ago",Johari emerges as major shareholder in KUB,0024,2019-03-05
5405,https://www.klsescreener.com/v2/news/stock/0024,"Orientaldaily04 Mar, 2019 21:05pm - 1 week ago",迎新大股東　大馬統一股價飆,0024,2019-03-04
5406,https://www.klsescreener.com/v2/news/stock/0024,"Sinchew04 Mar, 2019 19:43pm - 1 week ago",溢价72%入股‧大马统一最大股东换人,0024,2019-03-04
14613,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge20 Mar, 2019 00:34am - 1 week ago","Salcon, T7 Global, Uzma, LKL International, JAG, Green Packet, MRCB, Scientex and Glomac",0024,2019-03-20
14612,https://www.klsescreener.com/v2/news/stock/0024,"TheStar20 Mar, 2019 09:00am - 1 week ago","Trading ideas: Salcon, T7 Global, Uzma, LKL International, JAG, Glomac",0024,2019-03-20
14611,https://www.klsescreener.com/v2/news/stock/0024,"TheStar20 Mar, 2019 09:17am - 1 week ago","Quick take: JAG attracts trading interest, jumps 20%",0024,2019-03-20
14610,https://www.klsescreener.com/v2/news/stock/0024,"TheStar20 Mar, 2019 09:31am - 1 week ago",JAG in MoU for bauxite mining,0024,2019-03-20
14609,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge20 Mar, 2019 10:20am - 1 week ago",KLCI down 0.32% on sustained profit-taking,0024,2019-03-20
14608,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge20 Mar, 2019 10:34am - 1 week ago",持续遭套利 马股跌0.32%,0024,2019-03-20
14607,https://www.klsescreener.com/v2/news/stock/0024,"Sinchew20 Mar, 2019 11:43am - 1 week ago",JAG联营开采铝土矿,0024,2019-03-20
14606,https://www.klsescreener.com/v2/news/stock/0024,"TheEdge20 Mar, 2019 12:01pm - 1 week ago",JAG up on bauxite mining deal,0024,2019-03-20
14605,https://www.klsescreener.com/v2/news/stock/0024,"Sinchew20 Mar, 2019 12:49pm - 1 week ago",吉打概念股冲高·马股半天跌6.42点,0024,2019-03-20
14604,https://www.klsescreener.com/v2/news/stock/0024,"TheStar20 Mar, 2019 12:55pm - 1 week ago","Investors cash in on stocks, ringgit unmoved ahead of FOMC results",0024,2019-03-20
