name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070326,12 Apr 2019,7:12 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070328,12 Apr 2019,7:12 PM,0.315,0.300,0.320,0.310,"54,439",0.310 / 200,0.000 / 0
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070330,12 Apr 2019,7:12 PM,0.440,0.415,0.450,0.435,"90,307",0.000 / 0,0.000 / 0
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070332,12 Apr 2019,7:12 PM,-,-,-,1.100,0,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070334,12 Apr 2019,7:12 PM,-,-,-,1.210,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070336,12 Apr 2019,7:12 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070338,12 Apr 2019,7:12 PM,0.305,0.285,0.305,0.305,"103,495",0.295 / 200,0.305 / 504
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070340,12 Apr 2019,7:12 PM,0.385,0.370,0.390,0.390,"152,689",0.190 / 100,0.390 / 89
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070325,12 Apr 2019,7:12 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070327,12 Apr 2019,7:12 PM,0.030,0.030,0.030,0.030,222,0.030 / 78,0.035 / 200
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070329,12 Apr 2019,7:12 PM,0.260,0.260,0.275,0.270,"136,843",0.255 / 500,0.270 / 50
