name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
ADVENTA BHD,7191,11-Mar-19,7:11 PM,0.355,0.355,0.355,0.355,356,0.355 / 29,0.360 / 100
APEX HEALTHCARE BHD,7090,11-Mar-19,7:11 PM,9.42,9.35,9.42,9.36,112,9.340 / 5,9.360 / 56
DUOPHARMA BIOTECH BERHAD,7148,11-Mar-19,7:11 PM,1.1,1.09,1.11,1.09,"4,802",1.090 / 212,1.100 / 7
HARTALEGA HOLDINGS BHD,5168,11-Mar-19,7:11 PM,4.99,4.75,4.99,4.75,"145,811",4.740 / 852,"4.750 / 1,190"
IHH HEALTHCARE BERHAD,5225,11-Mar-19,7:11 PM,5.85,5.78,5.88,5.86,"64,939","5.850 / 4,895",5.860 / 949
KOSSAN RUBBER INDUSTRIES BHD,7153,11-Mar-19,7:11 PM,3.76,3.65,3.76,3.66,"17,344","3.660 / 5,750",3.670 / 110
KOTRA INDUSTRIES BHD,2,11-Mar-19,7:11 PM,-,-,-,1.8,0,1.730 / 15,1.800 / 48
KPJ HEALTHCARE BHD,5878,11-Mar-19,7:11 PM,1.05,1.03,1.05,1.03,"45,103","1.030 / 36,953","1.040 / 20,552"
PHARMANIAGA BHD,7081,11-Mar-19,7:11 PM,2.4,2.32,2.4,2.35,"1,000",2.330 / 25,2.350 / 52
SUPERMAX CORPORATION BHD,7106,11-Mar-19,7:11 PM,1.52,1.48,1.52,1.48,"56,024","1.480 / 4,196","1.490 / 1,541"
TMC LIFE SCIENCES BHD,101,11-Mar-19,7:11 PM,0.73,0.725,0.74,0.73,"3,100","0.725 / 1,803","0.730 / 2,058"
TMC LIFE SCIENCES BERHAD WARRANTS B,0101WB,11-Mar-19,7:11 PM,0.02,0.02,0.02,0.02,"2,960","0.020 / 10,026","0.025 / 7,012"
TOP GLOVE CORPORATION BHD,7113,11-Mar-19,7:11 PM,4.6,4.43,4.6,4.45,"160,864",4.440 / 922,"4.450 / 1,568"
Y.S.P.SOUTHEAST ASIA HOLDING,7178,11-Mar-19,7:11 PM,2.89,2.83,2.89,2.84,293,2.840 / 37,2.890 / 50
ALAM MARITIM RESOURCES BHD,5115,11-Mar-19,7:11 PM,0.115,0.105,0.12,0.11,"155,495","0.110 / 20,264","0.115 / 40,156"
BUMI ARMADA BERHAD,5210,11-Mar-19,7:11 PM,0.165,0.16,0.17,0.165,"375,903","0.160 / 283,810","0.165 / 37,502"
BARAKAH OFFSHORE PETROLEUM BHD,7251,11-Mar-19,7:11 PM,0.11,0.1,0.11,0.1,"112,386","0.100 / 78,929","0.105 / 24,708"
CARIMIN PETROLEUM BERHAD,5257,11-Mar-19,7:11 PM,0.82,0.77,0.835,0.775,"116,815",0.775 / 43,0.780 / 240
COASTAL CONTRACTS BHD,5071,11-Mar-19,7:11 PM,1.33,1.24,1.33,1.25,"3,526",1.240 / 555,1.250 / 49
DAYA MATERIALS BHD,91,11-Mar-19,7:11 PM,0.01,0.005,0.01,0.005,"6,235","0.005 / 848,451","0.010 / 1,081,477"
DAYANG ENTERPRISE HOLDINGS BHD,5141,11-Mar-19,7:11 PM,1.62,1.47,1.71,1.52,"1,278,136","1.520 / 17,439","1.530 / 3,640"
DELEUM BHD,5132,11-Mar-19,7:11 PM,1.1,1.07,1.11,1.1,"2,767",1.070 / 65,1.100 / 65
DIALOG GROUP BHD,7277,11-Mar-19,7:11 PM,3.18,3.16,3.2,3.17,"26,673","3.170 / 12,561",3.180 / 250
HANDAL RESOURCES BERHAD,7253,11-Mar-19,7:11 PM,0.33,0.33,0.33,0.33,670,0.325 / 900,0.340 / 200
HENGYUAN REFINING COMPANY BERHAD,4324,11-Mar-19,7:11 PM,6.14,6.05,6.28,6.12,"3,139",6.110 / 51,6.130 / 20
HIBISCUS PETROLEUM BHD,5199,11-Mar-19,7:11 PM,1.02,0.985,1.03,1,"481,180","0.995 / 8,438","1.000 / 49,395"
HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,5199WC,11-Mar-19,7:11 PM,0.46,0.445,0.465,0.45,"85,758","0.450 / 1,979","0.455 / 1,370"
SINO HUA-AN INTERNATIONAL BHD,2739,11-Mar-19,7:11 PM,0.225,0.22,0.23,0.22,"158,684","0.220 / 49,259","0.225 / 19,299"
ICON OFFSHORE BERHAD,5255,11-Mar-19,7:11 PM,0.085,0.08,0.085,0.085,"4,129","0.080 / 10,309","0.085 / 7,080"
