name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,15-Mar-19,7:11 PM,0.14,0.14,0.19,0.16,"32,799",0.020 / 100,0.160 / 400
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,15-Mar-19,7:11 PM,0.77,0.765,0.77,0.765,300,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,15-Mar-19,7:11 PM,-,-,-,0.43,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,15-Mar-19,7:11 PM,0.23,0.23,0.25,0.24,"15,332",0.000 / 0,0.255 / 50
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,15-Mar-19,7:11 PM,0.28,0.28,0.335,0.33,"71,938",0.325 / 51,"0.330 / 1,010"
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,15-Mar-19,7:11 PM,0.72,0.72,0.72,0.72,100,0.720 / 200,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,15-Mar-19,7:11 PM,-,-,-,0.88,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,15-Mar-19,7:11 PM,0.505,0.505,0.55,0.53,"5,769",0.450 / 50,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,15-Mar-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,15-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,15-Mar-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,15-Mar-19,7:11 PM,0.085,0.075,0.085,0.08,"8,272","0.075 / 2,133",0.080 / 925
ASTRAL ASIA BHD,7054,15-Mar-19,7:11 PM,-,-,-,0.145,0,0.150 / 300,0.200 / 169
AIRASIA X BERHAD,5238,15-Mar-19,7:11 PM,0.26,0.25,0.26,0.255,"48,980","0.250 / 76,019","0.255 / 19,938"
AAX-C20: CW AIRASIA X BERHAD (RHB),523820,15-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 10,330"
