name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,25-Feb-19,6:15 PM,0.12,0.12,0.235,0.225,"65,332",0.195 / 200,0.240 / 150
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,25-Feb-19,6:15 PM,0.645,0.645,0.8,0.8,400,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,25-Feb-19,6:15 PM,0.41,0.41,0.495,0.495,"86,944",0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,25-Feb-19,6:15 PM,0.265,0.265,0.275,0.27,"25,304",0.000 / 0,0.000 / 0
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,25-Feb-19,6:15 PM,0.255,0.255,0.36,0.35,"64,282",0.220 / 200,0.000 / 0
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,25-Feb-19,6:15 PM,0.59,0.59,0.75,0.75,"9,631",0.000 / 0,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,25-Feb-19,6:15 PM,0.855,0.855,0.86,0.86,150,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,25-Feb-19,6:15 PM,0.475,0.46,0.575,0.57,"124,492",0.490 / 100,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,25-Feb-19,6:15 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,25-Feb-19,6:15 PM,0.015,0.015,0.015,0.015,670,0.000 / 0,0.010 / 450
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,25-Feb-19,6:15 PM,-,-,-,0.035,0,0.010 / 700,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,25-Feb-19,6:15 PM,0.115,0.08,0.12,0.085,"29,362","0.075 / 1,500",0.090 / 398
ASTRAL ASIA BHD,7054,25-Feb-19,6:15 PM,-,-,-,0.145,0,"0.145 / 1,025",0.155 / 410
AIRASIA X BERHAD,5238,25-Feb-19,6:15 PM,0.26,0.26,0.265,0.26,"171,049","0.260 / 120,567","0.265 / 33,110"
AAX-C20: CW AIRASIA X BERHAD (RHB),523820,25-Feb-19,6:15 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 11,500"
AAX-C21: CW AIRASIA X BERHAD (MACQ),523821,25-Feb-19,6:15 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,25-Feb-19,6:15 PM,0.055,0.055,0.06,0.06,"11,164","0.055 / 27,565","0.060 / 4,412"
ABF MALAYSIA BOND INDEX FUND,0800EA,25-Feb-19,6:15 PM,1.166,1.166,1.166,1.166,"1,000","1.163 / 1,000","1.168 / 1,000"
ABLEGROUP BERHAD,7086,25-Feb-19,6:15 PM,0.075,0.07,0.075,0.075,320,"0.070 / 13,150",0.075 / 650
ALLIANCE BANK MALAYSIA BERHAD,2488,25-Feb-19,6:15 PM,4.23,4.23,4.26,4.25,"3,806",4.220 / 50,4.250 / 487
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB),2488CX,25-Feb-19,6:15 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,25-Feb-19,6:15 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,25-Feb-19,6:15 PM,-,-,-,0.23,0,0.250 / 100,0.300 / 47
ACOUSTECH BHD,7120,25-Feb-19,6:15 PM,0.43,0.42,0.45,0.45,"23,618",0.445 / 167,"0.450 / 1,038"
ADVANCECON HOLDINGS BERHAD,5281,25-Feb-19,6:15 PM,0.36,0.355,0.37,0.355,"24,154","0.355 / 1,053",0.360 / 350
ADVENTA BHD,7191,25-Feb-19,6:15 PM,0.365,0.365,0.37,0.37,288,0.365 / 40,0.370 / 102
ADVANCED PACKAGING TECHNOLOGY,9148,25-Feb-19,6:15 PM,-,-,-,1.93,0,1.930 / 30,2.100 / 46
AE MULTI HOLDINGS BHD,7146,25-Feb-19,6:15 PM,0.115,0.115,0.12,0.12,790,"0.115 / 8,045",0.120 / 90
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,25-Feb-19,6:15 PM,-,-,-,0.005,0,"0.005 / 19,300","0.010 / 35,822"
AEMULUS HOLDINGS BERHAD,181,25-Feb-19,6:15 PM,0.265,0.25,0.265,0.255,"14,102","0.250 / 5,494","0.255 / 1,215"
AEON CO. (M) BHD,6599,25-Feb-19,6:15 PM,1.57,1.56,1.63,1.59,"68,934","1.580 / 1,384","1.590 / 1,787"
AEON-CN: CW AEON CO. (M) BERHAD (MIBB),6599CN,25-Feb-19,6:15 PM,-,-,-,0.015,0,0.000 / 0,0.000 / 0
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,25-Feb-19,6:15 PM,0.06,0.06,0.065,0.06,"6,420","0.055 / 1,192","0.065 / 1,584"
AEON-CP: CW AEON CO (M) BERHAD (RHB),6599CP,25-Feb-19,6:15 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),6599CQ,25-Feb-19,6:15 PM,0.04,0.04,0.04,0.04,220,0.000 / 0,0.000 / 0
AEON CREDIT SERVICE (M) BHD,5139,25-Feb-19,6:15 PM,17.16,16.76,17.16,16.88,712,16.800 / 14,16.880 / 438
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,25-Feb-19,6:15 PM,-,-,-,1.51,0,1.510 / 140,1.540 / 5
AFFIN BANK BERHAD,5185,25-Feb-19,6:15 PM,2.3,2.29,2.31,2.3,"1,351",2.300 / 62,2.310 / 146
ABM FUJIYA BERHAD,5198,25-Feb-19,6:15 PM,0.51,0.455,0.605,0.53,"2,446",0.500 / 30,0.530 / 220
AHB HOLDINGS BHD,7315,25-Feb-19,6:15 PM,0.135,0.13,0.135,0.135,"4,700",0.135 / 832,"0.140 / 1,580"
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,7315WB,25-Feb-19,6:15 PM,0.01,0.005,0.01,0.005,"10,568","0.005 / 23,550","0.010 / 18,985"
APEX HEALTHCARE BHD,7090,25-Feb-19,6:15 PM,8.8,8.66,8.82,8.8,130,8.720 / 5,8.880 / 9
AMANAH HARTA TANAH PNB,4952,25-Feb-19,6:15 PM,0.76,0.76,0.76,0.76,156,0.760 / 4,0.770 / 178
ADVANCE INFORMATION MARKETING,122,25-Feb-19,6:15 PM,-,-,-,0.28,0,0.235 / 500,0.395 / 50
AIRASIA GROUP BERHAD,5099,25-Feb-19,6:15 PM,3.13,3.06,3.15,3.07,"63,756",3.070 / 572,3.080 / 481
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),509959,25-Feb-19,6:15 PM,-,-,-,0.025,0,"0.005 / 4,000",0.000 / 0
AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB),509965,25-Feb-19,6:15 PM,0.01,0.005,0.01,0.005,"29,641",0.005 / 359,"0.010 / 16,200"
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),509967,25-Feb-19,6:15 PM,0.21,0.195,0.21,0.195,"2,939",0.190 / 550,0.230 / 130
AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ),509968,25-Feb-19,6:15 PM,-,-,-,0.05,0,"0.015 / 1,000","0.040 / 1,000"
AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ),509969,25-Feb-19,6:15 PM,-,-,-,0.135,0,0.000 / 0,0.135 / 300
AIRASIAC70: CW AIRASIA GROUP BERHAD (AM),509970,25-Feb-19,6:15 PM,0.065,0.055,0.065,0.055,"5,332",0.000 / 0,0.000 / 0
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),509971,25-Feb-19,6:15 PM,0.165,0.15,0.17,0.15,"12,509","0.150 / 3,548",0.160 / 400
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),509972,25-Feb-19,6:15 PM,0.245,0.245,0.245,0.245,200,0.000 / 0,0.260 / 110
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),509973,25-Feb-19,6:15 PM,0.31,0.285,0.31,0.285,"18,000",0.000 / 0,0.000 / 0
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),509974,25-Feb-19,6:15 PM,-,-,-,0.47,0,0.000 / 0,0.510 / 200
AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),509975,25-Feb-19,6:15 PM,0.19,0.185,0.19,0.19,600,0.000 / 0,0.235 / 30
AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB),509976,25-Feb-19,6:15 PM,0.11,0.105,0.11,0.105,"45,388",0.000 / 0,"0.115 / 2,000"
AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ),509977,25-Feb-19,6:15 PM,0.13,0.125,0.135,0.125,"34,547","0.120 / 1,825","0.130 / 1,000"
AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB),509978,25-Feb-19,6:15 PM,0.155,0.145,0.155,0.145,"5,640",0.000 / 0,0.150 / 500
MALAYSIA AIRPORTS HOLDINGS BHD,5014,25-Feb-19,6:15 PM,8.21,8.17,8.5,8.46,"34,762",8.390 / 10,8.460 / 265
AIRPORT-C2: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),5014C2,25-Feb-19,6:15 PM,-,-,-,0.025,0,0.000 / 0,0.000 / 0
AIRPORT-C3: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (AM),5014C3,25-Feb-19,6:15 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB),5014C4,25-Feb-19,6:15 PM,0.08,0.08,0.085,0.085,250,0.055 / 100,0.120 / 300
AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ),5014C5,25-Feb-19,6:15 PM,-,-,-,0.09,0,0.000 / 0,0.000 / 0
