name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
WOODLANDOR HOLDINGS BHD,7025,22-Mar-19,7:12 PM,-,-,-,0.73,0,0.635 / 100,0.730 / 147
WESTPORTS HOLDINGS BERHAD,5246,22-Mar-19,7:12 PM,3.81,3.78,3.83,3.8,"6,946",3.770 / 66,3.800 / 335
WPRTS-CX: CW WESTPORTS HOLDINGS BERHAD (RHB),5246CX,22-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
WPRTS-CY: CW WESTPORTS HOLDINGS BERHAD (CIMB),5246CY,22-Mar-19,7:12 PM,0.135,0.135,0.135,0.135,300,0.000 / 0,0.000 / 0
WHITE HORSE BHD,5009,22-Mar-19,7:12 PM,1.12,1.11,1.17,1.17,70,1.150 / 22,1.170 / 20
WTK HOLDINGS BHD,4243,22-Mar-19,7:12 PM,0.655,0.635,0.655,0.64,"11,972",0.635 / 420,0.645 / 640
WZ SATU BERHAD,7245,22-Mar-19,7:12 PM,0.28,0.27,0.28,0.28,"9,884","0.280 / 1,277","0.285 / 1,100"
WZ SATU BERHAD - WARRANTS A 2014/2024,7245WA,22-Mar-19,7:12 PM,0.115,0.115,0.115,0.115,"1,255",0.115 / 295,0.120 / 100
XIDELANG HOLDINGS LTD,5156,22-Mar-19,7:12 PM,0.1,0.095,0.1,0.1,"207,156","0.095 / 105,101","0.100 / 4,587"
XIDELANG HOLDINGS LTD - WARRANTS 2019/2022,5156WD,22-Mar-19,7:12 PM,0.015,0.015,0.015,0.015,"43,183","0.010 / 228,901","0.015 / 15,654"
XIAN LENG HOLDINGS BHD,7121,22-Mar-19,7:12 PM,0.42,0.4,0.42,0.41,790,0.400 / 60,0.410 / 180
XIAOMI-C1: CW XIAOMI CORPORATION (RHB),0581C1,22-Mar-19,7:12 PM,-,-,-,0.02,0,0.000 / 0,0.070 / 65
XIAOMI-C2: CW XIAOMI CORPORATION (RHB),0581C2,22-Mar-19,7:12 PM,0.15,0.14,0.15,0.145,"12,152",0.000 / 0,0.145 / 858
XINGHE HOLDINGS BERHAD,95,22-Mar-19,7:12 PM,0.035,0.03,0.035,0.035,"33,091","0.030 / 76,223","0.035 / 195,092"
XINGHE HOLDINGS BERHAD - WARRANTS A,0095WA,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
XIN HWA HOLDINGS BERHAD,5267,22-Mar-19,7:12 PM,0.84,0.755,0.865,0.795,"18,017",0.770 / 88,0.795 / 89
XINGQUAN INT SPORTS HLDG LTD,5155,22-Mar-19,7:12 PM,-,-,-,0.055,0,0.000 / 0,0.000 / 0
XINGQUAN INT SPORTS HLDG LTD-WARRANT 14/19,5155WA,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
XINGQUAN INTERNATIONAL SPORTS HOLDINGS LIMITED-WARRANTS 2016/2021,5155WB,22-Mar-19,7:12 PM,-,-,-,0.015,0,0.000 / 0,0.000 / 0
XOX BHD,165,22-Mar-19,7:12 PM,0.05,0.05,0.055,0.05,"31,257","0.050 / 277,466","0.055 / 74,882"
Y&G CORPORATION BHD,7003,22-Mar-19,7:12 PM,-,-,-,0.91,0,0.610 / 240,0.995 / 7
Y&G CORPORATION BHD - WARRANTS A 14/19,7003WA,22-Mar-19,7:12 PM,-,-,-,0.1,0,"0.005 / 1,000",0.200 / 50
YBS INTERNATIONAL BERHAD,25,22-Mar-19,7:12 PM,0.145,0.14,0.145,0.14,"4,185",0.140 / 480,0.145 / 930
YEE LEE CORPORATION BHD,5584,22-Mar-19,7:12 PM,1.89,1.89,1.92,1.92,35,1.890 / 5,1.920 / 41
YFG BERHAD,7122,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
YGL CONVERGENCE BHD,86,22-Mar-19,7:12 PM,0.12,0.12,0.135,0.125,"13,277",0.125 / 109,"0.130 / 2,338"
YI-LAI BHD,5048,22-Mar-19,7:12 PM,0.625,0.625,0.625,0.625,61,0.625 / 251,0.640 / 170
YINSON HOLDINGS BHD,7293,22-Mar-19,7:12 PM,4.6,4.58,4.68,4.65,"4,288",4.610 / 76,4.650 / 156
YINSON-CT: CW YINSON HOLDINGS BERHAD (CIMB),7293CT,22-Mar-19,7:12 PM,0.04,0.035,0.04,0.035,"6,252",0.035 / 198,0.045 / 350
YINSON-CV: CW YINSON HOLDINGS BERHAD (RHB),7293CV,22-Mar-19,7:12 PM,-,-,-,0.055,0,0.000 / 0,0.000 / 0
YINSON-CW: CW YINSON HOLDINGS BERHAD (CIMB),7293CW,22-Mar-19,7:12 PM,-,-,-,0.12,0,0.000 / 0,0.135 / 300
YINSON-CX: CW YINSON HOLDINGS BERHAD (KIBB),7293CX,22-Mar-19,7:12 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
YKGI HOLDINGS BERHAD,7020,22-Mar-19,7:12 PM,0.115,0.115,0.125,0.12,"2,818",0.120 / 196,"0.125 / 1,749"
YKGI HOLDINGS BHD - WB 13/20,7020WB,22-Mar-19,7:12 PM,0.015,0.015,0.015,0.015,58,"0.015 / 11,884","0.020 / 4,479"
YLI HOLDINGS BHD,7014,22-Mar-19,7:12 PM,0.285,0.27,0.285,0.27,306,0.280 / 10,0.315 / 34
YNH PROPERTY BHD,3158,22-Mar-19,7:12 PM,1.14,1.1,1.22,1.22,"42,727",1.180 / 138,1.220 / 748
