name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,8-Mar-19,7:11 PM,0.2,0.1,0.2,0.105,"19,057",0.105 / 490,0.110 / 155
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,8-Mar-19,7:11 PM,0.705,0.645,0.705,0.645,310,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,8-Mar-19,7:11 PM,-,-,-,0.505,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,8-Mar-19,7:11 PM,0.215,0.2,0.235,0.2,"27,414",0.195 / 150,0.235 / 300
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,8-Mar-19,7:11 PM,0.28,0.245,0.315,0.285,"126,915",0.245 / 20,0.285 / 234
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,8-Mar-19,7:11 PM,-,-,-,0.78,0,0.000 / 0,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,8-Mar-19,7:11 PM,-,-,-,0.97,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,8-Mar-19,7:11 PM,0.46,0.455,0.46,0.455,130,0.000 / 0,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,8-Mar-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,8-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.050 / 56
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,8-Mar-19,7:11 PM,-,-,-,0.035,0,0.010 / 200,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,8-Mar-19,7:11 PM,0.09,0.09,0.115,0.115,"12,243",0.115 / 82,0.120 / 400
ASTRAL ASIA BHD,7054,8-Mar-19,7:11 PM,-,-,-,0.145,0,0.145 / 855,0.175 / 210
AIRASIA X BERHAD,5238,8-Mar-19,7:11 PM,0.25,0.25,0.255,0.255,"20,161","0.250 / 61,440","0.255 / 21,551"
