name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,27-Feb-19,7:11 PM,0.22,0.19,0.235,0.21,"19,300","0.015 / 1,000",0.210 / 100
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,27-Feb-19,7:11 PM,-,-,-,0.735,0,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,27-Feb-19,7:11 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,27-Feb-19,7:11 PM,0.25,0.24,0.26,0.245,"17,079",0.000 / 0,0.260 / 300
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,27-Feb-19,7:11 PM,0.335,0.31,0.35,0.33,"430,101",0.320 / 50,0.340 / 100
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,27-Feb-19,7:11 PM,-,-,-,0.725,0,0.670 / 150,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,27-Feb-19,7:11 PM,0.915,0.915,0.915,0.915,11,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,27-Feb-19,7:11 PM,0.535,0.505,0.545,0.525,"20,370",0.000 / 0,0.525 / 100
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,27-Feb-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,27-Feb-19,7:11 PM,0.01,0.01,0.01,0.01,365,"0.005 / 1,000",0.010 / 85
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,27-Feb-19,7:11 PM,-,-,-,0.035,0,0.010 / 700,0.000 / 0
