name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,26-Mar-19,7:12 PM,-,-,-,0.055,0,0.020 / 50,0.000 / 0
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,26-Mar-19,7:12 PM,-,-,-,0.815,0,0.000 / 0,0.800 / 10
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,26-Mar-19,7:12 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,26-Mar-19,7:12 PM,0.205,0.19,0.205,0.19,"1,744",0.050 / 100,0.260 / 100
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,26-Mar-19,7:12 PM,0.27,0.235,0.27,0.245,"18,559",0.245 / 200,0.250 / 400
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,26-Mar-19,7:12 PM,-,-,-,0.72,0,0.000 / 0,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,26-Mar-19,7:12 PM,0.87,0.87,0.87,0.87,20,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,26-Mar-19,7:12 PM,0.485,0.45,0.485,0.46,"2,088",0.450 / 20,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,26-Mar-19,7:12 PM,0.2,0.18,0.2,0.18,"41,100",0.050 / 100,0.200 / 400
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,26-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
