name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,6-Mar-19,7:11 PM,0.29,0.275,0.3,0.29,"6,998",0.000 / 0,0.310 / 241
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,6-Mar-19,7:11 PM,-,-,-,0.91,0,0.000 / 0,0.910 / 40
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,6-Mar-19,7:11 PM,-,-,-,0.505,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,6-Mar-19,7:11 PM,0.295,0.285,0.3,0.29,"10,101",0.000 / 0,0.350 / 100
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,6-Mar-19,7:11 PM,0.405,0.385,0.425,0.405,"155,096",0.390 / 100,0.405 / 50
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,6-Mar-19,7:11 PM,0.82,0.82,0.82,0.82,133,0.780 / 150,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,6-Mar-19,7:11 PM,-,-,-,1.06,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,6-Mar-19,7:11 PM,0.615,0.605,0.625,0.61,"1,972",0.000 / 0,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,6-Mar-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,6-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,6-Mar-19,7:11 PM,-,-,-,0.035,0,0.010 / 800,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,6-Mar-19,7:11 PM,0.065,0.065,0.07,0.065,"21,635","0.065 / 1,074","0.070 / 1,000"
ASTRAL ASIA BHD,7054,6-Mar-19,7:11 PM,0.15,0.15,0.15,0.15,100,0.150 / 30,0.155 / 310
AIRASIA X BERHAD,5238,6-Mar-19,7:11 PM,0.25,0.245,0.255,0.255,"90,106","0.250 / 34,864","0.255 / 19,271"
AAX-C20: CW AIRASIA X BERHAD (RHB),523820,6-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 11,830"
AAX-C21: CW AIRASIA X BERHAD (MACQ),523821,6-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,6-Mar-19,7:11 PM,0.05,0.05,0.055,0.055,"28,026","0.055 / 2,550","0.060 / 15,077"
ABF MALAYSIA BOND INDEX FUND,0800EA,6-Mar-19,7:11 PM,-,-,-,1.167,0,1.167 / 13,"1.168 / 1,000"
ABLEGROUP BERHAD,7086,6-Mar-19,7:11 PM,-,-,-,0.07,0,"0.070 / 10,184","0.075 / 1,908"
