name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070326,04 Apr 2019,7:12 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070328,04 Apr 2019,7:12 PM,0.325,0.325,0.340,0.335,"30,982",0.100 / 200,0.350 / 300
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070330,04 Apr 2019,7:12 PM,0.455,0.450,0.480,0.475,"52,800",0.000 / 0,0.000 / 0
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070332,04 Apr 2019,7:12 PM,1.000,1.000,1.010,1.010,410,0.000 / 0,1.100 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070334,04 Apr 2019,7:12 PM,-,-,-,0.985,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070336,04 Apr 2019,7:12 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070338,04 Apr 2019,7:12 PM,0.315,0.300,0.330,0.325,"131,387",0.315 / 280,0.330 / 200
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070325,04 Apr 2019,7:12 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070327,04 Apr 2019,7:12 PM,0.035,0.035,0.040,0.035,"1,385","0.030 / 1,300",0.050 / 100
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070329,04 Apr 2019,7:12 PM,0.270,0.250,0.270,0.260,"97,274",0.230 / 205,0.260 / 795
ASTRAL ASIA BHD,7054,04 Apr 2019,7:12 PM,-,-,-,0.150,0,0.155 / 200,0.170 / 80
AIRASIA X BERHAD,5238,04 Apr 2019,7:12 PM,0.245,0.240,0.245,0.245,"20,588","0.240 / 96,477","0.245 / 14,661"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,04 Apr 2019,7:12 PM,0.045,0.045,0.050,0.045,"8,070","0.040 / 25,457","0.045 / 5,489"
ABF MALAYSIA BOND INDEX FUND,0800EA,04 Apr 2019,7:12 PM,-,-,-,1.182,0,"1.177 / 1,000","1.182 / 1,000"
ABLEGROUP BERHAD,7086,04 Apr 2019,7:12 PM,0.075,0.075,0.075,0.075,600,"0.075 / 13,625","0.080 / 7,254"
ALLIANCE BANK MALAYSIA BERHAD,2488,04 Apr 2019,7:12 PM,4.040,4.040,4.120,4.120,"7,638",4.050 / 20,"4.120 / 5,020"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,04 Apr 2019,7:12 PM,-,-,-,0.100,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,04 Apr 2019,7:12 PM,0.260,0.260,0.260,0.260,100,0.260 / 50,0.300 / 47
ACOUSTECH BHD,7120,04 Apr 2019,7:12 PM,0.420,0.415,0.420,0.415,"15,861","0.410 / 1,068",0.415 / 459
ADVANCECON HOLDINGS BERHAD,5281,04 Apr 2019,7:12 PM,0.435,0.425,0.450,0.430,"25,612",0.430 / 398,0.435 / 150
