name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,18-Mar-19,7:12 PM,0.15,0.14,0.235,0.23,"33,398","0.015 / 1,000",0.280 / 100
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,18-Mar-19,7:12 PM,0.77,0.77,0.77,0.77,100,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,18-Mar-19,7:12 PM,0.52,0.52,0.52,0.52,"1,300",0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,18-Mar-19,7:12 PM,0.235,0.235,0.28,0.27,"5,465",0.000 / 0,0.275 / 520
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,18-Mar-19,7:12 PM,0.31,0.3,0.37,0.37,"62,034",0.325 / 500,0.370 / 220
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,18-Mar-19,7:12 PM,-,-,-,0.72,0,0.000 / 0,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,18-Mar-19,7:12 PM,-,-,-,0.88,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,18-Mar-19,7:12 PM,0.525,0.52,0.6,0.595,"5,139",0.000 / 0,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,18-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,18-Mar-19,7:12 PM,0.005,0.005,0.005,0.005,200,0.000 / 0,0.020 / 200
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,18-Mar-19,7:12 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,18-Mar-19,7:12 PM,0.08,0.06,0.08,0.065,"20,983",0.055 / 500,"0.065 / 1,620"
ASTRAL ASIA BHD,7054,18-Mar-19,7:12 PM,0.15,0.15,0.15,0.15,550,0.150 / 80,0.200 / 169
AIRASIA X BERHAD,5238,18-Mar-19,7:12 PM,0.255,0.25,0.255,0.25,"47,543","0.250 / 86,206","0.255 / 39,999"
AAX-C20: CW AIRASIA X BERHAD (RHB),523820,18-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 10,530"
AAX-C21: CW AIRASIA X BERHAD (MACQ),523821,18-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,18-Mar-19,7:12 PM,0.05,0.045,0.055,0.05,"13,089","0.045 / 37,444",0.050 / 82
ABF MALAYSIA BOND INDEX FUND,0800EA,18-Mar-19,7:12 PM,-,-,-,1.173,0,"1.169 / 1,000","1.174 / 1,000"
ABLEGROUP BERHAD,7086,18-Mar-19,7:12 PM,-,-,-,0.07,0,"0.070 / 9,210","0.075 / 3,717"
ALLIANCE BANK MALAYSIA BERHAD,2488,18-Mar-19,7:12 PM,4.15,4.14,4.2,4.2,"4,117",4.190 / 66,"4.200 / 1,185"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,18-Mar-19,7:12 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,18-Mar-19,7:12 PM,-,-,-,0.25,0,0.250 / 60,0.300 / 47
ACOUSTECH BHD,7120,18-Mar-19,7:12 PM,0.435,0.43,0.445,0.43,"9,554",0.430 / 104,0.445 / 544
ADVANCECON HOLDINGS BERHAD,5281,18-Mar-19,7:12 PM,0.43,0.43,0.46,0.45,"48,578","0.450 / 8,212",0.455 / 440
