name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,21-Mar-19,7:12 PM,0.21,0.21,0.215,0.215,500,0.035 / 50,0.235 / 100
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,21-Mar-19,7:12 PM,0.855,0.815,0.855,0.815,400,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,21-Mar-19,7:12 PM,0.495,0.495,0.495,0.495,300,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,21-Mar-19,7:12 PM,0.265,0.25,0.265,0.25,"4,802",0.100 / 100,0.340 / 441
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,21-Mar-19,7:12 PM,0.365,0.34,0.365,0.34,"21,049",0.340 / 30,0.355 / 40
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,21-Mar-19,7:12 PM,-,-,-,0.72,0,0.000 / 0,0.820 / 120
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,21-Mar-19,7:12 PM,-,-,-,1.01,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,21-Mar-19,7:12 PM,0.585,0.565,0.59,0.565,"5,724",0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,21-Mar-19,7:12 PM,0.26,0.235,0.29,0.235,"240,463",0.230 / 100,0.245 / 400
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,21-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,21-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.040 / 56
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,21-Mar-19,7:12 PM,-,-,-,0.035,0,"0.005 / 1,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,21-Mar-19,7:12 PM,0.065,0.065,0.07,0.07,"9,809",0.065 / 500,0.070 / 200
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,21-Mar-19,7:12 PM,0.36,0.36,0.375,0.375,"255,400",0.200 / 100,0.480 / 10
ASTRAL ASIA BHD,7054,21-Mar-19,7:12 PM,-,-,-,0.16,0,0.160 / 400,0.170 / 80
AIRASIA X BERHAD,5238,21-Mar-19,7:12 PM,0.255,0.25,0.255,0.25,"35,197","0.250 / 94,870","0.255 / 25,148"
