name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,11-Apr-19,7:11 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,11-Apr-19,7:11 PM,0.365,0.32,0.365,0.325,"37,957",0.315 / 20,0.000 / 0
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,11-Apr-19,7:11 PM,0.54,0.445,0.54,0.45,"32,275",0.260 / 10,0.550 / 350
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,11-Apr-19,7:11 PM,1.1,1.1,1.1,1.1,10,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,11-Apr-19,7:11 PM,-,-,-,1.21,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,11-Apr-19,7:11 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,11-Apr-19,7:11 PM,0.355,0.305,0.355,0.305,"92,238",0.300 / 100,0.000 / 0
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70340,11-Apr-19,7:11 PM,0.445,0.385,0.445,0.385,"236,860",0.000 / 0,0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,11-Apr-19,7:11 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,11-Apr-19,7:11 PM,0.02,0.02,0.03,0.03,950,0.030 / 100,0.060 / 550
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,11-Apr-19,7:11 PM,0.22,0.22,0.265,0.265,"174,195",0.255 / 50,0.270 / 150
ASTRAL ASIA BHD,7054,11-Apr-19,7:11 PM,-,-,-,0.15,0,0.155 / 150,0.165 / 110
AIRASIA X BERHAD,5238,11-Apr-19,7:11 PM,0.235,0.23,0.235,0.23,"69,787","0.230 / 51,122","0.235 / 53,459"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,11-Apr-19,7:11 PM,0.04,0.035,0.045,0.035,"37,543","0.035 / 32,642","0.040 / 5,056"
ABF MALAYSIA BOND INDEX FUND,0800EA,11-Apr-19,7:11 PM,1.185,1.185,1.185,1.185,3,"1.180 / 1,000",1.185 / 997
ABLEGROUP BERHAD,7086,11-Apr-19,7:11 PM,0.08,0.08,0.085,0.085,"2,948","0.080 / 4,250","0.085 / 4,909"
ALLIANCE BANK MALAYSIA BERHAD,2488,11-Apr-19,7:11 PM,4.09,4.05,4.09,4.08,"1,137",4.050 / 60,4.080 / 106
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,11-Apr-19,7:11 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,11-Apr-19,7:11 PM,-,-,-,0.26,0,0.255 / 50,0.300 / 47
ACOUSTECH BHD,7120,11-Apr-19,7:11 PM,0.42,0.415,0.43,0.415,"18,938","0.410 / 1,540",0.415 / 17
ADVANCECON HOLDINGS BERHAD,5281,11-Apr-19,7:11 PM,0.475,0.455,0.475,0.46,"26,875","0.460 / 1,368","0.465 / 1,232"
ADVENTA BHD,7191,11-Apr-19,7:11 PM,0.36,0.36,0.36,0.36,60,0.360 / 390,0.370 / 170
ADVANCED PACKAGING TECHNOLOGY,9148,11-Apr-19,7:11 PM,-,-,-,1.85,0,1.840 / 70,2.130 / 10
AE MULTI HOLDINGS BHD,7146,11-Apr-19,7:11 PM,0.105,0.105,0.105,0.105,100,0.105 / 401,"0.110 / 2,013"
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,11-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.010 / 17,742"
AEMULUS HOLDINGS BERHAD,181,11-Apr-19,7:11 PM,0.245,0.235,0.245,0.24,"21,558","0.235 / 5,690","0.240 / 1,040"
AEON CO. (M) BHD,6599,11-Apr-19,7:11 PM,1.47,1.43,1.48,1.44,"8,961","1.430 / 1,401",1.460 / 564
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,11-Apr-19,7:11 PM,0.03,0.025,0.03,0.03,"6,681","0.020 / 1,750","0.030 / 3,369"
AEON-CP: CW AEON CO (M) BERHAD (RHB),6599CP,11-Apr-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),6599CQ,11-Apr-19,7:11 PM,-,-,-,0.01,0,0.000 / 0,0.040 / 500
AEON CREDIT SERVICE (M) BHD,5139,11-Apr-19,7:11 PM,16.7,16.66,16.9,16.74,542,16.680 / 3,16.740 / 6
AEONCR-CC: CW AEON CREDIT SERVICE (M) BERHAD (MIBB),5139CC,11-Apr-19,7:11 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,11-Apr-19,7:11 PM,1.51,1.51,1.51,1.51,8,1.510 / 102,1.540 / 10
AFFIN BANK BERHAD,5185,11-Apr-19,7:11 PM,2.19,2.18,2.19,2.18,366,2.180 / 833,2.190 / 46
ABM FUJIYA BERHAD,5198,11-Apr-19,7:11 PM,0.565,0.54,0.59,0.55,760,0.550 / 300,0.570 / 43
AHB HOLDINGS BHD,7315,11-Apr-19,7:11 PM,0.14,0.14,0.145,0.14,"8,636","0.140 / 12,620","0.145 / 2,839"
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,7315WB,11-Apr-19,7:11 PM,0.01,0.01,0.015,0.015,"7,724","0.010 / 11,092","0.015 / 21,556"
APEX HEALTHCARE BHD,7090,11-Apr-19,7:11 PM,9.12,9.1,9.13,9.1,11,9.050 / 10,9.130 / 6
AMANAH HARTA TANAH PNB,4952,11-Apr-19,7:11 PM,0.75,0.75,0.755,0.755,54,0.755 / 184,0.780 / 14
ADVANCE INFORMATION MARKETING,122,11-Apr-19,7:11 PM,-,-,-,0.26,0,0.220 / 300,0.280 / 354
AIRASIA GROUP BERHAD,5099,11-Apr-19,7:11 PM,2.54,2.45,2.56,2.47,"127,005","2.470 / 1,133",2.480 / 455
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),509959,11-Apr-19,7:11 PM,-,-,-,0.02,0,0.000 / 0,0.000 / 0
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),509967,11-Apr-19,7:11 PM,0.025,0.015,0.03,0.02,"19,180","0.010 / 3,000",0.020 / 850
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),509971,11-Apr-19,7:11 PM,0.04,0.035,0.045,0.04,"13,000",0.040 / 53,0.045 / 150
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),509972,11-Apr-19,7:11 PM,0.11,0.11,0.11,0.11,200,0.000 / 0,0.115 / 850
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),509973,11-Apr-19,7:11 PM,-,-,-,0.12,0,0.000 / 0,0.000 / 0
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),509974,11-Apr-19,7:11 PM,-,-,-,0.285,0,0.000 / 0,0.340 / 30
AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),509975,11-Apr-19,7:11 PM,-,-,-,0.08,0,0.065 / 40,0.000 / 0
AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB),509976,11-Apr-19,7:11 PM,0.04,0.035,0.04,0.035,160,0.000 / 0,0.000 / 0
AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ),509977,11-Apr-19,7:11 PM,0.04,0.035,0.04,0.04,"24,215","0.030 / 1,500",0.040 / 648
AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB),509978,11-Apr-19,7:11 PM,-,-,-,0.07,0,0.000 / 0,0.000 / 0
AIRASIAC79: CW AIRASIA GROUP BERHAD (CIMB),509979,11-Apr-19,7:11 PM,0.03,0.03,0.03,0.03,"4,800",0.030 / 50,"0.040 / 10,154"
AIRASIAC80: CW AIRASIA GROUP BERHAD (KIBB),509980,11-Apr-19,7:11 PM,0.03,0.03,0.03,0.03,500,"0.010 / 1,000","0.070 / 5,200"
