name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,5-Mar-19,7:11 PM,0.29,0.28,0.305,0.3,"32,828",0.270 / 50,0.310 / 1
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,5-Mar-19,7:11 PM,0.91,0.91,0.91,0.91,100,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,5-Mar-19,7:11 PM,-,-,-,0.505,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,5-Mar-19,7:11 PM,0.295,0.29,0.305,0.295,"11,166",0.000 / 0,0.300 / 200
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,5-Mar-19,7:11 PM,0.4,0.395,0.415,0.41,"166,114",0.390 / 150,0.420 / 309
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,5-Mar-19,7:11 PM,0.95,0.87,0.95,0.87,51,0.835 / 100,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,5-Mar-19,7:11 PM,1.06,1.06,1.06,1.06,54,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,5-Mar-19,7:11 PM,0.62,0.62,0.62,0.62,774,0.000 / 0,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,5-Mar-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,5-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.035 / 56
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,5-Mar-19,7:11 PM,-,-,-,0.035,0,0.010 / 200,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,5-Mar-19,7:11 PM,0.075,0.065,0.075,0.07,"15,053","0.065 / 1,100","0.070 / 2,542"
ASTRAL ASIA BHD,7054,5-Mar-19,7:11 PM,-,-,-,0.145,0,0.145 / 605,0.155 / 410
