name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,28-Mar-19,7:12 PM,-,-,-,0.055,0,0.000 / 0,0.000 / 0
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,28-Mar-19,7:12 PM,-,-,-,0.815,0,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,28-Mar-19,7:12 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,28-Mar-19,7:12 PM,0.195,0.195,0.21,0.21,"13,886",0.050 / 100,0.260 / 100
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,28-Mar-19,7:12 PM,0.25,0.245,0.265,0.265,"11,190",0.245 / 1,0.265 / 50
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,28-Mar-19,7:12 PM,-,-,-,0.72,0,0.000 / 0,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,28-Mar-19,7:12 PM,-,-,-,0.895,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,28-Mar-19,7:12 PM,0.46,0.455,0.485,0.48,"58,912",0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,28-Mar-19,7:12 PM,0.19,0.175,0.19,0.185,"49,737",0.160 / 10,0.195 / 120
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,28-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,28-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,28-Mar-19,7:12 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,28-Mar-19,7:12 PM,0.075,0.075,0.075,0.075,513,0.075 / 449,0.090 / 700
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,28-Mar-19,7:12 PM,0.44,0.41,0.44,0.42,"132,050",0.380 / 200,0.000 / 0
ASTRAL ASIA BHD,7054,28-Mar-19,7:12 PM,-,-,-,0.16,0,0.150 / 300,0.170 / 80
AIRASIA X BERHAD,5238,28-Mar-19,7:12 PM,0.245,0.245,0.25,0.245,"28,738","0.245 / 64,968","0.250 / 29,685"
