name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70322,12-Mar-19,7:11 PM,0.145,0.125,0.165,0.14,"43,298",0.140 / 400,0.155 / 100
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70324,12-Mar-19,7:11 PM,0.705,0.64,0.705,0.685,700,0.000 / 0,0.000 / 0
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,12-Mar-19,7:11 PM,-,-,-,0.43,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,12-Mar-19,7:11 PM,0.23,0.215,0.235,0.22,"16,774",0.220 / 50,0.250 / 50
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,12-Mar-19,7:11 PM,0.3,0.265,0.32,0.29,"146,974",0.285 / 500,0.290 / 690
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,12-Mar-19,7:11 PM,0.69,0.69,0.69,0.69,100,0.660 / 100,0.000 / 0
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,12-Mar-19,7:11 PM,0.915,0.88,0.915,0.88,111,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,12-Mar-19,7:11 PM,0.505,0.475,0.52,0.495,"6,827",0.450 / 50,0.000 / 0
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70321,12-Mar-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70323,12-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,12-Mar-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,12-Mar-19,7:11 PM,0.08,0.08,0.1,0.1,"5,476","0.085 / 2,000",0.095 / 117
ASTRAL ASIA BHD,7054,12-Mar-19,7:11 PM,0.145,0.145,0.145,0.145,350,0.145 / 795,0.200 / 169
AIRASIA X BERHAD,5238,12-Mar-19,7:11 PM,0.25,0.25,0.255,0.25,"20,980","0.250 / 67,566","0.255 / 35,565"
AAX-C20: CW AIRASIA X BERHAD (RHB),523820,12-Mar-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 10,330"
AAX-C21: CW AIRASIA X BERHAD (MACQ),523821,12-Mar-19,7:11 PM,-,-,-,0.005,0,0.005 / 200,0.000 / 0
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,12-Mar-19,7:11 PM,0.05,0.05,0.055,0.055,"36,929","0.050 / 1,000","0.055 / 20,007"
ABF MALAYSIA BOND INDEX FUND,0800EA,12-Mar-19,7:11 PM,-,-,-,1.17,0,"1.167 / 1,013","1.172 / 1,000"
ABLEGROUP BERHAD,7086,12-Mar-19,7:11 PM,-,-,-,0.075,0,"0.070 / 10,883","0.075 / 1,632"
ALLIANCE BANK MALAYSIA BERHAD,2488,12-Mar-19,7:11 PM,4.13,4.13,4.16,4.14,"5,271","4.140 / 2,854","4.150 / 2,511"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,12-Mar-19,7:11 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,12-Mar-19,7:11 PM,-,-,-,0.25,0,0.250 / 60,0.300 / 47
ACOUSTECH BHD,7120,12-Mar-19,7:11 PM,0.445,0.44,0.45,0.445,"17,214",0.440 / 344,0.445 / 392
ADVANCECON HOLDINGS BERHAD,5281,12-Mar-19,7:11 PM,0.405,0.39,0.405,0.39,"21,631","0.390 / 6,265","0.395 / 1,000"
ADVENTA BHD,7191,12-Mar-19,7:11 PM,0.355,0.355,0.355,0.355,200,0.360 / 19,0.380 / 160
ADVANCED PACKAGING TECHNOLOGY,9148,12-Mar-19,7:11 PM,1.9,1.9,1.9,1.9,51,1.870 / 30,2.000 / 179
AE MULTI HOLDINGS BHD,7146,12-Mar-19,7:11 PM,0.115,0.115,0.115,0.115,300,"0.110 / 3,100",0.115 / 681
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,12-Mar-19,7:11 PM,0.005,0.005,0.005,0.005,500,"0.005 / 11,935","0.010 / 21,622"
AEMULUS HOLDINGS BERHAD,181,12-Mar-19,7:11 PM,0.24,0.24,0.245,0.245,"29,061","0.240 / 5,302","0.245 / 1,355"
AEON CO. (M) BHD,6599,12-Mar-19,7:11 PM,1.58,1.54,1.58,1.58,"9,701",1.580 / 104,1.590 / 125
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,12-Mar-19,7:11 PM,0.05,0.045,0.05,0.045,"8,350",0.045 / 210,"0.050 / 4,820"
