name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,5-Apr-19,7:12 PM,-,-,-,0.495,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,5-Apr-19,7:12 PM,-,-,-,0.335,0,0.200 / 300,0.000 / 0
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,5-Apr-19,7:12 PM,-,-,-,0.475,0,0.300 / 100,0.000 / 0
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,5-Apr-19,7:12 PM,-,-,-,1.01,0,0.790 / 20,1.100 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,5-Apr-19,7:12 PM,-,-,-,0.985,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,5-Apr-19,7:12 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,5-Apr-19,7:12 PM,-,-,-,0.325,0,"0.325 / 1,000",0.000 / 0
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,5-Apr-19,7:12 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,5-Apr-19,7:12 PM,-,-,-,0.035,0,0.030 / 333,0.045 / 200
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,5-Apr-19,7:12 PM,0.25,0.225,0.25,0.23,"1,429",0.225 / 380,0.255 / 795
ASTRAL ASIA BHD,7054,5-Apr-19,7:12 PM,-,-,-,0.15,0,0.150 / 267,0.170 / 80
AIRASIA X BERHAD,5238,5-Apr-19,7:12 PM,0.245,0.24,0.245,0.24,"119,256","0.240 / 57,975","0.245 / 18,904"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,5-Apr-19,7:12 PM,0.045,0.04,0.045,0.04,"4,112","0.040 / 30,445","0.045 / 7,039"
ABF MALAYSIA BOND INDEX FUND,0800EA,5-Apr-19,7:12 PM,-,-,-,1.182,0,1.182 / 45,"1.184 / 1,000"
ABLEGROUP BERHAD,7086,5-Apr-19,7:12 PM,0.075,0.075,0.08,0.08,"1,153","0.075 / 12,593","0.080 / 5,113"
ALLIANCE BANK MALAYSIA BERHAD,2488,5-Apr-19,7:12 PM,4.1,4.09,4.12,4.12,"1,299",4.070 / 234,"4.120 / 5,026"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,5-Apr-19,7:12 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,5-Apr-19,7:12 PM,-,-,-,0.26,0,0.260 / 50,0.300 / 47
ACOUSTECH BHD,7120,5-Apr-19,7:12 PM,0.415,0.415,0.42,0.42,"17,173","0.410 / 1,396",0.420 / 742
ADVANCECON HOLDINGS BERHAD,5281,5-Apr-19,7:12 PM,0.43,0.425,0.435,0.43,"6,257",0.425 / 787,0.430 / 410
ADVENTA BHD,7191,5-Apr-19,7:12 PM,0.355,0.35,0.355,0.35,320,"0.350 / 11,885",0.355 / 10
ADVANCED PACKAGING TECHNOLOGY,9148,5-Apr-19,7:12 PM,1.85,1.85,1.85,1.85,50,1.850 / 50,2.300 / 20
AE MULTI HOLDINGS BHD,7146,5-Apr-19,7:12 PM,0.105,0.105,0.105,0.105,"3,679",0.105 / 17,"0.110 / 1,290"
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,5-Apr-19,7:12 PM,-,-,-,0.005,0,"0.005 / 2,000","0.010 / 14,693"
AEMULUS HOLDINGS BERHAD,181,5-Apr-19,7:12 PM,0.24,0.24,0.24,0.24,"5,455",0.240 / 36,"0.245 / 3,877"
AEON CO. (M) BHD,6599,5-Apr-19,7:12 PM,1.5,1.49,1.53,1.51,"6,608",1.500 / 24,1.520 / 191
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,5-Apr-19,7:12 PM,0.025,0.025,0.03,0.03,"12,975",0.030 / 429,"0.035 / 2,200"
AEON-CP: CW AEON CO (M) BERHAD (RHB),6599CP,5-Apr-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),6599CQ,5-Apr-19,7:12 PM,-,-,-,0.03,0,0.000 / 0,0.040 / 500
AEON CREDIT SERVICE (M) BHD,5139,5-Apr-19,7:12 PM,16.96,16.84,16.96,16.86,666,16.840 / 25,16.860 / 47
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,5-Apr-19,7:12 PM,1.55,1.55,1.55,1.55,30,1.520 / 56,1.550 / 95
AFFIN BANK BERHAD,5185,5-Apr-19,7:12 PM,2.2,2.19,2.2,2.2,"1,612","2.190 / 1,060",2.200 / 137
ABM FUJIYA BERHAD,5198,5-Apr-19,7:12 PM,0.525,0.525,0.525,0.525,200,0.500 / 100,0.525 / 100
AHB HOLDINGS BHD,7315,5-Apr-19,7:12 PM,0.14,0.14,0.15,0.14,"4,339","0.140 / 6,597","0.145 / 1,161"
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,7315WB,5-Apr-19,7:12 PM,0.01,0.01,0.015,0.01,282,"0.010 / 17,584","0.015 / 11,899"
APEX HEALTHCARE BHD,7090,5-Apr-19,7:12 PM,9,8.89,9,8.92,63,8.900 / 10,8.920 / 41
AMANAH HARTA TANAH PNB,4952,5-Apr-19,7:12 PM,0.77,0.75,0.77,0.75,420,0.750 / 67,0.785 / 100
ADVANCE INFORMATION MARKETING,122,5-Apr-19,7:12 PM,-,-,-,0.25,0,0.230 / 360,0.280 / 354
AIRASIA GROUP BERHAD,5099,5-Apr-19,7:12 PM,2.68,2.64,2.68,2.65,"40,452","2.650 / 3,438",2.660 / 19
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),509959,5-Apr-19,7:12 PM,-,-,-,0.02,0,0.000 / 0,0.000 / 0
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),509967,5-Apr-19,7:12 PM,0.055,0.05,0.055,0.05,"2,826","0.045 / 1,000","0.060 / 2,085"
