date,BINASAT COMMUNICATIONS BERHAD,INNITY CORPORATION BHD,M N C WIRELESS BERHAD - WARRANTS A 2016/2021,M3 TECHNOLOGIES (ASIA) BERHAD - WARRANTS A 2016/2019,M3 TECHNOLOGIES(ASIA)BHD,MNC WIRELESS BHD,MTOUCHE TECH BHD-WB 2010/2020,MTOUCHE TECHNOLOGY BERHAD - WARRANTS C 2017/2020,MTOUCHE TECHNOLOGY BHD,NEXGRAM HOLDINGS BERHAD,NEXGRAM HOLDINGS BERHAD - WA 12/22,NEXGRAM HOLDINGS BERHAD - WARRANTS C  14/24,NEXGRAM HOLDINGS BERHAD - WB 13/23,OPCOM HOLDINGS BHD,PRIVASIA TECHNOLOGY BERHAD,PUC BERHAD,PUC BERHAD - WARRANTS A,REDTONE INTERNATIONAL BHD,REV ASIA BERHAD,SEDANIA INNOVATOR BERHAD,SILVER RIDGE HLDG-WARRANT13/23,SILVER RIDGE HOLDINGS BHD,XOX BHD
2019-02-26,-0.024096385542168558,0.0,-0.3333333333333333,0.0,-0.09090909090909087,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,-0.041095890410958937,-0.12499999999999993,0.0,0.0,-0.0232558139534884,-0.023809523809523832,-0.11538461538461538,-0.0454545454545455,-0.04761904761904767,0.0
2019-02-27,0.012345679012345552,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,0.08333333333333341,0.0,0.0,0.0,0.0,-0.07857142857142849,0.07142857142857129,-0.05000000000000005,0.0,-0.023809523809523832,0.0,0.0,-0.04761904761904753,-0.016666666666666684,0.0
2019-02-28,-0.02439024390243891,-0.06451612903225812,0.0,0.0,-0.10000000000000007,-0.11111111111111106,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,-0.031007751937984523,-0.2,0.0,0.0,-0.02439024390243891,-0.02439024390243891,0.04347826086956513,-0.15,-0.0677966101694914,0.0
2019-03-01,0.0,0.06034482758620696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.16666666666666682,0.05263157894736847,0.07692307692307697,0.07499999999999993,0.0,0.0,-0.05882352941176475,-0.07272727272727278,-0.09090909090909087
2019-03-04,0.012500000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500000000000001,0.0,0.0,0.0,-0.015384615384615398,0.0,0.0,-0.07142857142857148,0.0,0.0,-0.04166666666666659,0.0,-0.03921568627450984,0.0
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,-0.023437500000000017,-0.07142857142857148,-0.05000000000000005,0.0,-0.0232558139534884,0.024999999999999883,0.0,-0.06250000000000007,-0.06122448979591831,0.0
2019-03-06,0.0,0.0,0.0,0.0,0.11111111111111124,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,0.03200000000000003,0.0,0.0,0.0,0.023809523809523832,-0.02439024390243891,0.04347826086956513,0.0,0.0,0.0
2019-03-07,0.0,-0.08943089430894301,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0,0.09090909090909087,0.0,0.0,0.0,0.0,0.0,0.07692307692307697,0.0,0.0,0.046511627906976785,0.0,0.0,0.06666666666666674,0.02173913043478251,0.09999999999999996
2019-03-08,-0.012345679012345687,0.008928571428571237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496131,-0.07142857142857148,0.0,0.0,0.02222222222222224,0.0,0.0,-0.12499999999999993,-0.02127659574468076,-0.09090909090909087
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,-0.038461538461538484,0.0,0.0,0.0,0.0,-0.025000000000000026,0.0,-0.14285714285714296,-0.021739130434782625,0.0
2019-03-12,0.0,-0.008849557522123706,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000014,0.0,0.0,-0.07692307692307697,0.04347826086956513,0.0,0.0,0.16666666666666682,-0.02222222222222224,0.0
2019-03-13,0.0,0.02678571428571411,-0.5,0.0,0.0,0.0,0.0,0.0,0.09090909090909087,0.0,0.0,0.0,0.0,-0.007874015748031503,0.07692307692307697,0.0,0.0,0.10416666666666677,0.05128205128205118,-0.0833333333333333,-0.14285714285714296,0.0,0.0
2019-03-14,0.024999999999999883,0.0,0.0,0.0,0.11111111111111124,-0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03968253968253972,-0.07142857142857148,0.1052631578947368,0.16666666666666682,0.150943396226415,0.024390243902439046,0.0454545454545455,0.08333333333333341,0.02272727272727275,0.0
2019-03-15,-0.012195121951219388,0.0,0.0,0.0,0.0,0.28571428571428553,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.022900763358778647,0.07692307692307697,0.04761904761904767,0.14285714285714274,-0.049180327868852514,0.0714285714285715,0.04347826086956513,-0.15384615384615388,-0.02222222222222224,0.0
2019-03-18,-0.012345679012345687,0.0,0.0,0.0,0.0,-0.11111111111111106,0.0,0.0,0.08333333333333341,0.0,0.0,0.0,0.0,0.0,-0.07142857142857148,-0.0454545454545455,0.0,-0.034482758620689495,0.0,0.0,0.09090909090909087,0.0,0.09999999999999996
