date,ASTRO-C10: CW ASTRO MALAYSIA HOLDINGS BERHAD (RHB),ASTRO-C11: CW ASTRO MALAYSIA HOLDINGS BERHAD (KIBB),ASTRO-C12: CW ASTRO MALAYSIA HOLDINGS BERHAD (MACQ),ASTRO-C13: CW ASTRO MALAYSIA HOLDINGS BERHAD (MIBB),ASTRO-C14: CW ASTRO MALAYSIA HOLDINGS BERHAD (CIMB),AXIATA-C28: CW AXIATA GROUP BERHAD (CIMB),AXIATA-C29: CW AXIATA GROUP BERHAD (KIBB),AXIATA-C30: CW AXIATA GROUP BERHAD (MIBB),AXIATA-C31: CW AXIATA GROUP BERHAD (AM),AXIATA-C32: CW AXIATA GROUP BERHAD (RHB),AXIATA-C33: CW AXIATA GROUP BERHAD (MACQ),AXIATA-C34: CW AXIATA GROUP BERHAD (CIMB),AXIATA-C35: CW AXIATA GROUP BERHAD (KIBB),AXIATA-C36: CW AXIATA GROUP BERHAD (RHB),AXIATA-C37: CW AXIATA GROUP BERHAD (CIMB),DIGI-C24: CW DIGI.COM BERHAD (CIMB),DIGI-C25: CW DIGI.COM BERHAD (MIBB),DIGI-C26: CW DIGI.COM BERHAD (RHB),DIGI-C27: CW DIGI.COM BERHAD (KIBB),DIGI-C28: CW DIGI.COM BERHAD (MACQ),MAXIS-C10: CW MAXIS BERHAD (CIMB),MAXIS-C8: CW MAXIS BERHAD (MIBB),MAXIS-C9: CW MAXIS BERHAD (KIBB),TM-C27: CW TELEKOM MALAYSIA BERHAD (MACQ),TM-C28: CW TELEKOM MALAYSIA BERHAD (CIMB),TM-C29: CW TELEKOM MALAYSIA BERHAD (KIBB),TM-C30: CW TELEKOM MALAYSIA BERHAD (MIBB),TM-C31: CW TELEKOM MALAYSIA BERHAD (MIBB),TM-C32: CW TELEKOM MALAYSIA BERHAD (MACQ),TM-C33: CW TELEKOM MALAYSIA BERHAD (MIBB),TM-C34: CW TELEKOM MALAYSIA BERHAD (CIMB),TM-C35: CW TELEKOM MALAYSIA BERHAD (MACQ),TM-C36: CW TELEKOM MALAYSIA BERHAD (MACQ),TM-C37: CW TELEKOM MALAYSIA BERHAD (CIMB),TM-C38: CW TELEKOM MALAYSIA BERHAD (KIBB),TM-C39: CW TELEKOM MALAYSIA BERHAD (MACQ),TM-C40: CW TELEKOM MALAYSIA BERHAD (RHB),TM-C41: CW TELEKOM MALAYSIA BERHAD (MACQ)
2019-03-12,-0.040000000000000036,0.0,-0.05263157894736847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030303030303030325,-0.030303030303030325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,0.04166666666666671,0.19512195121951226,0.02631578947368424,0.024999999999999883,0.02000000000000001,0.031250000000000035,
2019-03-13,-0.1666666666666666,0.0,-0.16666666666666666,-0.11111111111111106,0.0,0.0,0.0,0.0,0.0,0.0,0.06250000000000007,0.12499999999999993,0.0,0.0571428571428572,0.06666666666666674,0.0,0.0,0.0,0.0,0.0,-0.15384615384615388,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-03-14,0.04999999999999991,0.0,0.0,0.0,-0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.05882352941176459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01282051282051283,0.0,0.0,0.0,
2019-03-15,0.09523809523809533,0.0,0.13333333333333347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027053,0.06250000000000007,0.28571428571428553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.025974025974026,0.0,-0.03921568627450984,0.0,
2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,0.05555555555555562,0.0,0.05263157894736847,0.11764705882352935,0.0,0.0,0.0,0.04761904761904767,0.0,0.2727272727272728,0.0,0.11111111111111124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04166666666666659,0.0,0.013333333333333345,0.0,-0.02040816326530614,0.0,
2019-03-19,0.04347826086956513,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.02631578947368424,-0.02631578947368424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,-0.07142857142857148,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0454545454545455,0.08695652173913039,0.0,-0.013157894736842115,0.0,0.06250000000000007,0.0,
2019-03-20,-0.04166666666666659,0.0,-0.05882352941176475,-0.06250000000000007,0.08333333333333341,0.0,,0.0,0.0,0.0,-0.054054054054054106,-0.027027027027027053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.04761904761904753,0.0,0.0,0.013333333333333345,0.0,-0.01960784313725492,0.0,0.05263157894736847
2019-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0285714285714286,0.0,-0.06451612903225812,0.0,-0.05263157894736847,-0.22222222222222213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013157894736842115,0.0,-0.02000000000000001,0.0,0.0
2019-03-22,0.0,0.0,-0.06250000000000007,-0.06666666666666654,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.15,-0.07999999999999996,-0.04081632653061228,-0.040000000000000036,-0.09756097560975606,-0.04081632653061228,0.0,-0.05000000000000005
2019-03-25,0.0,0.0,-0.13333333333333328,0.0,0.0,0.0,,0.0,0.0,0.0,-0.055555555555555455,0.0,-0.06896551724137917,0.0,-0.05882352941176475,0.0,0.0,0.0,0.0,-0.20000000000000004,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.05882352941176475,-0.0869565217391305,0.0,-0.027777777777777804,-0.054054054054054106,-0.02127659574468076,0.0,-0.1052631578947368
