date,ATTA GLOBAL GROUP BERHAD - ICULS 12/22,BERJAYA CORP BHD-ICULS 12/22,BERJAYA CORPORATION BERHAD - ICULS 2016/2026,CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,HIAP TECK VENTURE BERHAD - RCUIDS 2016/2021,IRE-TEX CORPORATION BERHAD-ICULS 14/19,PMB TECHNOLOGY BERHAD - ICULS A 2018/2023,SOUTHERN STEEL BERHAD - RCULS 2015/2020,THONG GUAN INDUSTRIES BERHAD - ICULS 2014/2019
2019-02-26,-0.4166666666666666,0.0,0.0,0.0,0.016666666666666684,0.0,0.0,0.0,0.0
2019-02-27,0.07142857142857129,-0.02857142857142844,0.0,0.0,-0.03278688524590167,0.0,0.0,0.0,0.0
2019-02-28,-0.06666666666666654,0.014705882352941025,0.0,0.0,-0.0169491525423729,0.3333333333333334,0.0,0.0,0.0
2019-03-01,0.07142857142857129,0.0,0.0,0.0,0.017241379310344845,-0.2500000000000001,0.0,0.0,0.0
2019-03-04,0.2,0.014492753623188418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05,-0.11111111111111106,0.0142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-06,0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333325
2019-03-07,0.0,0.0,0.0,0.0,0.0338983050847458,0.0,0.009433962264150879,0.0,0.0
2019-03-08,-0.055555555555555455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-11,0.0,-0.028169014084507067,0.0,0.0,-0.016393442622950834,0.0,0.0,0.0,0.0
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-13,-0.05882352941176475,-0.014492753623188259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-14,0.0,0.014705882352941025,0.0,0.2500000000000001,0.016666666666666684,0.0,0.0,0.0,0.01960784313725501
2019-03-15,0.06250000000000007,0.0,0.0,0.0,0.016393442622950834,0.0,0.0,0.0,0.0
2019-03-18,0.0,0.014492753623188418,0.0,0.0,0.01612903225806453,0.0,0.00311526479750786,0.0,0.0
2019-03-19,-0.05882352941176475,-0.0142857142857143,0.0,0.0,-0.04761904761904767,0.0,0.0,0.0,0.0
2019-03-20,0.0,0.0,0.0,0.0,0.016666666666666684,0.3333333333333334,0.0,0.0,0.0
2019-03-21,0.0,0.0,0.0,0.0,-0.016393442622950834,0.0,0.12422360248447202,0.0,0.0
2019-03-22,-0.06250000000000007,-0.014492753623188259,0.0,0.0,0.0,0.0,0.0,0.0,-0.011538461538461636
2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-27,0.0,0.014705882352941025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-28,0.0,0.0,0.0,0.0,-0.03333333333333337,0.0,0.0,0.0,0.0
2019-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-02,0.0,0.014492753623188418,0.0,0.0,0.0,0.0,0.0027624309392264602,0.0,0.0
2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.005509641873278242,0.16447368421052633,0.0
2019-04-04,0.0,-0.0142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-05,0.0,0.014492753623188418,0.0,0.0,0.0,-0.2500000000000001,0.0,-0.016949152542372895,0.0
2019-04-08,0.0,0.0142857142857143,0.0,0.0,0.03448275862068969,0.0,-0.06575342465753417,0.017241379310344845,0.0
2019-04-09,0.0,-0.028169014084507067,0.0,0.0,0.0,0.0,0.005865102639296193,0.0,-0.0505836575875486
2019-04-10,0.0,0.014492753623188418,0.0,0.0,0.0,0.0,0.0,0.016949152542372895,0.0
2019-04-11,-0.06666666666666654,0.0142857142857143,0.0,0.0,-0.016666666666666684,0.0,0.0,0.0,0.0
2019-04-12,0.07142857142857129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
