date,FGV-C55: CW FGV HOLDINGS BERHAD (CIMB),FGV-C56: CW FGV HOLDINGS BERHAD (MACQ),FGV-C57: CW FGV HOLDINGS BERHAD (RHB),FGV-C58: CW FGV HOLDINGS BERHAD (CIMB),FGV-C59: CW FGV HOLDINGS BERHAD (MACQ),FGV-C60: CW FGV HOLDINGS BERHAD (KIBB),FGV-C61: CW FGV HOLDINGS BERHAD (MACQ),FGV-C62: CW FGV HOLDINGS BERHAD (RHB),FGV-C63: CW FGV HOLDINGS BERHAD (MACQ),FGV-C64: CW FGV HOLDINGS BERHAD (RHB),FGV-C65: CW FGV HOLDINGS BERHAD (KIBB),FGV-C66: CW FGV HOLDINGS BERHAD (MACQ),FGV-C67: CW FGV HOLDINGS BERHAD (CIMB),FGV-C68: CW FGV HOLDINGS BERHAD (MIBB),FGV-C69: CW FGV HOLDINGS BERHAD (KIBB),FGV-C70: CW FGV HOLDINGS BERHAD (CIMB),FGV-C71: CW FGV HOLDINGS BERHAD (KIBB),FGV-C72: CW FGV HOLDINGS BERHAD (MACQ),FGV-C73: CW FGV HOLDINGS BERHAD (MACQ),GENP-CI: CW GENTING PLANTATIONS BERHAD (MIBB),IOICORP-C19: CW IOI CORPORATION BERHAD (CIMB),IOICORP-C20: CW IOI CORPORATION BERHAD (KIBB),IOICORP-C21: CW IOI CORPORATION BERHAD (MIBB),KLK-C2: CW KUALA LUMPUR KEPONG BERHAD (RHB),KLK-C3: CW KUALA LUMPUR KEPONG BERHAD (KIBB),SIMEPLT-CH: CW SIME DARBY PLANTATION BERHAD (MACQ),SIMEPLT-CI: CW SIME DARBY PLANTATION BERHAD (CIMB),SIMEPLT-CJ: CW SIME DARBY PLANTATION BERHAD (MIBB),SIMEPLT-CK: CW SIME DARBY PLANTATION BERHAD (KIBB),TAANN-CM: CW TA ANN HOLDINGS BERHAD (KIBB)
2019-02-26,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.0952380952380952,-0.07317073170731701,-0.1111111111111112,-0.11627906976744184,-0.08823529411764712,-0.10638297872340424,0.0,0.0,,,,,,0.07142857142857129,,,0.0,,0.0,0.0,-0.04347826086956525,,0.0
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.12499999999999993,0.1052631578947368,0.0,0.0,0.02631578947368424,0.0,0.03571428571428575,0.0,0.0,-0.04166666666666659,,,,,0.0,,,0.0,,0.0,0.0,-0.13636363636363635,,0.0
2019-02-28,0.0,0.0,0.0,-0.5,0.0,0.0,-0.2857142857142857,-0.1904761904761904,-0.13157894736842102,0.0,-0.10256410256410266,0.0,-0.0919540229885057,0.0,-0.30303030303030304,0.0,-0.18181818181818185,,,,-0.26666666666666666,,,0.0,,0.0,0.0,0.05263157894736847,,0.0
2019-03-01,0.0,0.0,0.0,1.0,0.0,-0.5,0.1999999999999999,0.11764705882352935,0.0909090909090908,-0.04166666666666659,0.1142857142857144,0.0,0.10126582278481007,0.0,0.04347826086956513,-0.04347826086956525,0.11111111111111124,,,,-0.09090909090909087,,,0.0,,0.0,-0.38461538461538464,0.0,,0.0
2019-03-04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.027777777777777804,0.04347826086956513,-0.02564102564102566,0.0,-0.022988505747126457,0.0,0.0,0.09090909090909087,0.09999999999999996,,,,0.1999999999999999,,,0.0,,0.0,0.12499999999999993,0.0,,0.0
2019-03-05,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736847,-0.054054054054054106,0.0,0.02631578947368424,0.0,-0.011764705882352951,0.0,0.0,0.0,-0.09090909090909087,,,,0.0,,,0.0,,0.0,-0.11111111111111106,0.0,,0.0
2019-03-06,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.16666666666666682,0.0,0.0285714285714286,0.0,0.0,0.0,0.04761904761904767,0.0,0.0,-0.04166666666666659,0.09999999999999996,,,,-0.1666666666666666,,,0.0,,0.0,0.0,0.0,,0.0
2019-03-07,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,-0.05128205128205133,0.0,-0.034090909090909116,0.0,0.0,-0.04347826086956525,-0.09090909090909087,,,,0.09999999999999996,,,0.0,,0.0,0.2500000000000001,0.0,,0.0
2019-03-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05263157894736847,-0.055555555555555455,0.0,-0.027027027027027053,0.0,-0.011764705882352951,0.0,0.0,0.0,0.0,0.0,0.0,,0.09090909090909087,,,0.0,,0.0,-0.10000000000000007,0.0,,0.0
2019-03-11,0.0,0.0,0.0,0.0,0.0,-0.5,-0.4285714285714286,-0.11111111111111106,-0.08823529411764712,0.0,-0.08333333333333326,0.0,-0.0952380952380952,0.0,0.0,-0.18181818181818185,-0.20000000000000004,-0.22222222222222213,-0.16666666666666666,,0.0,,,0.0,,0.0,0.0,-0.05000000000000005,,0.0
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.0,0.0,0.0,0.030303030303030325,0.0,0.02631578947368424,0.0,-0.0833333333333333,0.05555555555555562,0.0,0.0,0.06666666666666674,,-0.0833333333333333,,,0.0,,0.0,-0.22222222222222213,0.0,,0.0
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06250000000000007,0.06451612903225812,0.0,0.0,0.0,0.06410256410256401,0.0,0.0,0.05263157894736847,0.12499999999999993,0.14285714285714274,0.0,,-0.09090909090909087,,,0.0,,0.0,0.0,0.0,,0.0
