date,CENSOF HOLDINGS BERHAD,CENSOF HOLDINGS BERHAD - WARRANTS B 14/19,CUSCAPI BHD,D&O GREEN TECHNOLOGIES BERHAD,DAGANG NEXCHANGE BERHAD,DAGANG NEXCHANGE BERHAD - WARRANTS 2016/2021,DATAPREP HOLDINGS BHD,DATASONIC GROUP BERHAD,DATASONIC GROUP BERHAD - WARRANTS A 2018/2023,DIGISTAR CORP BHD-WB,DIGISTAR CORPORATION BHD,EDARAN BHD,ELSOFT RESEARCH BHD,EXCEL FORCE MSC BHD,EXCEL FORCE MSC BHD-WARRANT A 14/19,FRONTKEN CORPORATION BHD,FSBM HOLDINGS BERHAD - WARR,FSBM HOLDINGS BHD,GHL SYSTEMS BHD,GLOBETRONICS TECHNOLOGY BHD,GRAND-FLO BERHAD,HEITECH PADU BHD,INARI AMERTRON BERHAD,INARI AMERTRON BERHAD-WARRANTS B 15/20,INDUSTRONICS BHD,JCY INTERNATIONAL BERHAD,KESM INDUSTRIES BHD,KEY ASIC BHD,MALAYSIAN PACIFIC INDUSTRIES,MESINIAGA BHD,MI TECHNOVATION BERHAD,MMS VENTURES BHD,MSCM HOLDINGS BERHAD,MY E.G. SERVICES BHD,NOTION VTEC BERHAD - WARRANTS C 2018/2023,NOTION VTEC BHD,OMESTI BHD,PENTAMASTER CORPORATION BHD,PRESTARIANG BERHAD,THETA EDGE BERHAD,TRIVE PROPERTY GROUP BERHAD,TRIVE PROPERTY GROUP BERHAD - WARRANTS 2017/2020,TURIYA BHD,UNISEM (M) BHD,VITROX CORPORATION BHD,VSTECS BERHAD,WILLOWGLEN MSC BHD
2019-02-26,0.0,-0.6666666666666666,-0.046511627906976785,0.04761904761904767,-0.06349206349206354,-0.11111111111111106,-0.0454545454545455,-0.04210526315789466,0.0,0.0,0.0,-0.03508771929824545,-0.009259259259259271,-0.04587155963302756,-0.16216216216216214,-0.03645833333333325,0.0,0.0,-0.005882352941176476,-0.0153846153846154,0.0,-0.05844155844155849,0.019230769230769246,0.009708737864077678,0.0,-0.0454545454545455,-0.001007049345417904,0.0,0.01116751269035545,-0.011560693641618507,-0.06037735849056593,0.07954545454545449,,0.00980392156862746,0.03703703703703707,-0.022900763358778647,0.0,0.018018018018018042,-0.09302325581395343,0.0,0.0,0.0,-0.03333333333333337,-0.02912621359223297,0.005979073243647239,0.0,-0.04166666666666659
2019-02-27,-0.03225806451612906,0.0,0.0,-0.038961038961039,0.0,-0.06250000000000007,0.0,0.0,-0.05882352941176475,0.3333333333333334,0.0,-0.027272727272727296,-0.009345794392523372,-0.028846153846153882,-0.03225806451612906,0.01081081081081082,0.0,0.0,0.0059171597633136145,-0.010416666666666676,0.0,0.006896551724137937,-0.012578616352201269,-0.009615384615384623,-0.05000000000000005,0.023809523809523832,-0.01713709677419354,0.0,-0.004016064257028205,0.0467836257309942,-0.05220883534136559,0.02631578947368424,,-0.019417475728155355,-0.07142857142857148,-0.09375000000000007,0.013157894736842115,0.011799410029498535,0.02564102564102566,0.0,-0.2500000000000001,0.0,0.0,-0.03666666666666663,0.04160475482912323,0.0050761421319797,0.04347826086956513
2019-02-28,0.0,0.0,-0.02439024390243891,-0.013513513513513526,-0.1016949152542372,-0.06666666666666654,0.0,-0.021978021978022,0.0,0.0,0.0,-0.04672897196261686,-0.02830188679245285,-0.06930693069306937,-0.13333333333333328,0.0,0.0,0.0,0.0,0.010526315789473694,-0.046511627906976785,0.006849315068493157,0.0,-0.02912621359223304,0.1052631578947368,-0.0232558139534884,-0.015384615384615422,-0.0454545454545455,-0.007056451612903255,-0.005586592178770954,0.0,-0.010256410256410263,,0.0,0.0,-0.025862068965517262,0.0,-0.014577259475218738,-0.05000000000000005,0.0,0.3333333333333334,0.0,-0.06896551724137917,-0.031141868512110836,-0.0014265335235377724,-0.0050505050505050535,-0.04166666666666659
2019-03-01,-0.03333333333333337,0.0,-0.025000000000000026,0.013698630136986314,0.05660377358490571,0.07142857142857129,0.0,0.011235955056179784,0.0,0.0,0.11111111111111124,0.049019607843137296,0.019417475728155355,0.010638297872340436,0.07692307692307697,-0.0053475935828877046,0.0,0.0,0.011764705882352951,-0.015625000000000014,0.0,-0.07482993197278902,0.012738853503184723,0.030000000000000027,-0.0952380952380952,-0.023809523809523832,0.0,0.04761904761904767,0.0071065989847716015,-0.0730337078651686,0.0,0.010362694300518144,,0.00990099009900991,-0.019230769230769246,0.03539823008849561,-0.038961038961039,0.0,0.03947368421052635,0.0,-0.2500000000000001,0.0,-0.1111111111111112,0.0,0.0028571428571427964,-0.0152284263959391,0.0
2019-03-04,0.0,1.0,-0.05128205128205133,0.0,-0.01785714285714287,-0.06666666666666654,0.023809523809523832,0.05555555555555548,0.06250000000000007,0.0,0.0,-0.018691588785046745,-0.009523809523809532,0.0,-0.07142857142857148,0.0,0.0,0.0,-0.03488372093023258,0.005291005291005296,0.048780487804878085,0.03676470588235281,-0.0062893081761006345,0.009708737864077678,-0.05263157894736847,0.0,-0.01041666666666663,0.0,-0.0010080645161290108,-0.07272727272727265,-0.00423728813559313,0.010256410256410263,,-0.01960784313725492,0.0,-0.01709401709401711,0.027027027027027053,0.029585798816568074,0.1265822784810126,0.03703703703703693,0.3333333333333334,0.0,0.04166666666666671,0.0,0.02136752136752142,0.025773195876288683,-0.010869565217391313
2019-03-05,0.03448275862068969,0.0,0.027027027027027053,-0.013513513513513526,0.03636363636363619,0.0,-0.0232558139534884,-0.010526315789473694,-0.05882352941176475,0.0,-0.10000000000000007,0.06666666666666672,0.0,0.021052631578947392,0.07692307692307697,0.02688172043010743,0.0,0.0,0.024096385542168697,-0.005263157894736847,-0.046511627906976785,-0.0070921985815602905,0.0,-0.009615384615384623,0.11111111111111124,-0.02439024390243891,-0.002105263157894692,0.0,-0.0010090817356205636,0.0,-0.0170212765957447,0.0,,0.010000000000000007,0.0,-0.008695652173913052,0.0,0.0,-0.011235955056179784,0.04761904761904767,0.0,0.0,0.0,0.00714285714285715,0.0027894002789400924,-0.015075376884422126,0.0
2019-03-06,0.03333333333333337,-0.5,0.05263157894736847,-0.006849315068493157,0.0,0.0,0.0,0.042553191489361736,0.12499999999999993,0.0,0.11111111111111124,0.035714285714285546,-0.019230769230769246,0.07216494845360831,0.17857142857142852,0.02094240837696337,0.0,0.0,-0.023529411764705903,0.03174603174603178,0.048780487804878085,0.0714285714285715,0.0569620253164556,0.07766990291262142,0.0,0.04999999999999991,0.0284810126582278,0.0,0.005050505050504943,0.03267973856209153,0.0,0.0050761421319797,,0.17821782178217815,0.03921568627450984,0.043859649122807064,-0.013157894736842115,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070921985815602905,0.006954102920723203,0.0,-0.010989010989011
2019-03-07,-0.03225806451612906,0.0,0.0,-0.020689655172413814,0.03508771929824565,0.07142857142857129,0.023809523809523832,0.02040816326530614,-0.055555555555555455,0.0,0.0,-0.017241379310344845,0.0,-0.028846153846153882,-0.06060606060606065,-0.0153846153846154,0.0,0.0,-0.006024096385542174,-0.010256410256410263,-0.046511627906976785,-0.006666666666666672,-0.005988023952095814,0.009009009009009016,0.0,-0.023809523809523832,-0.013333333333333414,0.0,0.017085427135678385,0.01898734177215192,-0.004329004329004429,-0.02525252525252528,,0.033613445378151294,0.0,-0.016806722689075647,0.0,0.0,0.2272727272727273,-0.034090909090909116,0.0,0.0,0.0,-0.010714285714285643,0.006906077348066275,0.01020408163265307,0.01111111111111112
2019-03-08,0.0,0.0,-0.025000000000000026,0.0,-0.0169491525423729,-0.06666666666666654,-0.0232558139534884,-0.010000000000000007,0.0,-0.2500000000000001,-0.10000000000000007,-0.008771929824561412,0.0,-0.029702970297029733,-0.06451612903225812,0.04166666666666671,0.0,0.0,0.0,-0.015544041450777216,0.0,-0.020134228187919486,0.006024096385542174,-0.008928571428571435,0.0,0.048780487804878085,0.0,0.0,-0.021739130434782497,-0.03726708074534165,-0.008695652173913052,0.0,,-0.032520325203252064,0.0,-0.01709401709401711,-0.013333333333333345,-0.008620689655172358,-0.0277777777777778,0.047058823529411806,-0.2500000000000001,0.0,0.040000000000000036,0.0036101083032490213,-0.00274348422496577,0.0,-0.021978021978022
2019-03-11,-0.03333333333333337,0.0,0.0,-0.014084507042253534,-0.051724137931034336,0.0,0.0,-0.03030303030303033,-0.05882352941176475,0.0,0.0,-0.02654867256637151,0.0,-0.030612244897959214,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.0479452054794521,-0.053892215568862194,-0.0540540540540541,-0.05000000000000005,0.0,-0.018711018711018684,0.0,-0.009090909090909077,-0.01935483870967744,-0.04385964912280686,-0.005181347150259072,,0.033613445378151294,-0.03773584905660381,0.02608695652173916,0.027027027027027053,-0.011594202898550735,0.0,0.0,0.0,0.0,0.30769230769230776,-0.003597122302158197,-0.006877579092159536,0.0,0.0
