date,BJCORP-C10: CW BERJAYA CORPORATION BERHAD (MACQ),BJCORP-C11: CW BERJAYA CORPORATION BERHAD (RHB),BJCORP-C12: CW BERJAYA CORPORATION BERHAD (KIBB),CMSB-C14: CW CAHYA MATA SARAWAK BERHAD (MIBB),CMSB-C15: CW CAHYA MATA SARAWAK BERHAD (RHB),HAPSENG-CX: CW HAP SENG CONSOLIDATED BERHAD (CIMB),LAFMSIA-CE: CW LAFARGE MALAYSIA BERHAD (KIBB),PCHEM-C22: CW PETRONAS CHEMICALS GROUP BERHAD (RHB),PCHEM-C23: CW PETRONAS CHEMICALS GROUP BERHAD (MACQ),PCHEM-C24: CW PETRONAS CHEMICALS GROUP BERHAD (CIMB),PCHEM-C25: CW PETRONAS CHEMICALS GROUP BERHAD (KIBB),PCHEM-C26: CW PETRONAS CHEMICALS GROUP BERHAD (MACQ),PCHEM-C27: CW PETRONAS CHEMICALS GROUP BERHAD (MIBB),PCHEM-C28: CW PETRONAS CHEMICALS GROUP BERHAD (KIBB),PCHEM-C29: CW PETRONAS CHEMICALS GROUP BERHAD (AM),PCHEM-C30: CW PETRONAS CHEMICALS GROUP BERHAD (RHB),PCHEM-C31: CW PETRONAS CHEMICALS GROUP BERHAD (CIMB),PESTECH-CF: CW PESTECH INTERNATIONAL BERHAD (AM),PMETAL-C15: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (CIMB),PMETAL-C16: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (KIBB),PMETAL-C17: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (MACQ),PMETAL-C18: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (MIBB),PMETAL-C19: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (RHB),PMETAL-C20: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (CIMB),PMETAL-C21: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (MACQ),PMETAL-C22: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (AM),PMETAL-C23: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (MIBB),PMETAL-C24: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (KIBB),PMETAL-C25: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (RHB),PMETAL-C26: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (MACQ),PMETAL-C27: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (CIMB),PMETAL-C28: CW PRESS METAL ALUMINIUM HOLDINGS BERHAD (KIBB),SCIENTX-CF: CW SCIENTEX BERHAD (CIMB),SKPRES-CN: CW SKP RESOURCES BERHAD (AM),SKPRES-CO: CW SKP RESOURCES BERHAD (RHB),SKPRES-CP: CW SKP RESOURCES BERHAD (KIBB),SKPRES-CQ: CW SKP RESOURCES BERHAD (MIBB),SUNWAY-CR: CW SUNWAY BERHAD (KIBB),SUNWAY-CS: CW SUNWAY BERHAD (AM),UCHITEC-CD: CW UCHI TECHNOLOGIES BERHAD (AM),UCHITEC-CE: CW UCHI TECHNOLOGIES BERHAD (RHB),UCHITEC-CF: CW UCHI TECHNOLOGIES BERHAD (MIBB),VS-C10: CW V.S. INDUSTRY BERHAD (MACQ),VS-C11: CW V.S. INDUSTRY BERHAD (MIBB),VS-C12: CW V.S. INDUSTRY BERHAD (KIBB),VS-C13: CW V.S. INDUSTRY BERHAD (RHB),VS-C14: CW V.S. INDUSTRY BERHAD (MACQ),VS-C15: CW V.S. INDUSTRY BERHAD (MIBB),VS-C5: CW V.S. INDUSTRY BERHAD (MIBB),VS-C6: CW V.S. INDUSTRY BERHAD (RHB),VS-C7: CW V.S. INDUSTRY BERHAD (KIBB),VS-C8: CW V.S. INDUSTRY BERHAD (RHB),VS-C9: CW V.S. INDUSTRY BERHAD (KIBB)
2019-03-12,0.0,0.0,,0.0,0.04166666666666671,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.08695652173913039,0.19047619047619047,,-0.0833333333333333,0.0,0.0,-0.09090909090909087,-0.3,0.0,0.0,0.0,0.0,0.0,0.05263157894736847,0.0,0.0,0.04999999999999991,,,0.0,0.0,0.0,0.0,0.07692307692307697
2019-03-13,0.0,-0.20000000000000004,,0.0,0.0,0.0,,0.0,0.0,-0.3333333333333333,0.0,0.08333333333333341,0.0,0.0,0.0,-0.05128205128205133,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000007,0.040000000000000036,0.040000000000000036,,0.09090909090909087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04761904761904753,0.0,0.0,0.06250000000000007,0.0,,,0.0,0.0,0.0,0.0,-0.03571428571428574
2019-03-14,-0.5,0.0,,0.0,-0.040000000000000036,0.0,,0.0,0.0,0.4999999999999999,0.0,-0.038461538461538484,0.0,0.0,0.0,-0.027027027027027053,0.0,0.0,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05882352941176475,0.0,,,0.0,0.0,0.0,-0.02857142857142844,0.0
2019-03-15,0.0,0.0,,0.0,0.1250000000000001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04761904761904753,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307697,0.07692307692307697,,0.0,0.0,0.0,0.0,0.04761904761904767,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,-0.04761904761904753,,,0.0,0.0,0.0,-0.05882352941176475,-0.03703703703703707
2019-03-18,0.0,0.0,,0.0,-0.03703703703703707,-0.2500000000000001,,0.0,0.0,0.0,0.0,0.0,-0.031250000000000035,0.0,0.0,0.0,0.0,,0.23076923076923075,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.12121212121212115,0.07142857142857129,0.10714285714285704,,0.0,0.0,0.11111111111111124,0.0,0.0454545454545455,0.0,,,0.0,0.0,-0.05263157894736847,0.0,0.0,-0.05000000000000005,,,0.0,0.0,0.0,0.0,0.0
2019-03-19,0.0,0.0,,0.0,-0.038461538461538484,0.0,,0.0,0.0,0.0,0.0,-0.16000000000000006,0.0,0.0,0.0,0.08333333333333341,0.0,,0.06250000000000007,,0.0,0.0,0.0,0.11111111111111124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09090909090909087,0.0,-0.10000000000000007,0.0,0.0,,,,0.0,0.0,-0.055555555555555455,0.0,-0.06250000000000007,0.0,,,0.0,0.0,0.0,0.0,-0.038461538461538484
2019-03-20,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0952380952380952,-0.06451612903225812,0.0,-0.06451612903225812,0.0,-0.10000000000000007,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027053,0.03333333333333337,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1764705882352941,0.0,0.06666666666666674,0.15789473684210525,0.08333333333333341,,0.0,0.0,0.0,0.0,0.08000000000000007
2019-03-21,0.0,0.0,,0.0,-0.040000000000000036,0.0,,0.0,0.0,0.0,-0.23076923076923075,-0.1052631578947368,-0.06896551724137917,0.0,-0.06896551724137917,-0.07692307692307697,-0.11111111111111106,,-0.05882352941176475,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,-0.03225806451612906,0.03225806451612906,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,-0.05000000000000005,0.0,0.0,-0.0454545454545455,0.07692307692307697,,0.0,0.0,0.0,0.0,0.0
2019-03-22,0.0,-0.2500000000000001,,0.0,-0.0833333333333333,0.0,,0.0,0.0,0.0,-0.10000000000000007,-0.05882352941176475,-0.03703703703703707,-0.2333333333333333,0.0,-0.055555555555555455,0.0,,0.12499999999999993,,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.05263157894736847,0.0,0.06250000000000007,0.04761904761904767,0.07142857142857129,,0.0,0.0,0.0,0.031250000000000035,0.07407407407407393
2019-03-25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111111111111106,0.0,0.0,0.0,0.0,0.029411764705882214,0.0,,-0.3888888888888888,,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,0.0,0.0,0.0,-0.09999999999999992,-0.15624999999999994,,0.0,0.0,0.0,0.0,-0.04347826086956525,,,,0.0,-0.05000000000000005,-0.05000000000000005,0.0,-0.05882352941176475,-0.09090909090909087,-0.06666666666666654,,0.0,0.0,0.0,0.0,-0.06896551724137917
