date,GAGASAN NADI CERGAS BERHAD,GDB HOLDINGS BERHAD,SC ESTATE BUILDER BERHAD,SC ESTATE BUILDER BERHAD - WARRANTS B 2014/2019,WIDAD GROUP BERHAD,WIDAD GROUP BERHAD - WARRANT 2018 /2023
2019-02-26,0.018867924528301903,0.03773584905660381,0.0,0.0,0.061538461538461424,0.0
2019-02-27,0.0,-0.03636363636363639,0.2500000000000001,0.0,0.014492753623188418,0.08000000000000007
2019-02-28,-0.03703703703703707,0.0,0.0,0.0,-0.02857142857142844,-0.1111111111111112
2019-03-01,0.0,0.018867924528301903,0.0,0.0,-0.029411764705882373,0.04166666666666671
2019-03-04,0.0,-0.01851851851851853,-0.20000000000000004,0.0,0.030303030303030325,0.0
2019-03-05,0.0,0.03773584905660381,0.2500000000000001,0.0,0.014705882352941025,0.0
2019-03-06,0.0,-0.0181818181818182,0.0,0.0,-0.014492753623188259,0.0
2019-03-07,0.019230769230769246,-0.03703703703703707,0.1999999999999999,0.0,-0.014705882352941187,0.0
2019-03-08,0.0,0.0,-0.1666666666666666,0.0,0.0,0.0
2019-03-11,-0.018867924528301903,0.019230769230769246,0.0,0.0,-0.04477611940298512,-0.040000000000000036
2019-03-12,0.019230769230769246,0.0,0.0,0.0,0.015625000000000014,0.0
2019-03-13,0.018867924528301903,0.0943396226415093,0.0,0.0,-0.015384615384615398,0.0
2019-03-14,-0.03703703703703707,0.017241379310344845,0.0,0.0,-0.031250000000000035,-0.04166666666666659
2019-03-15,0.019230769230769246,-0.0169491525423729,0.0,0.0,-0.01612903225806453,-0.04347826086956525
2019-03-18,-0.018867924528301903,-0.017241379310344845,0.0,0.0,-0.016393442622950834,-0.09090909090909087
2019-03-19,0.019230769230769246,-0.017543859649122633,0.0,0.0,0.016666666666666684,0.04999999999999991
2019-03-20,0.0,-0.01785714285714287,0.0,0.0,0.0,-0.04761904761904753
2019-03-21,0.0,0.0,0.0,0.0,0.0,-0.10000000000000007
2019-03-22,-0.018867924528301903,0.0,0.0,0.0,0.0,0.05555555555555562
2019-03-25,0.0,0.0,0.0,0.0,0.016393442622950834,-0.05263157894736847
2019-03-26,0.0,0.0,0.0,0.0,-0.01612903225806453,0.0
2019-03-27,0.0,0.0181818181818182,0.0,0.0,-0.016393442622950834,0.0
2019-03-28,0.0,0.053571428571428416,0.0,0.0,0.0,0.05555555555555562
2019-03-29,0.0,0.0169491525423729,0.1999999999999999,0.0,0.08333333333333341,0.0
2019-04-01,0.038461538461538484,-0.05000000000000005,0.0,0.0,-0.030769230769230795,-0.05263157894736847
2019-04-02,0.05555555555555538,0.0,0.0,0.0,0.0,0.05555555555555562
2019-04-03,-0.017543859649122633,0.0,0.0,0.0,-0.015873015873015886,-0.05263157894736847
2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-05,0.0,0.05263157894736848,0.16666666666666682,0.0,0.0,-0.055555555555555455
2019-04-08,-0.01785714285714287,0.0,-0.14285714285714296,0.0,-0.01612903225806453,-0.05882352941176475
2019-04-09,0.0181818181818182,-0.016666666666666684,0.0,0.0,-0.016393442622950834,0.0
2019-04-10,0.08928571428571416,0.10169491525423738,0.16666666666666682,0.0,-0.016666666666666684,0.0
2019-04-11,-0.049180327868852514,-0.04615384615384618,-0.14285714285714296,0.0,0.0169491525423729,0.06250000000000007
2019-04-12,0.017241379310344845,0.08064516129032265,0.16666666666666682,1.0,-0.016666666666666684,0.0
