date,AAX-C20: CW AIRASIA X BERHAD (RHB),AAX-C21: CW AIRASIA X BERHAD (MACQ),AEON-CO: CW AEON CO. (M) BERHAD (CIMB),AEON-CP: CW AEON CO (M) BERHAD (RHB),AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC70: CW AIRASIA GROUP BERHAD (AM),AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB),AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ),AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB),AIRASIAC79: CW AIRASIA GROUP BERHAD (CIMB),AIRASIAC80: CW AIRASIA GROUP BERHAD (KIBB),BAT-CM: CW BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD (CIMB),BAT-CN: CW BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD (RHB),BAT-CO: CW BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD (CIMB),BAUTO-C1: CW BERMAZ AUTO BERHAD (MACQ),BAUTO-CY: CW BERMAZ AUTO BERHAD (KIBB),BAUTO-CZ: CW BERMAZ AUTO BERHAD (RHB),BJTOTO-CX: CW BERJAYA SPORTS TOTO BERHAD (RHB),DRBHCOMC60: CW DRB-HICOM BERHAD (CIMB),DRBHCOMC62: CW DRB-HICOM BERHAD (MACQ),DRBHCOMC63: CW DRB-HICOM BERHAD (RHB),DRBHCOMC64: CW DRB-HICOM BERHAD (CIMB),DRBHCOMC66: CW DRB-HICOM BERHAD (MACQ),DRBHCOMC67: CW DRB-HICOM BERHAD (KIBB),DRBHCOMC68: CW DRB-HICOM BERHAD (MACQ),DRBHCOMC69: CW DRB-HICOM BERHAD (RHB),DRBHCOMC70: CW DRB-HICOM BERHAD (CIMB),DRBHCOMC71: CW DRB-HICOM BERHAD (MIBB),DRBHCOMC72: CW DRB-HICOM BERHAD (KIBB),DRBHCOMC73: CW DRB-HICOM BERHAD (AM),DRBHCOMC74: CW DRB-HICOM BERHAD (MACQ),DRBHCOMC75: CW DRB-HICOM BERHAD (CIMB),DRBHCOMC76: CW DRB-HICOM BERHAD (KIBB),GCB-CA: CW GUAN CHONG BERHAD (RHB),GCB-CB: CW GUAN CHONG BERHAD (RHB),GCB-CC: CW GUAN CHONG BERHAD (MIBB),GCB-CD: CW GUAN CHONG BERHAD (MACQ),GCB-CE: CW GUAN CHONG BERHAD (KIBB),GENM-C38: CW GENTING MALAYSIA BERHAD (RHB),GENM-C40: CW GENTING MALAYSIA BERHAD (KIBB),GENM-C41: CW GENTING MALAYSIA BERHAD (CIMB),GENM-C42: CW GENTING MALAYSIA BERHAD (MACQ),GENM-C43: CW GENTING MALAYSIA BERHAD (RHB),GENM-C44: CW GENTING MALAYSIA BERHAD (KIBB),GENM-C45: CW GENTING MALAYSIA BERHAD (AM),GENM-C46: CW GENTING MALAYSIA BERHAD (MACQ),GENM-C47: CW GENTING MALAYSIA BERHAD (RHB),GENM-C48: CW GENTING MALAYSIA BERHAD (KIBB),GENM-C49: CW GENTING MALAYSIA BERHAD (MACQ),GENM-C50: CW GENTING MALAYSIA BERHAD (CIMB),GENM-C51: CW GENTING MALAYSIA BERHAD (MIBB),GENM-C52: CW GENTING MALAYSIA BERHAD (KIBB),GENM-C53: CW GENTING MALAYSIA BERHAD (AM),GENM-C54: CW GENTING MALAYSIA BERHAD (CIMB),GENM-C55: CW GENTING MALAYSIA BERHAD (MACQ),GENTINGC51: CW GENTING BERHAD (CIMB),GENTINGC55: CW GENTING BERHAD (RHB),GENTINGC56: CW GENTING BERHAD (MACQ),GENTINGC57: CW GENTING BERHAD (MACQ),GENTINGC58: CW GENTING BERHAD (CIMB),GENTINGC59: CW GENTING BERHAD (RHB),GENTINGC60: CW GENTING BERHAD (KIBB),GENTINGC61: CW GENTING BERHAD (AM),GENTINGC62: CW GENTING BERHAD (MACQ),GENTINGC63: CW GENTING BERHAD (MIBB),GENTINGC64: CW GENTING BERHAD (KIBB),HAIO-CG: CW HAI-O ENTERPRISE BERHAD (MACQ),NESTLE-CE: CW NESTLE (MALAYSIA) BERHAD (CIMB),PADINI-C1: CW PADINI HOLDINGS BERHAD (KIBB),PADINI-CV: CW PADINI HOLDINGS BERHAD (RHB),PADINI-CW: CW PADINI HOLDINGS BERHAD (MACQ),PADINI-CX: CW PADINI HOLDINGS BERHAD (RHB),PADINI-CY: CW PADINI HOLDINGS BERHAD (MACQ),PADINI-CZ: CW PADINI HOLDINGS BERHAD (MIBB),PETDAG-CW: CW PETRONAS DAGANGAN BERHAD (RHB),PETDAG-CX: CW PETRONAS DAGANGAN BERHAD (CIMB),PPB-CJ: CW PPB GROUP BERHAD (RHB),QL-CL: CW QL RESOURCES BERHAD (RHB),QL-CM: CW QL RESOURCES BERHAD (MACQ),QL-CN: CW QL RESOURCES BERHAD (CIMB),QL-CO: CW QL RESOURCES BERHAD (MIBB),SIME-C25: CW SIME DARBY BERHAD (MIBB),SIME-C27: CW SIME DARBY BERHAD (CIMB),SIME-C28: CW SIME DARBY BERHAD (RHB),SIME-C29: CW SIME DARBY BERHAD (MACQ),SIME-C30: CW SIME DARBY BERHAD (MACQ),SIME-C31: CW SIME DARBY BERHAD (KIBB),SIME-C32: CW SIME DARBY BERHAD (MIBB),SIME-C33: CW SIME DARBY BERHAD (CIMB),SIME-C34: CW SIME DARBY BERHAD (KIBB),UMW-C10: CW UMW HOLDINGS BERHAD (KIBB),UMW-C11: CW UMW HOLDINGS BERHAD (CIMB),UMW-C12: CW UMW HOLDINGS BERHAD (RHB),UMW-C13: CW UMW HOLDINGS BERHAD (CIMB),UMW-C14: CW UMW HOLDINGS BERHAD (KIBB),UMW-C15: CW UMW HOLDINGS BERHAD (MACQ),UMW-C16: CW UMW HOLDINGS BERHAD (RHB),UMW-C17: CW UMW HOLDINGS BERHAD (MACQ),UMW-C9: CW UMW HOLDINGS BERHAD (RHB)
2019-02-26,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.05128205128205118,-0.4000000000000001,0.0,0.09090909090909087,0.03333333333333337,0.04081632653061228,0.017543859649122823,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-0.06250000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0952380952380952,-0.03571428571428574,0.0,-0.03703703703703707,-0.03703703703703707,,,,,-0.015625000000000014,,,,,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,-0.08571428571428563,-0.06666666666666654,0.0,-0.07142857142857148,-0.06976744186046505,-0.10000000000000007,-0.09999999999999992,,,,,0.0,0.0,0.0,0.0,-0.0952380952380952,0.0,0.0,0.030303030303030325,-0.04444444444444448,0.0,,0.0,-0.23076923076923075,,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,-0.04761904761904753,0.04166666666666671,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,,,-0.5,-0.1666666666666666,-0.040000000000000036,-0.04347826086956525,0.0,-0.021739130434782625,-0.07142857142857148,-0.03703703703703707,0.0
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.1219512195121951,0.0,-0.4444444444444445,-0.25,-0.096774193548387,0.0,-0.06896551724137917,-0.1808510638297872,-0.0789473684210527,-0.0952380952380952,-0.12,-0.06896551724137917,-0.1052631578947368,,-0.26666666666666666,0.0,,0.0,0.0,0.0,0.0,-0.11111111111111106,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.06060606060606065,0.0,0.0,,,,,0.04761904761904767,,,,,0.0,0.0,0.0,0.0,0.0,-0.06250000000000007,0.031250000000000035,0.035714285714285546,-0.06666666666666654,-0.038461538461538484,0.024999999999999883,0.027777777777777804,0.07407407407407393,,,,,0.0,0.0,0.0,0.0,0.1052631578947368,-0.06666666666666654,0.0,-0.05882352941176475,-0.046511627906976785,0.0,,0.0,0.09999999999999996,,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.0454545454545455,-0.02222222222222224,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.09090909090909087,0.0,0.0,0.0,-0.4444444444444444,-0.3333333333333333,-0.2,-0.4444444444444444,-0.4285714285714286,-0.2352941176470588,-0.2777777777777778,-0.27272727272727265,-0.28571428571428564,-0.26315789473684204,-0.31818181818181823,-0.29629629629629634,-0.411764705882353,-0.2857142857142857,0.0,0.0,,0.0,0.0,0.0,0.0,-0.2500000000000001,0.0,0.0,0.0,0.0,-0.20000000000000004,0.0,0.0,-0.096774193548387,0.0,0.0,,,,,-0.04545454545454549,,,,,0.0,0.0,-0.5,0.11111111111111124,0.0,0.0,0.030303030303030325,0.0,0.035714285714285546,0.08000000000000007,0.024390243902439046,0.027027027027027053,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0952380952380952,0.035714285714285546,-0.05263157894736847,0.0,0.024390243902439046,0.0,0.0,0.0,-0.09090909090909087,,0.0,0.0,0.4999999999999999,0.5714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000007,,0.0,-0.6666666666666666,0.0,0.0,-0.11111111111111106,-0.20000000000000004,0.0,,,0.0,-0.10000000000000007,0.0,-0.02272727272727275,0.0,-0.02272727272727275,-0.038461538461538484,-0.038461538461538484,0.0
2019-03-01,0.0,0.0,-0.0833333333333333,0.0,-0.2500000000000001,0.0,0.0,-0.5,-0.4166666666666666,-0.20000000000000004,0.06250000000000007,-0.10256410256410266,-0.05128205128205133,0.0,-0.040000000000000036,0.0,0.0,-0.05263157894736847,0.09999999999999996,-0.10000000000000007,0.0,0.0,,0.0,0.0,-0.10810810810810806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714285714285546,0.0,-0.038461538461538484,,,,,0.0,,,,,0.0,0.0,0.0,-0.10000000000000007,-0.0833333333333333,0.0,-0.05882352941176475,-0.034482758620689495,-0.034482758620689495,-0.03703703703703707,-0.04761904761904753,-0.05263157894736847,-0.034482758620689495,-0.0232558139534884,,,,0.0,0.0,-0.14285714285714296,-0.13333333333333328,-0.1052631578947368,-0.10344827586206888,-0.11111111111111106,-0.06250000000000007,-0.07142857142857137,-0.081081081081081,0.0,0.0,0.0,,0.0,0.0,0.0,-0.13636363636363635,0.0,0.0,0.11764705882352935,0.0,0.0,-0.13333333333333328,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0232558139534884,0.0,0.0,0.0
2019-03-04,0.0,0.0,0.09090909090909087,0.0,0.0,0.0,0.15,0.0,0.14285714285714274,0.0,0.05882352941176459,0.0571428571428572,0.10810810810810806,0.0,0.08333333333333341,0.07142857142857129,0.0,0.0,0.0,0.11111111111111124,-0.18181818181818185,-0.2777777777777777,,-0.2,0.0,0.0,0.0,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,,,,-0.015873015873015886,0.3333333333333335,,,,0.0,0.0,0.0,-0.11111111111111106,-0.09090909090909087,0.0,-0.031250000000000035,-0.03571428571428574,0.0,-0.038461538461538484,-0.025000000000000026,-0.027777777777777804,0.0,-0.023809523809523832,0.0,,,0.0,0.0,0.0,-0.11538461538461538,-0.11764705882352952,-0.07692307692307697,0.0,-0.09999999999999992,-0.07692307692307697,-0.05882352941176475,0.0,0.0,0.09999999999999996,,0.0,0.0,-0.09999999999999992,0.0,0.0,0.0,-0.21052631578947373,-0.07999999999999996,0.0,-0.07692307692307697,-0.055555555555555455,,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,0.0,,,0.0,0.0,0.0,-0.046511627906976785,-0.07142857142857137,-0.06818181818181825,0.0,-0.07999999999999996,0.0
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.1739130434782609,0.0,-0.2500000000000001,0.0,-0.055555555555555455,-0.027027027027027053,-0.04878048780487796,0.0,0.0,0.0,0.0,0.05555555555555562,-0.09090909090909087,0.0,0.0,0.0,,0.0,0.0,-0.09090909090909098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05263157894736847,0.0,-0.034482758620689495,0.0,0.0,0.0,,,,-0.08064516129032265,-0.05000000000000005,,,,0.0,0.0,0.0,0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03571428571428574,0.0,-0.16666666666666666,,,0.0,0.0,0.0,0.0,0.06666666666666674,0.0,0.0,0.0,-0.027777777777777804,0.0,0.0,0.0,-0.18181818181818185,,0.0,0.0,0.0,0.0,0.0,-0.2500000000000001,0.06666666666666674,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.21739130434782614,,,0.0,-0.22222222222222213,0.0,0.0,0.0,0.0,-0.07999999999999996,0.0,0.0
2019-03-06,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,-0.05263157894736847,0.0,0.0,-0.2500000000000001,-0.05882352941176475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,0.0,0.4444444444444445,0.0,,0.0,0.0,0.03333333333333337,0.4285714285714285,-0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,0.0,0.07142857142857129,-0.038461538461538484,0.04166666666666671,0.0,,,,0.017543859649122823,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.06250000000000007,0.03703703703703707,0.0285714285714286,0.0,-0.3666666666666665,0.0,0.0,,0.0,0.0,0.03703703703703707,0.05263157894736847,0.0,0.0,0.06250000000000007,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.14285714285714274,0.0,0.0,,,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,-0.5,0.0,0.3333333333333334,0.12499999999999993,0.05555555555555562,0.07692307692307684,0.0,0.07692307692307697,0.0,0.06666666666666674,0.05263157894736847,-0.09090909090909087,0.0,0.0,0.0,,0.16666666666666682,0.0,0.0,-0.05000000000000005,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,-0.05263157894736847,-0.07407407407407414,-0.03333333333333337,0.0,0.0,0.0,,,,0.0,0.02631578947368424,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714286,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.04347826086956525,0.0,0.0,0.0,-0.03571428571428574,-0.055555555555555455,0.0,-0.05263157894736847,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176459,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0454545454545455,-0.04878048780487796,0.0,-0.02439024390243891,0.0,0.0,0.0
2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.1052631578947368,0.0,0.16666666666666682,0.0,-0.055555555555555455,0.02631578947368424,0.04761904761904767,0.10714285714285704,0.0,0.06666666666666674,0.06250000000000007,0.0,0.0,0.09999999999999996,0.0,0.0,,0.0,0.0,0.06451612903225812,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500000000000001,-0.055555555555555455,0.0,-0.034482758620689495,-0.040000000000000036,0.0,0.0,-0.055555555555555455,,,-0.017241379310344845,-0.02564102564102566,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,,,0.0,0.0,0.0,-0.0454545454545455,-0.06250000000000007,0.0,0.0,-0.03703703703703707,0.0,-0.031250000000000035,0.0,0.0,0.0,,0.0,0.0,-0.07142857142857148,-0.10000000000000007,0.0,0.0,0.05882352941176459,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.02564102564102566,0.0,-0.05000000000000005,-0.04347826086956525,-0.0869565217391305,0.0
2019-03-11,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,0.05882352941176459,0.0,0.0,0.0,0.0,0.02564102564102566,-0.0454545454545455,0.0,0.0,-0.1875,0.05882352941176459,0.04999999999999991,0.0,0.0,0.0,0.0,-0.5333333333333333,0.0,0.0,0.030303030303030325,0.0,-0.4000000000000001,0.0,0.0,0.0,0.0,0.0,-0.11764705882352952,0.0,-0.07142857142857148,0.0,-0.12,0.0,0.0,-0.5666666666666667,,-0.03508771929824545,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,-0.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,-0.038461538461538484,0.0,,0.0,0.0,0.0,-0.0952380952380952,-0.06666666666666654,0.0,0.0,-0.07692307692307697,-0.08823529411764712,-0.03225806451612906,0.0,0.0,-0.11111111111111106,,0.0,0.0,0.0,0.05555555555555562,0.0,-0.6666666666666666,-0.11111111111111106,0.0,0.0,0.0,-0.055555555555555455,-0.16666666666666666,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,-0.11111111111111106,-0.18181818181818185,,0.0,0.0,0.0,0.0,0.0,0.02631578947368424,0.0,0.04761904761904767,0.0
