date,AL-AQAR HEALTHCARE REIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,AMANAH HARTA TANAH PNB,AMANAHRAYA REITS,AMFIRST REITS,ATRIUM REITS,AXIS REITS,CAPITALAND MALAYSIA MALL TRUST,HEKTAR REITS,IGB REAL ESTATE INV TRUST,KIP REAL ESTATE INVESTMENT TRUST,KLCC PROP&REITS-STAPLED SEC,MRCB-QUILL REIT,PAVILION REAL ESTATE INV TRUST,SUNWAY REAL ESTATE INVT TRUST,TOWER REITS,UOA REITS,YTL HOSPITALITY REIT
2019-02-26,0.015037593984962419,-0.012345679012345687,-0.02631578947368424,0.005952380952380958,-0.009345794392523372,0.0,0.005747126436781614,0.0,-0.008849557522123706,0.0,0.024390243902439046,0.0,0.018348623853211024,0.011494252873563229,0.0,0.0,0.014925373134328368,0.015503875968992262
2019-02-27,0.0,0.0,0.0,-0.0059171597633136145,0.0,0.0,0.0,0.0181818181818182,0.0,-0.022346368715083817,-0.005952380952380958,-0.016560509554140113,-0.009009009009009016,-0.005681818181818186,-0.005649717514124299,-0.00555555555555556,0.007352941176470593,-0.007633587786259549
2019-02-28,0.0,0.006250000000000006,0.0,0.005952380952380958,0.0,-0.008928571428571435,-0.00571428571428572,-0.01785714285714287,0.0,-0.00571428571428572,0.005988023952095814,0.015544041450777216,0.009090909090909096,-0.00571428571428572,0.0,0.022346368715083817,-0.014598540145985413,-0.007692307692307699
2019-03-01,0.014814814814814828,0.0,0.027027027027027053,-0.0059171597633136145,0.0,0.0,-0.005747126436781614,0.009090909090909096,0.008928571428571237,0.017241379310344845,-0.011904761904761916,-0.011479591836734677,-0.018018018018018032,-0.011494252873563229,-0.005681818181818186,-0.016393442622950834,0.0,-0.007751937984496131
2019-03-04,-0.014598540145985413,0.0,0.013157894736842115,0.011904761904761916,0.0,0.01801801801801784,0.0,-0.009009009009009016,0.017699115044247805,-0.005649717514124299,0.0,0.0,0.009174311926605512,0.011627906976744195,0.00571428571428572,0.0,0.0,0.0
2019-03-05,0.014814814814814828,0.02484472049689429,-0.04545454545454549,0.0,0.0,0.0,0.0,-0.009090909090909096,0.008695652173913052,0.005681818181818186,0.01807228915662653,-0.0025806451612902675,0.0,-0.005747126436781614,0.005681818181818186,0.0,0.0,-0.007812500000000007
2019-03-06,-0.014598540145985413,-0.0060606060606060675,0.02721088435374152,0.0,0.0,0.0,0.0,0.027522935779816536,0.008620689655172422,-0.005649717514124299,-0.011834319526627227,0.00905562742561441,-0.0181818181818182,0.0057803468208092535,-0.005649717514124299,0.0,0.007407407407407414,-0.007874015748031503
2019-03-07,0.0,0.0060975609756097615,-0.006622516556291397,-0.005882352941176476,0.009433962264150952,-0.008849557522123706,0.0,-0.008928571428571435,0.0,-0.005681818181818186,0.011976047904191628,0.0,-0.009259259259259271,0.0,0.0,0.0,0.007352941176470593,0.007936507936507943
2019-03-08,0.0,0.0,0.0,0.0059171597633136145,-0.009345794392523372,0.0,0.0057803468208092535,0.009009009009009016,-0.008547008547008555,0.0,0.0059171597633136145,-0.0012820512820512547,0.009345794392523372,-0.005747126436781614,-0.005681818181818186,0.0,0.0,0.007874015748031503
2019-03-11,0.014814814814814828,0.03030303030303033,0.0,0.0,0.0,-0.008928571428571435,0.0,0.0,0.0,0.00571428571428572,0.011764705882352951,0.0,0.0,0.011560693641618507,0.01142857142857144,0.0,0.0,-0.007812500000000007
2019-03-12,-0.014598540145985413,-0.005882352941176476,-0.013333333333333345,0.0,0.0,0.009009009009009016,-0.005747126436781614,0.0,0.0,0.005681818181818186,-0.005813953488372097,-0.002567394094993641,0.0,-0.01714285714285716,-0.011299435028248598,-0.00555555555555556,0.0,0.007874015748031503
2019-03-13,0.007407407407407414,0.0,0.013513513513513526,-0.011764705882352951,0.0,0.0,0.0,0.0,-0.017241379310344845,-0.011299435028248598,-0.005847953216374275,0.0012870012870013741,-0.009259259259259271,0.0,0.01142857142857144,0.0,0.0,-0.015625000000000014
2019-03-14,-0.014705882352941187,0.0,0.0,-0.005952380952380958,0.0,0.0,0.011560693641618507,-0.008928571428571435,0.0,0.00571428571428572,0.005882352941176476,0.0,0.009345794392523372,0.011627906976744195,-0.011299435028248598,0.005586592178770954,0.0,0.0
2019-03-15,0.014925373134328368,0.0059171597633136145,0.040000000000000036,0.0,0.009433962264150952,0.0,-0.01142857142857144,-0.009009009009009016,-0.008771929824561412,0.039772727272727314,0.005847953216374275,0.0,0.0,-0.005747126436781614,0.0,0.0,0.0,0.0
2019-03-18,0.0,0.0,0.0,0.011976047904191628,0.0,-0.008928571428571435,0.0057803468208092535,0.009090909090909096,0.0,0.0,-0.005813953488372097,0.007712082262210746,0.0,0.017341040462427758,0.01714285714285716,0.01111111111111112,0.0,0.007936507936507943
2019-03-19,0.0,-0.005882352941176476,0.0,-0.0059171597633136145,0.0,0.0,-0.005747126436781614,0.009009009009009016,0.0,-0.02732240437158473,0.0,-0.016581632653061208,0.009259259259259271,-0.011363636363636373,-0.005617977528089893,-0.010989010989011,-0.0072992700729927066,0.0
2019-03-20,-0.007352941176470593,0.0,0.0,-0.005952380952380958,0.0,0.009009009009009016,0.011560693641618507,0.0,0.0,0.0,0.017543859649122823,-0.0012970168612191685,0.0,0.005747126436781614,0.0,0.0,0.014705882352941025,0.0
