date,ALAM MARITIM RESOURCES BERHAD - WARRANTS 2019/2022,ALAM MARITIM RESOURCES BHD,BARAKAH OFFSHORE PETROLEUM BHD,BUMI ARMADA BERHAD,CARIMIN PETROLEUM BERHAD,COASTAL CONTRACTS BHD,DAYA MATERIALS BHD,DAYANG ENTERPRISE HOLDINGS BHD,DELEUM BHD,DIALOG GROUP BHD,HANDAL RESOURCES BERHAD,HENGYUAN REFINING COMPANY BERHAD,HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,HIBISCUS PETROLEUM BHD,ICON OFFSHORE BERHAD,KNM GROUP BERHAD - WARRANTS 2015/2020,KNM GROUP BHD,MALAYSIA MARINE AND HEAVY ENG,PERDANA PETROLEUM BERHAD,PERISAI PETROLEUM TEKNOLOGI,PETRA ENERGY BHD,PETRON MALAYSIA REFINING & MARKETING BERHAD,REACH ENERGY BHD,REACH ENERGY BHD-WARRANTS A 14/22,SAPURA ENERGY BERHAD,SAPURA ENERGY BERHAD - RCPS-I A 2019/2024,SAPURA ENERGY BERHAD - WARRANTS A 2019/2026,SCOMI ENERGY SERVICES BHD,SCOMI GROUP BERHAD - WARRANTS B,SCOMI GROUP BHD,SERBA DINAMIK HOLDINGS BERHAD,SINO HUA-AN INTERNATIONAL BHD,SUMATEC RES BHD-WARRANTS 11/21,SUMATEC RESOURCES BHD,T7 GLOBAL BERHAD,TH HEAVY ENGINEERING BERHAD,TH HEAVY ENGINEERING BERHAD-ISLAMIC IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 15/20,UZMA BHD,VELESTO ENERGY BERHAD,VELESTO ENERGY BERHAD - WARRANTS 2017/2024,WAH SEONG CORPORATION BHD,YINSON HOLDINGS BHD
2019-02-26,,-0.04761904761904753,-0.09090909090909087,-0.05000000000000005,-0.07792207792207799,-0.0555555555555556,0.0,-0.05392156862745103,-0.14062499999999994,-0.015243902439024338,-0.0142857142857143,-0.010204081632652994,-0.06000000000000005,-0.04716981132075476,-0.0952380952380952,0.0,0.0,-0.012987012987012998,-0.12307692307692318,0.0,-0.0624999999999999,0.00750750750750748,-0.07692307692307697,-0.13333333333333328,-0.046875000000000035,0.0,-0.04761904761904753,0.0,-0.3333333333333333,0.0,-0.012562814070351714,-0.04878048780487796,0.0,1.0,-0.022471910112359567,0.0,0.0,-0.015625000000000014,-0.02040816326530614,-0.055555555555555455,-0.16574585635359118,0.016279069767441926
2019-02-27,,0.0,0.04999999999999991,0.0,0.05633802816901413,0.029411764705882373,0.0,0.0362694300518135,0.0181818181818182,0.0030959752321982137,0.014492753623188418,0.027491408934707928,-0.02127659574468076,0.00990099009900991,0.05263157894736847,-0.20000000000000004,0.0,-0.0065789473684210575,0.017543859649122823,0.0,0.13333333333333328,0.0,-0.016666666666666684,0.0,0.016393442622950834,0.0,0.0,0.0,0.0,-0.11111111111111106,0.007633587786259492,-0.05128205128205133,0.0,0.0,0.011494252873563229,0.11111111111111124,0.0,-0.07936507936507932,-0.04166666666666659,0.0,0.01986754966887419,0.029748283752860382
2019-02-28,,-0.05000000000000005,-0.14285714285714285,-0.05263157894736847,-0.03333333333333336,0.009523809523809532,0.0,0.0,-0.02678571428571431,-0.003086419753086491,-0.0142857142857143,0.0,-0.010869565217391313,0.0,-0.20000000000000004,-0.2500000000000001,-0.14285714285714285,-0.013245033112582794,-0.051724137931034336,0.0,0.006535947712418306,-0.013412816691505194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025252525252524717,-0.027027027027027053,0.0,0.0,0.02272727272727275,0.0,0.0,0.005747126436781614,0.08695652173913039,0.0,-0.006493506493506499,-0.03333333333333341
2019-03-01,,0.0,0.05555555555555562,-0.027777777777777804,0.12413793103448273,-0.018867924528301903,-0.5,0.17999999999999994,0.027522935779816536,-0.015479876160990657,0.014492753623188418,0.003344481605351099,0.05494505494505487,0.029411764705882373,-0.12499999999999993,0.0,0.05555555555555562,0.01342281879194632,0.07272727272727257,0.0,0.17532467532467533,-0.0015105740181268561,0.0,0.0,0.01612903225806453,0.0,0.04999999999999991,0.0,0.0,0.12499999999999993,-0.007594936708860822,0.2500000000000001,0.0,-0.5,0.04444444444444436,0.09999999999999996,0.0,0.040000000000000036,-0.02000000000000001,0.05882352941176459,0.01960784313725492,0.022988505747126558
2019-03-04,,0.05263157894736847,0.0,0.0,0.07361963190184058,0.05769230769230775,0.0,0.15254237288135608,0.035714285714285546,0.0062893081761006345,0.0,-0.013333333333333345,-0.02083333333333336,0.0,0.07142857142857129,0.0,0.05263157894736847,-0.006622516556291397,0.0169491525423729,0.0,0.25966850828729265,0.018154311649016656,0.0169491525423729,0.0,0.015873015873015886,0.0,-0.04761904761904753,-0.09090909090909087,0.0,-0.11111111111111106,-0.005102040816326535,-0.02222222222222224,0.0,0.0,0.10638297872340437,-0.09090909090909087,0.0,0.027472527472527496,0.0,0.0,0.006410256410256415,0.0
2019-03-05,,0.04999999999999991,-0.05263157894736847,-0.02857142857142844,-0.0571428571428572,0.16363636363636358,0.0,-0.03676470588235297,-0.017241379310344845,-0.012500000000000013,0.0142857142857143,0.0,0.0,0.0,-0.06666666666666654,0.0,0.04999999999999991,0.013333333333333345,-0.03333333333333337,0.0,-0.026315789473684043,-0.0059435364041604795,-0.016666666666666684,0.0,-0.015625000000000014,0.0,0.0,0.09999999999999996,0.0,0.12499999999999993,0.0,-0.0454545454545455,0.0,0.0,0.038461538461538484,0.0,0.0,0.06951871657754005,0.06122448979591843,0.05555555555555562,0.03184713375796181,0.011235955056179735
2019-03-06,,0.04761904761904767,0.22222222222222227,-0.029411764705882373,0.0060606060606060675,0.015625000000000014,0.0,0.05343511450381667,0.0,0.012658227848101276,-0.028169014084507067,0.055743243243243264,0.021276595744680868,0.009523809523809532,0.28571428571428553,0.0,0.0,0.03947368421052635,0.017241379310344845,0.0,0.04504504504504488,0.01644245142002981,0.0169491525423729,-0.07692307692307697,0.015873015873015886,0.0,0.04999999999999991,0.0,0.0,0.0,-0.002564102564102509,0.04761904761904767,0.0,1.0,0.01851851851851853,0.1999999999999999,0.0,0.02000000000000001,0.038461538461538484,0.05263157894736847,0.006172839506172707,-0.0088888888888889
2019-03-07,,-0.0454545454545455,0.0,0.06060606060606049,-0.012048192771084348,-0.015384615384615398,0.0,0.014492753623188418,-0.008771929824561412,0.0,0.0,0.0,-0.010416666666666676,-0.018867924528301903,-0.055555555555555455,0.0,-0.04761904761904753,-0.006329113924050638,-0.0169491525423729,0.0,-0.017241379310344845,-0.008823529411764649,0.0,-0.0833333333333333,-0.015625000000000014,0.0,0.0,0.09090909090909087,0.4999999999999999,0.11111111111111124,0.002570694087403544,0.02272727272727275,0.0,0.0,-0.027272727272727296,-0.0833333333333333,0.0,0.0,0.0,-0.05000000000000005,-0.012269938650306624,0.008968609865470859
2019-03-08,,0.09523809523809533,0.0,-0.05714285714285704,0.0,0.039062500000000035,0.0,0.1285714285714287,-0.008849557522123706,-0.006250000000000006,-0.02898550724637668,-0.014399999999999975,-0.021052631578947267,-0.009615384615384623,0.0,0.0,0.04999999999999991,-0.02547770700636945,0.0,0.0,0.03508771929824565,-0.007418397626112733,0.0,0.0,-0.015873015873015886,-0.012987012987012998,-0.04761904761904753,-0.1666666666666666,-0.3333333333333333,-0.10000000000000007,-0.0051282051282051325,-0.02222222222222224,0.0,0.0,0.009345794392523372,0.0,0.0,0.0,-0.01851851851851853,0.0,-0.018633540372670825,-0.011111111111111072
2019-03-11,,-0.04347826086956525,-0.09090909090909087,0.0,-0.05487804878048772,-0.060150375939849676,0.0,-0.03797468354430383,-0.01785714285714287,-0.003144654088050387,-0.014925373134328368,-0.006493506493506499,-0.03225806451612906,-0.02912621359223304,0.0,0.0,-0.04761904761904753,-0.01960784313725492,0.0,0.0,-0.08474576271186429,-0.008968609865470926,-0.03333333333333337,-0.09090909090909087,0.01612903225806453,-0.02631578947368424,0.0,0.1999999999999999,0.0,0.0,-0.015463917525773209,0.0,0.0,0.0,-0.06481481481481488,0.0,0.0,-0.049019607843137296,0.05660377358490571,0.05263157894736847,-0.025316455696202552,-0.002247191011235907
