date,AIRPORT-C2: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),AIRPORT-C3: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (AM),AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB),AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ),AIRPORT-C6: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),AIRPORT-C7: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (KIBB),AIRPORT-C8: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MIBB),MISC-C19: CW MISC BERHAD (CIMB),MISC-C20: CW MISC BERHAD (MACQ),MISC-C21: CW MISC BERHAD (RHB),MISC-C22: CW MISC BERHAD (KIBB),MMCCORPC12: CW MMC CORPORATION BERHAD (MACQ),MMCCORPC13: CW MMC CORPORATION BERHAD (KIBB),POS-C21: CW POS MALAYSIA BERHAD (MACQ),POS-C22: CW POS MALAYSIA BERHAD (CIMB),POS-C23: CW POS MALAYSIA BERHAD (MIBB),POS-C24: CW POS MALAYSIA BERHAD (AM),POS-C25: CW POS MALAYSIA BERHAD (RHB),POS-C26: CW POS MALAYSIA BERHAD (KIBB),POS-C27: CW POS MALAYSIA BERHAD (CIMB),POS-C28: CW POS MALAYSIA BERHAD (MACQ),POS-C29: CW POS MALAYSIA BERHAD (MACQ),POS-C30: CW POS MALAYSIA BERHAD (RHB),POS-C31: CW POS MALAYSIA BERHAD (MACQ),POS-C32: CW POS MALAYSIA BERHAD (KIBB),POS-C33: CW POS MALAYSIA BERHAD (CIMB),POS-C34: CW POS MALAYSIA BERHAD (MIBB),WPRTS-CX: CW WESTPORTS HOLDINGS BERHAD (RHB),WPRTS-CY: CW WESTPORTS HOLDINGS BERHAD (CIMB),WPRTS-CZ: CW WESTPORTS HOLDINGS BERHAD (KIBB)
2019-02-26,0.0,0.0,0.0,0.0,0.0,-0.06896551724137917,,-0.05000000000000005,0.0,0.0,,,,0.0,0.0,-0.8928571428571428,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.2142857142857144,-0.20000000000000004,-0.2142857142857144,-0.11764705882352952,-0.27083333333333337,,0.0,-0.11764705882352952,
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,-0.02631578947368424,0.04761904761904767,0.03225806451612906,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500000000000001,0.0,0.09090909090909087,0.0,0.09090909090909087,-0.06666666666666654,0.1142857142857144,,0.0,-0.03333333333333337,
2019-02-28,0.0,0.0,-0.1764705882352941,-0.055555555555555455,0.0,-0.1111111111111112,,-0.027027027027027053,-0.0454545454545455,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,-0.2500000000000001,-0.25,-0.2857142857142857,-0.3333333333333333,,0.0,0.0,
2019-03-01,0.0,0.0,0.0,-0.05882352941176475,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.0833333333333333,-0.055555555555555455,-0.10000000000000007,0.0,,0.0,0.0,
2019-03-04,0.0,0.0,-0.2857142857142857,-0.06250000000000007,0.0,-0.125,,-0.08333333333333326,0.0,0.0,,,,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.038461538461538484,,0.0,0.03448275862068969,
2019-03-05,0.0,0.0,0.0,-0.06666666666666654,0.0,0.0,,0.06060606060606049,-0.04761904761904753,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176459,0.0,0.040000000000000036,,0.0,0.0,
2019-03-06,0.0,0.0,-0.10000000000000007,-0.07142857142857148,0.0,-0.0952380952380952,,0.0,-0.05000000000000005,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.038461538461538484,,0.0,0.0,
2019-03-07,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,0.05882352941176459,0.0,0.0,,0.0,-0.03333333333333337,
2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,,0.0,0.0,
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1111111111111112,0.0,0.0,-0.034482758620689495,
2019-03-12,0.0,0.0,0.0,-0.0833333333333333,-0.28125,0.0,,-0.08571428571428563,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333341,-0.3666666666666665,0.0,0.0,
2019-03-13,-0.7999999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714274,0.0,0.05882352941176459,0.11111111111111124,0.038461538461538484,0.1052631578947368,0.0,0.0,
2019-03-14,0.0,0.0,0.3333333333333333,0.0,0.04347826086956513,-0.05263157894736847,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,-0.055555555555555455,-0.10000000000000007,0.0,-0.04761904761904753,0.0,-0.03571428571428574,
2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.031250000000000035,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176459,0.0,0.03703703703703707,0.0,0.0,0.0,
2019-03-18,0.0,,0.0,0.0,0.0,0.0,,0.0,-0.1052631578947368,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,-0.03571428571428574,0.0,0.0,0.0,
2019-03-19,0.0,,-0.4166666666666666,0.0,0.0,-0.11111111111111106,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05882352941176475,0.0,-0.07407407407407414,0.0,0.0,0.07407407407407393,
2019-03-20,0.0,,0.0,0.0,0.0,0.0,,-0.06060606060606065,0.0,0.0,,-0.07142857142857148,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06896551724137917,
2019-03-21,0.0,,0.0,0.0,0.0,0.0,,0.06451612903225812,0.05882352941176459,0.0,,-0.15384615384615388,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818185,0.0,0.0,-0.07999999999999996,0.0,0.0,0.0,
2019-03-22,0.0,,0.0,0.0,0.0,-0.06250000000000007,,-0.06060606060606065,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04347826086956525,-0.10000000000000007,0.0,0.0,
