date,AMTEL HOLDINGS BHD,ASIA MEDIA GROUP BERHAD,ASTRO MALAYSIA HOLDINGS BERHAD,AXIATA GROUP BERHAD,BERJAYA MEDIA BHD,DIGI.COM BHD,ECOBUILT HOLDINGS BERHAD,GREEN PACKET BERHAD - WARRANTS B 2018/2023,GREEN PACKET BHD,MAXIS BERHAD,MEDIA CHINESE INTERNATIONAL LT,MEDIA PRIMA BHD,OCK GROUP BERHAD,OCK GROUP BERHAD - WARRANTS A 2015/2020,PELANGI PUBLISHING GROUP BHD,SASBADI HOLDINGS BHD,SENI JAYA CORPORATION BHD,STAR MEDIA GROUP BERHAD,TELEKOM MALAYSIA BHD,TIME DOTCOM BHD,UTUSAN MELAYU (M) BHD
2019-02-26,0.0,0.031250000000000035,0.0060975609756097615,-0.01199040767386087,0.0,0.0,-0.0181818181818182,-0.055555555555555455,-0.06849315068493142,-0.01808318264014476,-0.09999999999999998,0.0,-0.02608695652173896,-0.04761904761904753,0.0,-0.02222222222222224,0.0,-0.006410256410256415,-0.009836065573770428,0.011111111111111094,-0.06818181818181825
2019-02-27,0.0,-0.030303030303030325,0.0,-0.0072815533980583125,0.0,-0.01061571125265389,0.03703703703703707,-0.11764705882352952,-0.04411764705882357,-0.0018416206261509735,-0.02222222222222224,0.0919540229885057,-0.02678571428571431,-0.05000000000000005,0.0,0.0,0.0,-0.045161290322580684,-0.01986754966887419,0.0,-0.19512195121951206
2019-02-28,0.0,0.0,-0.0060606060606060675,0.01711491442542794,0.07692307692307684,-0.023605150214592342,-0.01785714285714287,0.0,-0.030769230769230795,-0.009225092250922476,0.0,0.010526315789473694,0.018348623853211024,0.0,0.0,0.02272727272727275,0.0,0.03378378378378381,0.030405405405405362,-0.05372405372405367,0.06060606060606049
2019-03-01,0.0,0.031250000000000035,0.0,0.00721153846153852,0.0,0.002197802197802151,0.0181818181818182,0.2,0.06349206349206354,0.0037243947858472213,0.0,-0.010416666666666676,0.027027027027026848,0.0,0.012195121951219523,-0.02222222222222224,0.0338983050847458,0.01960784313725492,-0.006557377049180335,0.058064516129032163,0.0
2019-03-04,0.0,-0.06060606060606065,0.0060975609756097615,-0.009546539379474948,0.0,0.004385964912280803,-0.05357142857142862,-0.055555555555555455,-0.014925373134328368,-0.014842300556586285,0.02272727272727275,0.03157894736842108,-0.008771929824561412,0.05263157894736847,0.012048192771084348,0.02272727272727275,0.0,0.006410256410256415,0.01980198019801982,0.04146341463414633,-0.05714285714285704
2019-03-05,0.015267175572519097,0.0,0.0,-0.00240963855421703,0.0,-0.004366812227074336,0.0,0.0,-0.015151515151515162,-0.0018832391713747246,0.0,0.05102040816326536,-0.01769911504424761,-0.05000000000000005,0.0,0.0,0.0,-0.006369426751592361,0.0323624595469256,0.0,-0.06060606060606065
2019-03-06,0.0,0.0,-0.02424242424242413,0.004830917874396247,0.0,0.0021929824561404986,0.03773584905660381,0.0,0.0,0.007547169811320763,0.04444444444444436,0.009708737864077678,0.009009009009009016,0.05263157894736847,0.0,0.0,0.0,0.006410256410256415,0.015673981191222656,-0.00468384074941442,-0.06451612903225812
2019-03-07,0.0,0.06451612903225812,-0.018633540372670825,0.00721153846153852,0.0,-0.0021881838074399728,-0.0181818181818182,0.05882352941176459,0.015384615384615398,-0.0018726591760299227,0.021276595744680868,-0.05769230769230775,0.017857142857142672,0.0,0.0,0.04444444444444436,0.0,0.0,-0.012345679012345687,-0.0023529411764705373,0.2413793103448276
2019-03-08,0.0,0.0,0.01898734177215192,-0.007159904534606264,0.0,0.0,0.0,-0.11111111111111106,-0.04545454545454549,0.005628517823639822,-0.04166666666666659,0.04081632653061228,0.008771929824561412,0.0,-0.011904761904761916,0.021276595744680868,0.0,0.0,-0.006250000000000006,0.014150943396226322,-0.027777777777777804
2019-03-11,0.0,0.0,-0.012422360248447216,-0.019230769230769246,-0.16666666666666669,-0.010964912280701716,0.0,-0.06250000000000007,-0.015873015873015886,0.0,-0.021739130434782625,0.00980392156862746,-0.008695652173913052,-0.05000000000000005,0.0,-0.04166666666666659,0.0,-0.012738853503184723,0.009433962264150879,0.0,0.1142857142857144
2019-03-12,0.0,0.0,-0.031446540880503165,-0.004901960784313838,0.0,0.004434589800443561,0.0,0.06666666666666674,0.0,-0.0018656716417911703,0.0,0.0,-0.008771929824561412,0.05263157894736847,0.0,0.02173913043478251,0.0,0.006451612903225812,0.012461059190031164,-0.0046511627906975755,-0.10256410256410266
2019-03-13,0.0,-0.030303030303030325,-0.012987012987012998,0.03940886699507394,0.0,0.004415011037527499,0.111111111111111,0.0,0.03225806451612906,-0.0037383177570092657,0.0,0.019417475728155355,0.017699115044247805,0.0,0.0,0.0,0.0,0.0,0.0,0.016355140186915747,-0.11428571428571425
2019-03-14,0.0,0.0,0.013157894736842115,-0.014218009478672891,-0.02857142857142844,-0.004395604395604302,0.016666666666666684,0.06250000000000007,0.031250000000000035,-0.007504690431519706,0.0,0.019047619047619063,0.008695652173913052,0.0,-0.012048192771084348,0.0,-0.016393442622950834,0.01282051282051283,-0.006153846153846159,0.0,0.16129032258064513
2019-03-15,0.0,-0.031250000000000035,0.006493506493506499,0.009615384615384623,0.1764705882352941,0.019867549668874145,0.016393442622950834,0.05882352941176459,0.06060606060606049,-0.009451795841209795,0.04444444444444436,0.07476635514018677,0.05172413793103453,0.1999999999999999,0.0,0.17021276595744694,0.0,-0.012658227848101276,-0.015479876160990657,0.009195402298850585,-0.055555555555555455
