date,BJTOTO-CW: CW BERJAYA SPORTS TOTO BERHAD (MACQ),E&O-C13: CW EASTERN & ORIENTAL BERHAD (MACQ),E&O-C14: CW EASTERN & ORIENTAL BERHAD (RHB),E&O-C15: CW EASTERN & ORIENTAL BERHAD (KIBB),ECOWLD-CQ: CW ECO WORLD DEVELOPMENT GROUP BERHAD (MIBB),ECOWLD-CS: CW ECO WORLD DEVELOPMENT GROUP BERHAD (MACQ),ECOWLD-CT: CW ECO WORLD DEVELOPMENT GROUP BERHAD (KIBB),IOIPG-CU: CW IOI PROPERTIES GROUP BERHAD (AM),IOIPG-CV: CW IOI PROPERTIES GROUP BERHAD (RHB),MAHSING-C17: CW MAH SING GROUP BERHAD (MACQ),MAHSING-C18: CW MAH SING GROUP BERHAD (RHB),MAHSING-C19: CW MAH SING GROUP BERHAD (KIBB),MRCB-C34: CW MALAYSIAN RESOURCES CORPORATION BERHAD (MACQ),MRCB-C35: CW MALAYSIAN RESOURCES CORPORATION BERHAD (KIBB),MRCB-C36: CW MALAYSIAN RESOURCES CORPORATION BERHAD (AM),MRCB-C37: CW MALAYSIAN RESOURCES CORPORATION BERHAD (MACQ),MRCB-C38: CW MALAYSIAN RESOURCES CORPORATION BERHAD (KIBB),MRCB-C39: CW MALAYSIAN RESOURCES CORPORATION BERHAD (KIBB),MRCB-C40: CW MALAYSIAN RESOURCES CORPORATION BERHAD (MIBB),MRCB-C41: CW MALAYSIAN RESOURCES CORPORATION BERHAD (CIMB),MRCB-C42: CW MALAYSIAN RESOURCES CORPORATION BERHAD (KIBB),MRCB-C43: CW MALAYSIAN RESOURCES CORPORATION BERHAD (MACQ),MRCB-C44: CW MALAYSIAN RESOURCES CORPORATION BERHAD (RHB),SIMEPROP-CG: CW SIME DARBY PROPERTY BERHAD (MIBB),SIMEPROP-CH: CW SIME DARBY PROPERTY BERHAD (MACQ),SIMEPROP-CI: CW SIME DARBY PROPERTY BERHAD (KIBB),SIMEPROP-CJ: CW SIME DARBY PROPERTY BERHAD (CIMB),SIMEPROP-CK: CW SIME DARBY PROPERTY BERHAD (RHB),SIMEPROP-CL: CW SIME DARBY PROPERTY BERHAD (KIBB),SIMEPROP-CM: CW SIME DARBY PROPERTY BERHAD (MIBB),SPSETIA-C10: CW S P SETIA BERHAD (CIMB),SPSETIA-C11: CW S P SETIA BERHAD (RHB),SPSETIA-C12: CW S P SETIA BERHAD (KIBB),SPSETIA-C13: CW S P SETIA BERHAD (MACQ),SPSETIA-C14: CW S P SETIA BERHAD (CIMB),SPSETIA-C15: CW S P SETIA BERHAD (RHB),SPSETIA-C16: CW S P SETIA BERHAD (MIBB),SPSETIA-C9: CW SP SETIA BERHAD (RHB),UEMS-C64: CW UEM SUNRISE BERHAD (MIBB),UEMS-C65: CW UEM SUNRISE BERHAD (MACQ),UEMS-C66: CW UEM SUNRISE BERHAD (KIBB)
2019-02-26,0.07142857142857129,,,,0.0,0.0,0.0,0.0,0.02040816326530614,0.0,0.0,0.0,0.0,0.0,0.0,-0.1052631578947368,-0.13333333333333328,-0.07407407407407414,-0.1052631578947368,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.03333333333333337,0.023809523809523832,,,0.0,0.0,-0.055555555555555455,0.07142857142857129
2019-02-27,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2142857142857144,-0.05882352941176475,0.0,0.0,0.0,-0.03571428571428574,,,,0.0,0.0,0.0,0.0,0.0,,,-0.4000000000000001,-0.09090909090909098,0.0,0.0,-0.06976744186046505,,,0.0,0.0,0.0,-0.06666666666666654
2019-02-28,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307697,-0.040000000000000036,0.0,-0.03703703703703707,0.0,,,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.5666666666666667,,-0.5,-0.4,-0.3823529411764707,-0.3103448275862068,-0.2500000000000001,,,0.0,0.0,0.0,0.0
2019-03-01,0.0,,,,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,-0.029411764705882373,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-0.15384615384615388,,-0.3333333333333333,-0.22222222222222213,0.0,-0.20000000000000004,-0.2333333333333333,,,0.0,0.0,-0.05882352941176475,0.0
2019-03-04,0.13333333333333347,,,,0.0,0.0,0.0,0.0,-0.025000000000000026,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,0.0,0.08333333333333341,0.0,0.0,0.038461538461538484,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-03-05,0.0,,,,0.0,0.0,0.0,0.0,-0.12820512820512814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03703703703703707,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.06250000000000007,0.0
2019-03-06,-0.05882352941176475,,,,0.0,0.0,0.0,0.0,0.08823529411764698,0.0,0.0,-0.14285714285714296,0.0,0.0,0.18181818181818185,0.1875,0.07692307692307697,0.1250000000000001,0.0909090909090908,0.11538461538461528,0.09090909090909087,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-03-07,-0.06250000000000007,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307697,0.0,0.14285714285714274,0.07407407407407393,0.0,0.06896551724137938,0.08333333333333341,,,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,,0.0,0.0,0.0,0.0
2019-03-08,0.0,-0.04761904761904753,,,0.0,0.0,0.0,0.0,0.054054054054054106,0.0,0.0,0.0,-0.5,0.0,-0.07142857142857148,0.0,0.0,-0.06896551724137917,0.0,0.0,-0.07692307692307697,0.0,,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-03-11,-0.13333333333333328,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15384615384615388,-0.05263157894736847,-0.1875,-0.03703703703703707,0.0,-0.096774193548387,0.0,-0.10000000000000007,,0.0,0.0,0.0,0.0,-0.22222222222222213,0.0,,0.0,0.0,0.0,0.06250000000000007,-0.038461538461538484,0.0,0.0,0.0,0.0,-0.05882352941176475,0.0
