date,BRITE-TECH BHD
2019-02-26,0.01851851851851853
2019-02-27,0.0181818181818182
2019-02-28,0.017857142857142672
2019-03-01,0.017543859649122823
2019-03-04,0.0
2019-03-05,0.017241379310344845
2019-03-06,0.0169491525423729
2019-03-07,0.03333333333333337
2019-03-08,-0.03225806451612906
2019-03-11,0.0
2019-03-12,0.05000000000000005
2019-03-13,-0.03174603174603177
2019-03-14,0.03278688524590167
2019-03-15,0.015873015873015886
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,-0.031250000000000035
2019-03-21,-0.01612903225806453
2019-03-22,0.14754098360655732
2019-03-25,0.0285714285714286
2019-03-26,0.013888888888888902
2019-03-27,-0.027397260273972632
2019-03-28,-0.04225352112676045
2019-03-29,0.014705882352941025
2019-04-01,-0.02898550724637668
2019-04-02,-0.014925373134328368
2019-04-03,-0.13636363636363644
2019-04-04,-0.0701754385964911
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,-0.018867924528301903
2019-04-10,-0.038461538461538484
2019-04-11,-0.040000000000000036
2019-04-12,-0.02083333333333336
