date,BINTULU PORT HOLDINGS BHD,BOUSTEAD HEAVY INDUSTRIES CORP,CHIN HIN GROUP PROPERTY BERHAD,CHIN HIN GROUP PROPERTY BERHAD - WARRANTS 2013/2023,CJ CENTURY LOGISTICS HOLDINGS BERHAD,COMPLETE LOGISTIC SERVICES BHD,E.A.TECHNIQUE (M) BERHAD,FREIGHT MANAGEMENT HLDGS BHD,GD EXPRESS CARRIER  BERHAD- Warrants B 2015/2020,GD EXPRESS CARRIER BHD,GUNUNG CAPITAL BERHAD,GUNUNG CAPITAL BHD-WB 10/20,HARBOUR-LINK GROUP BERHAD-WARRANTS C 2016/2021,HARBOUR-LINK GROUP BHD,HUBLINE BERHAD - WARRANTS B 2015/2020,HUBLINE BERHAD - WARRANTS C 2018/2023,HUBLINE BHD,HUBLINE BHD- WARRANT 2009/2019,INTEGRATED LOGISTICS BHD,LINGKARAN TRANS KOTA HOLDINGS,MALAYSIA AIRPORTS HOLDINGS BHD,MALAYSIAN BULK CARRIERS BHD,MARINE & GENERAL BERHAD,MISC BHD,MMC CORPORATION BHD,NATIONWIDE EXPRESS HOLDINGS BERHAD,PDZ HOLDINGS BHD,PDZ HOLDINGS BHD - WARRANTS B 2018/2023,PERAK CORPORATION BHD,POS MALAYSIA BHD,SEALINK INTERNATIONAL BHD,SEE HUP CONSOLIDATED BHD,SHIN YANG SHIPPING CORP BHD,SURIA CAPITAL HOLDINGS BHD,TAS OFFSHORE BERHAD,TASCO BERHAD,TIONG NAM LOGISTICS HOLDINGS,TRANSOCEAN HOLDINGS BHD,WESTPORTS HOLDINGS BERHAD,XIN HWA HOLDINGS BERHAD
2019-02-26,0.0,0.015625000000000014,0.0,0.0,0.02000000000000001,-0.006329113924050638,-0.01020408163265307,-0.008849557522123706,0.7777777777777779,0.18032786885245894,0.0,0.0,0.0,-0.02857142857142844,0.0,0.0,0.0,0.0,-0.03370786516853935,0.002398081534772132,-0.01063829787234062,0.08403361344537823,0.07142857142857129,0.014492753623188354,0.030000000000000027,0.0,0.0,0.4999999999999999,0.0,-0.08558558558558575,-0.040000000000000036,0.0,0.01612903225806453,0.0,0.0,-0.014705882352941187,-0.015748031496063006,-0.04375000000000004,0.0,0.0060606060606060675
2019-02-27,0.04308390022675725,-0.007692307692307699,0.0142857142857143,-0.0232558139534884,0.03921568627450984,0.08280254777070056,-0.1443298969072165,0.035714285714285546,-0.2500000000000001,-0.055555555555555455,-0.015151515151515162,0.0,0.0,0.029411764705882214,0.0,0.0,0.09090909090909087,0.0,0.011627906976744195,0.004784688995215422,-0.021505376344085992,-0.015503875968992262,0.0,-0.0028571428571427964,0.10679611650485424,0.06666666666666674,0.0,0.0,0.0,0.03940886699507394,0.0,0.0,-0.03174603174603177,0.006849315068493157,-0.05357142857142862,0.0,-0.008000000000000007,-0.013071895424836612,-0.02083333333333336,0.0
2019-02-28,0.0,0.0,-0.014084507042253534,0.0,-0.16037735849056606,0.035294117647058865,0.024096385542168697,-0.025862068965517262,0.08333333333333341,0.05882352941176459,0.015384615384615398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00244200244200239,-0.04724409448818902,0.0,-0.011461318051575941,-0.06140350877192969,0.0,0.14285714285714274,-0.3333333333333333,0.0,-0.0900473933649289,-0.04166666666666659,0.0,-0.016393442622950834,-0.05442176870748304,-0.09433962264150952,-0.007462686567164184,-0.01612903225806453,0.0,-0.018617021276595702,0.024096385542168697
2019-03-01,0.0,0.0,0.0428571428571429,0.0,-0.03370786516853935,0.02272727272727275,0.011764705882352951,-0.008849557522123706,0.0,0.013888888888888902,-0.015151515151515162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275862068969,0.019047619047619063,-0.006119951040391764,0.04132231404958681,-0.06666666666666654,-0.0014492753623189384,-0.028037383177570117,0.0,-0.12499999999999993,0.0,-0.02469135802469137,-0.015625000000000014,0.04347826086956513,0.0,-0.016666666666666684,0.01438848920863311,0.08333333333333341,0.0,0.024590163934426253,0.0,-0.013550135501354966,-0.011764705882352951
2019-03-04,0.0,0.015503875968992262,0.013698630136986314,0.0,0.0,0.02222222222222224,0.03488372093023258,0.0,-0.07692307692307697,-0.027397260273972632,-0.06153846153846159,0.0,0.0,-0.02857142857142844,0.0,0.0,-0.0833333333333333,0.0,-0.03333333333333336,0.004672897196261582,-0.011083743842364515,-0.023809523809523832,0.07142857142857129,-0.010159651669085544,0.04807692307692312,0.0,0.0,0.0,0.0,0.0,0.04166666666666671,0.0,0.0169491525423729,-0.014184397163120581,0.05769230769230775,0.015037593984962419,-0.008000000000000007,0.0,0.04395604395604387,0.0
2019-03-05,0.0,-0.015267175572519097,0.0,0.0,-0.0232558139534884,-0.01630434782608697,-0.044943820224719135,0.0,0.0,-0.014084507042253534,0.08196721311475418,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.03448275862068969,0.011627906976744146,-0.004981320049813096,-0.016260162601626032,0.0,0.0,0.07339449541284389,0.0,0.0,0.0,0.0,0.005291005291005296,0.040000000000000036,0.0,-0.016666666666666684,-0.007194244604316555,-0.03636363636363639,0.04444444444444432,-0.01612903225806453,0.0,-0.015789473684210426,0.0
2019-03-06,0.0043478260869566215,0.0,-0.04054054054054058,0.0,0.03571428571428575,-0.016574585635359133,0.023529411764705903,0.008928571428571237,-0.0833333333333333,0.0,-0.030303030303030325,0.0,0.0,0.0,0.0,0.0,0.09090909090909087,0.0,0.0,-0.00459770114942519,-0.015018773466833557,0.024793388429752088,0.0,-0.002932551319648161,-0.008547008547008555,0.0,0.0,0.0,0.06329113924050624,0.0,0.038461538461538484,0.0,0.0677966101694916,0.0,0.03773584905660381,0.0070921985815602905,0.016393442622950834,0.0,0.013368983957219202,0.04761904761904767
2019-03-07,0.006493506493506547,-0.007751937984496131,-0.014084507042253534,-0.023809523809523832,0.05747126436781615,-0.011235955056179784,-0.011494252873563229,0.0,0.09090909090909087,0.0,-0.046875000000000035,-0.18181818181818185,0.7142857142857141,0.007352941176470593,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,-0.010165184243964431,-0.01612903225806453,0.13333333333333347,0.0014705882352940866,0.0,-0.06250000000000007,0.14285714285714274,0.0,0.0,0.010526315789473694,0.03703703703703707,0.0,0.0,0.014492753623188418,-0.0181818181818182,0.007042253521126767,0.0,-0.006622516556291397,-0.0026385224274406947,0.011363636363636373
2019-03-08,-0.010752688172043164,0.007812500000000007,0.0,-0.14634146341463414,-0.021739130434782625,-0.011363636363636373,-0.011627906976744195,0.008849557522123902,0.0,-0.0142857142857143,-0.049180327868852514,0.0,0.0,-0.014598540145985413,1.0,0.0,0.0,0.0,0.0,0.002309468822170851,-0.005134788189987168,-0.024590163934426253,-0.05882352941176475,-0.005873715124816452,-0.025862068965517262,0.0,0.0,0.0,0.0,-0.010416666666666676,0.0,0.0,-0.015873015873015886,0.0142857142857143,-0.01851851851851853,-0.013986013986014,0.0,-0.006666666666666672,-0.007936507936507886,-0.016853932584269676
2019-03-11,0.0,-0.015503875968992262,0.0,0.0,0.0,0.011494252873563229,-0.023529411764705903,0.0,0.0,-0.02898550724637668,0.13793103448275876,0.22222222222222227,-0.4166666666666666,0.0,-0.5,0.0,0.09090909090909087,0.0,0.0,0.004608294930875683,-0.011612903225806432,-0.008403361344537823,0.0,-0.008862629246676456,0.0,0.0,-0.12499999999999993,0.0,0.0,-0.005263157894736847,-0.07142857142857148,-0.010869565217391313,-0.01612903225806453,0.0,-0.018867924528301903,-0.0070921985815602905,-0.01612903225806453,0.0335570469798658,-0.02133333333333336,0.01142857142857144
