date, MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),MALAKOFC12: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC13: CW MALAKOFF CORPORATION BERHAD (RHB),MALAKOFC14: CW MALAKOFF CORPORATION BERHAD (KIBB),MALAKOFC16: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC17: CW MALAKOFF CORPORATION BERHAD (MIBB),MALAKOFC18: CW MALAKOFF CORPORATION BERHAD (RHB),MALAKOFC19: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC20: CW MALAKOFF CORPORATION BERHAD (KIBB),MALAKOFC21: CW MALAKOFF CORPORATION BERHAD (AM),MALAKOFC22: CW MALAKOFF CORPORATION BERHAD (MACQ),MALAKOFC23: CW MALAKOFF CORPORATION BERHAD (MIBB),PETGAS-CR: CW PETRONAS GAS BERHAD (RHB),PETGAS-CS: CW PETRONAS GAS BERHAD (CIMB),TALIWRK-CE: CW TALIWORKS CORPORATION BERHAD (MIBB),TENAGA-C47: CW TENAGA NASIONAL BERHAD (MIBB),TENAGA-C49: CW TENAGA NASIONAL BERHAD (MACQ),TENAGA-C50: CW TENAGA NASIONAL BERHAD (MACQ),TENAGA-C51: CW TENAGA NASIONAL BERHAD (CIMB),TENAGA-C52: CW TENAGA NASIONAL BERHAD (RHB),TENAGA-C53: CW TENAGA NASIONAL BERHAD (KIBB),TENAGA-C54: CW TENAGA NASIONAL BERHAD (RHB),TENAGA-C55: CW TENAGA NASIONAL BERHAD (MACQ),TENAGA-C56: CW TENAGA NASIONAL BERHAD (MIBB),YTL-C22: CW YTL CORPORATION BERHAD (MIBB),YTL-C23: CW YTL CORPORATION BERHAD (CIMB),YTL-C24: CW YTL CORPORATION BERHAD (AM),YTL-C25: CW YTL CORPORATION BERHAD (MIBB),YTLPOWR-C5: CW YTL POWER INTERNATIONAL BERHAD (CIMB),YTLPOWR-C6: CW YTL POWER INTERNATIONAL BERHAD (MACQ),YTLPOWR-C7: CW YTL POWER INTERNATIONAL BERHAD (AM),YTLPOWR-C8: CW YTL POWER INTERNATIONAL BERHAD (MIBB)
2019-02-26,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,-0.13333333333333328,-0.038461538461538484,,,,,-0.12499999999999993,0.0,,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,,,,0.0,,,,0.0,0.0,,
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307697,-0.07999999999999996,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,,,,0.0,-0.5333333333333333,,,0.0,-0.14285714285714296,,
2019-03-01,0.0,0.0,0.0,0.0,-0.1666666666666666,0.0,0.0,0.0,-0.4333333333333333,,,,-0.2857142857142857,-0.2857142857142857,,0.0,0.0,-0.2,-0.10000000000000007,0.0,-0.23529411764705885,,,,0.0,-0.2857142857142857,,,0.0,-0.0833333333333333,,
2019-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909087,0.04347826086956513,0.0,0.0,,,0.0,0.0,,0.0,0.0,-0.1666666666666666,0.11111111111111124,0.0,0.0,-0.16666666666666666,,,0.0,0.09999999999999996,0.0,,0.0,0.0,0.0,
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333341,0.04166666666666671,0.11764705882352935,-0.4666666666666666,,,-0.20000000000000004,0.0,,0.0,0.0,0.0,-0.20000000000000004,0.0,-0.07692307692307697,-0.040000000000000036,,,0.0,-0.09090909090909087,0.0,,0.0,0.0,0.0,
2019-03-06,0.0,0.0,0.0,-0.7999999999999999,-0.20000000000000004,0.0,-0.07692307692307697,0.0,0.0,0.0,,,0.0,0.0,,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06250000000000007,,,0.0,0.0,,0.0,0.0,0.0,-0.12499999999999993,0.0,-0.0833333333333333,-0.04166666666666659,,,0.0,0.3,0.0,,0.0,0.09090909090909087,0.0,
2019-03-08,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0,-0.04347826086956525,,,0.0,0.0,0.0,,0.0,-0.0833333333333333,0.0,
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,-0.07999999999999996,-0.1052631578947368,-0.06666666666666654,,,0.0,-0.20000000000000004,0.0,0.0,0.0,-0.11111111111111106,-0.2857142857142857,0.0,-0.09090909090909087,-0.0454545454545455,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2019-03-12,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.04347826086956525,0.0,0.0,,,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,
2019-03-13,0.0,0.0,-0.5,0.0,0.0,0.0,-0.09090909090909087,0.0454545454545455,0.0,-0.07142857142857148,,,0.0,0.0,0.04166666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-0.15384615384615388,0.0,,0.0,0.0,0.0,
