date,ASTRAL ASIA BHD,BATU KAWAN BHD,BLD PLANTATION BHD,BOUSTEAD PLANTATIONS BHD,CEPATWAWASAN GROUP BHD,CHIN TECK PLANTATIONS BHD,DUTALAND BHD,FAR EAST HOLDINGS BHD,FGV HOLDINGS BERHAD,GENTING PLANTATIONS BERHAD,GENTING PLANTATIONS BERHAD-WARRANT A 13/19,GOLDEN LAND BERHAD,GOPENG BHD,HAP SENG PLANTATIONS HOLDINGS,HARN LEN CORPORATION BHD,IJM PLANTATIONS BHD,INCH KENNETH KAJANG RUBBER PLC,INNOPRISE PLANTATIONS BERHAD,IOI CORPORATION BHD,JAYA TIASA HOLDINGS BHD,KIM LOONG RESOURCES BERHAD-WARRANTS B,KIM LOONG RESOURCES BHD,KLUANG RUBBER CO (M) BHD,KRETAM HOLDINGS BHD,KUALA LUMPUR KEPONG BHD,KWANTAS CORPORATION BHD,MALPAC HOLDINGS BHD,MHC PLANTATIONS BHD,NEGRI SEMBILAN OIL PALMS BHD,NPC RESOURCES BHD,PINEHILL PACIFIC BERHAD,PLS PLANTATIONS BERHAD,RIMBUNAN SAWIT BHD,RIVERVIEW RUBBER ESTATES BHD,SARAWAK OIL PALMS BHD,SARAWAK PLANTATION BHD,SIME DARBY PLANTATION BERHAD,SIN HENG CHAN (MALAYA) BHD,SUNGEI BAGAN RUBBER CO (M) BHD,TA ANN HOLDINGS BHD,TDM BHD,TH PLANTATIONS BHD,TSH RESOURCES BHD,UNITED MALACCA BHD,UNITED PLANTATIONS BHD
2019-02-26,0.0,0.026995305164319302,-0.019718309859154886,-0.11340206185567007,-0.016666666666666684,0.0,0.0,0.0,-0.04132231404958681,0.007590132827324484,0.01851851851851845,0.0,0.0,0.005181347150259072,0.0,-0.005586592178770954,0.008064516129032265,-0.04026845637583897,-0.008695652173913052,-0.07936507936507943,0.0,0.007751937984496131,-0.02228412256267412,-0.012500000000000013,-0.008730158730158684,0.0,0.0,-0.02362204724409451,0.0,0.0,-0.04411764705882357,0.13333333333333333,0.0,0.0,-0.0190114068441064,0.0,-0.0038022813688212117,0.09999999999999996,0.0,-0.031007751937984523,-0.05000000000000005,-0.02564102564102566,-0.02678571428571431,0.00909090909090906,0.01636904761904767
2019-02-27,0.0,-0.02285714285714277,0.0,-0.017441860465116296,0.0169491525423729,0.0,-0.029702970297029733,-0.04240282685512371,0.017241379310344845,-0.009416195856873793,-0.032727272727272674,0.05333333333333338,0.0,0.0,0.0,-0.022471910112359567,0.008000000000000007,-0.006993006993007,-0.015350877192982325,0.0,0.0,0.0,0.0028490028490029146,0.03797468354430369,-0.007205764611689341,0.0,0.0,-0.01612903225806453,0.0060975609756097615,0.0,0.015384615384615398,-0.04411764705882357,-0.02439024390243891,0.0,-0.007751937984496131,0.0,-0.02862595419847335,0.0,0.010101010101010034,0.0,0.0,0.0,0.027522935779816536,0.001801801801801764,0.00585651537335286
2019-02-28,0.0,0.0,0.0,-0.07100591715976325,0.0,0.0,0.0,0.0,-0.0508474576271185,-0.0019011406844106054,-0.022556390977443632,-0.03797468354430383,0.0,0.0,0.0,-0.011494252873563229,0.007936507936507943,0.007042253521126767,0.0,-0.08620689655172402,-0.0181818181818182,-0.023076923076923096,0.02556818181818177,-0.03658536585365844,-0.002419354838709769,-0.08791208791208799,0.0,0.0,0.0,0.0,-0.06060606060606065,-0.03589743589743593,-0.05000000000000005,-0.009836065573770428,-0.007812500000000007,-0.006329113924050638,0.0019646365422396443,-0.15909090909090912,0.0,-0.008000000000000007,-0.05263157894736847,-0.10526315789473677,-0.05357142857142862,-0.010791366906474751,-0.004366812227074272
2019-03-01,0.0,0.004678362573099315,0.0,-0.019108280254777087,-0.016666666666666684,0.0,0.0,0.02214022140221404,0.06249999999999985,0.0,-0.030769230769230795,0.02631578947368424,0.0,0.0,-0.02127659574468076,0.0,0.007874015748031503,0.0,0.006681514476614556,-0.009433962264150952,0.0,-0.007874015748031503,-0.02493074792243764,0.025316455696202552,0.00080840743734855,0.0,0.0,0.0,0.0,0.0,0.03225806451612906,0.06382978723404263,-0.02631578947368424,0.0,0.007874015748031503,-0.006369426751592361,0.001960784313725623,0.1891891891891892,0.0,-0.008064516129032265,-0.027777777777777804,0.0,0.03773584905660381,0.00909090909090906,0.002192982456140434
2019-03-04,0.0,-0.00698486612339936,0.0,0.06493506493506485,0.0169491525423729,0.0,0.02040816326530614,0.0,-0.008403361344537823,-0.00952380952380949,0.011904761904761828,-0.05128205128205133,0.0,-0.04123711340206178,0.08695652173913039,0.0,-0.031250000000000035,0.0,0.0,0.019047619047619063,-0.2222222222222223,0.0,0.011363636363636373,-0.012345679012345687,0.0,0.0,-0.011627906976744195,-0.016393442622950834,0.0,0.0,0.015625000000000014,-0.040000000000000036,0.0,0.0,-0.007812500000000007,-0.01282051282051283,0.0,0.0,0.0,-0.004065040650406418,0.0,0.0,0.0,-0.009009009009008978,0.002188183807439778
2019-03-05,0.0,0.02344665885111384,0.0,0.0,0.025000000000000026,0.0,0.0,0.010830324909747224,-0.0169491525423729,0.001923076923076882,-0.019607843137254832,0.04054054054054058,-0.014492753623188259,0.0107526881720429,0.30000000000000004,0.0,0.0241935483870968,0.0,0.0,0.08411214953271014,0.0,0.023809523809523832,0.011235955056179784,0.0,-0.0016155088852989779,0.0,0.0,0.0,-0.009090909090909031,0.0,0.04615384615384618,-0.04687499999999993,0.08108108108108115,0.0,0.03149606299212601,0.0,-0.003913894324853319,0.0,0.0,0.0,0.0,0.03921568627450984,0.009090909090909096,0.0,-0.006550218340611343
2019-03-06,0.03448275862068969,0.0,0.0,-0.0060975609756097615,0.0,0.0,0.0,0.0,0.03448275862068969,0.001919385796545065,0.008000000000000007,0.0,0.0,0.031914893617021316,0.015384615384615398,0.0,-0.02362204724409451,0.048951048951048994,0.002212389380531123,-0.008620689655172422,0.14285714285714285,0.0,0.0,0.024999999999999883,0.0032362459546926322,0.0,0.0,0.06666666666666674,0.0,0.0,-0.029411764705882373,0.0,-0.025000000000000026,0.0,0.061068702290076216,0.0,0.007858546168958749,0.0,0.0,0.03265306122448964,0.0571428571428572,-0.018867924528301903,0.009009009009009016,0.00181818181818178,0.0036630036630035854
2019-03-07,-0.03333333333333337,-0.02405498281786951,0.0,0.0,-0.016260162601626032,0.0,-0.010000000000000007,-0.00714285714285715,-0.025000000000000026,-0.0038314176245209924,-0.0436507936507936,0.0,0.0,-0.04123711340206178,0.022727272727272745,0.0,0.0241935483870968,-0.013333333333333345,0.0,0.008695652173913052,0.02083333333333336,0.007751937984496131,-0.013888888888888964,-0.03658536585365844,0.0008064516129032086,0.0,0.0,0.0,0.0,0.0,0.030303030303030325,0.03825136612021849,0.02564102564102566,0.0,-0.04676258992805752,0.0,0.0019493177387913813,-0.15909090909090912,0.0,-0.011857707509881346,0.0,-0.019230769230769246,-0.01785714285714287,-0.001814882032667838,0.0
2019-03-08,0.0,0.0011737089201877685,0.0,0.0,-0.008264462809917363,0.0,0.0,0.0,-0.008547008547008555,0.0,0.0373443983402489,0.025974025974026,0.0,0.00537634408602151,-0.03703703703703707,-0.011627906976744195,0.007874015748031503,0.0,-0.004415011037527695,0.0,0.10204081632653073,0.0,0.014084507042253596,0.012658227848101276,-0.0016116035455277658,0.0,0.0,-0.06250000000000007,0.0,0.0,-0.05882352941176475,0.0,-0.025000000000000026,0.0,-0.01886792452830182,0.012987012987012998,-0.007782101167315181,0.0,0.0,-0.019999999999999928,0.0,0.0,0.0,-0.0054545454545455,0.0
2019-03-11,0.0,0.0070339976553341725,0.0,-0.024539877300613383,0.0,-0.0285714285714286,0.010101010101010107,0.0,-0.034482758620689495,0.003846153846153764,0.0,0.0,0.029411764705882214,-0.037433155080213935,0.06923076923076912,0.0,-0.023437500000000017,-0.013513513513513526,0.0,-0.034482758620689495,0.0,0.0,-0.019444444444444525,-0.025000000000000026,0.0,0.0,0.0,0.0,0.0,0.0,-0.031250000000000035,0.021052631578947392,0.0,-0.006622516556291397,-0.0038461538461539353,0.0,0.0,0.0,-0.013333333333333345,-0.012244897959183772,-0.027027027027027053,-0.00980392156862746,0.0,-0.003656307129798826,0.0
