date,CIMB FTSE ASEAN 40 MALAYSIA,CIMB FTSE CHINA 50,FTSE BURSA MALAYSIA KLCI ETF,MYETF DOW JONES U.S. TITANS 50,MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS,MyETF DJISLAMICMKTMSIATITANS25,MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,MyETF MSCI SEA ISLAMIC DIVIDEND,TRADEPLUS S&P NEW CHINA TRACKER-MYR,TRADEPLUS S&P NEW CHINA TRACKER-USD
2019-02-26,0.008064516129032206,0.003058103975535103,0.013966480446927323,0.01470588235294108,0.0,0.013392857142857057,-0.016877637130801704,0.0,0.0,0.0
2019-02-27,0.0,0.003048780487804949,0.0,-0.004830917874396033,0.0,0.0,0.0,-0.0035502958579880376,0.0,0.0
2019-02-28,0.0,-0.024316109422492425,-0.00275482093663906,0.0,0.0,0.0,0.00858369098712447,0.0,0.003546099290780224,0.0
2019-03-01,0.0,-0.0031152647975077213,0.0,0.0,0.0,0.0,-0.00851063829787235,0.0,0.003533568904593564,0.0
2019-03-04,0.0,0.02187499999999995,-0.016574585635359133,0.03398058252427177,0.0,0.0,-0.02145922746781128,-0.01900237529691226,0.008802816901408576,0.0
2019-03-05,-0.002666666666666609,0.0,0.0,0.0,0.0,-0.008810572687224677,0.0,0.0,0.005235602094240726,0.0
2019-03-06,0.0,0.015290519877675787,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017361111111110742,0.0
2019-03-07,0.0,-0.024096385542168558,0.0,0.0,0.0,0.0,0.0,0.0,0.0017391304347825715,0.0
2019-03-08,0.0,-0.021604938271605024,0.0,0.0,0.0,0.0,0.0,0.0,-0.026041666666666567,0.0
2019-03-11,0.0,0.0,-0.005617977528089893,0.0,0.0,-0.022222222222222143,-0.026315789473684043,-0.024213075060532708,0.0035650623885917243,0.0
2019-03-12,-0.002673796791443912,0.015772870662460654,0.008474576271186385,0.0,0.0,-0.009090909090909096,0.0,0.0,0.02131438721136769,0.0
2019-03-13,0.0,0.0,-0.0028011204481792123,0.0,0.0,0.0,0.0,0.0,-0.0034782608695651434,0.0
2019-03-14,-0.0053619302949061715,-0.003105590062111873,0.0,0.0,0.0,0.0,0.0,0.0,0.001745200698080242,0.0
2019-03-15,0.0,0.018691588785046745,0.0,0.0,0.0,0.0,0.0,0.0,0.0052264808362368215,0.0
2019-03-18,0.0,0.009174311926605444,0.0,-0.004694835680751074,0.0,0.0,0.0,0.0,0.0034662045060659392,0.0
2019-03-19,0.0,-0.012121212121212132,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271157167529855,0.0
2019-03-20,0.0,-0.0030674846625766213,0.0,0.0,0.0,0.0,0.0,0.0012406947890820248,0.008620689655172384,0.0
2019-03-21,0.0,0.0030769230769230114,0.0,-0.014150943396226532,0.0,0.0,-0.013513513513513624,0.0,-0.003418803418803346,0.0
2019-03-22,-0.013477088948787014,-0.02147239263803676,-0.005617977528089893,0.028708133971291894,0.0,0.0,0.0,0.0,-0.0068610634648370574,0.0
2019-03-25,0.0,-0.00940438871473348,0.0,0.0,0.0,0.0,0.0,0.0,-0.03281519861830748,0.0
2019-03-26,0.010928961748633887,-0.006329113924050638,0.0,0.004651162790697782,0.0,-0.04587155963302756,0.0,0.0,0.005357142857142902,0.0
2019-03-27,0.0,0.015923566878980836,0.0,0.0,0.0,0.009615384615384623,0.022831050228310626,0.0,0.0,0.0
2019-03-28,0.0,-0.006269592476489034,-0.011299435028248598,0.0,0.0,-0.004761904761904872,0.0,0.0,0.0,0.0
2019-03-29,0.0027027027027026447,0.00946372239747642,0.0,0.01851851851851853,-0.038461538461538484,0.028708133971291894,0.0,0.0,0.01598579040852573,0.0
2019-04-01,0.0,0.01874999999999988,0.0,0.0,0.0,-0.023255813953488292,-0.008928571428571435,0.0,0.026223776223776286,0.0
2019-04-02,0.0,0.0,0.00571428571428572,0.0,0.0,0.019047619047619063,-0.06306306306306311,0.0,0.00340715502555359,0.0
2019-04-03,0.0,-0.0061349693251532425,0.0028409090909090303,0.0,0.0,0.0,0.05769230769230775,0.014869888475836444,0.0,0.0
2019-04-04,0.0,0.006172839506172707,0.0,0.0,0.0,-0.009345794392523372,0.0,-0.002442002442002444,0.011884550084889691,0.0
2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-08,0.0053908355795148286,0.01226993865030676,0.0,0.0,0.0,0.009433962264150952,0.0,0.0,0.015100671140939576,0.0
2019-04-09,0.0,0.0,-0.00283286118980164,0.0,0.0,-0.018691588785046745,0.0181818181818182,-0.0012239902080784725,0.0,0.0
2019-04-10,0.0,0.003030303030303101,0.0,-0.013636363636363748,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-11,0.0,0.0030211480362537122,0.0,0.0,0.04499999999999993,0.0,0.0,0.007352941176470731,0.008264462809917326,0.0
2019-04-12,0.0,0.012048192771084348,0.0,0.0,-0.00956937799043063,0.0,0.0,0.0,0.0,0.0
