date,CAREPLUS GROUP BERHAD,LKL INTERNATIONAL BERHAD,MSIAN GENOMICS RES CENTRE BHD,NOVA WELLNESS GROUP BERHAD
2019-02-26,-0.05000000000000005,-0.04347826086956525,0.0,-0.03960396039603964
2019-02-27,-0.02631578947368424,0.0,0.0,0.051546391752577365
2019-02-28,-0.027027027027027053,0.0,0.0,-0.00980392156862746
2019-03-01,0.0,0.0,0.0,-0.00990099009900991
2019-03-04,0.0,0.0,0.0,-0.02000000000000001
2019-03-05,0.0,0.0,0.0,0.0
2019-03-06,0.0,0.0,-0.01960784313725492,0.0
2019-03-07,-0.027777777777777804,0.0,0.040000000000000036,0.0
2019-03-08,-0.02857142857142844,0.0,0.0,0.0
2019-03-11,0.0,0.0,0.15384615384615374,-0.01020408163265307
2019-03-12,-0.029411764705882373,-0.0454545454545455,0.0,0.030927835051546417
2019-03-13,0.0,0.0,0.0,-0.010000000000000007
2019-03-14,0.030303030303030325,0.04761904761904767,0.0,-0.020202020202020214
2019-03-15,0.029411764705882214,0.13636363636363635,0.0,0.0
2019-03-18,-0.02857142857142844,-0.040000000000000036,0.0,-0.010309278350515474
2019-03-19,0.0,-0.04166666666666659,-0.09999999999999992,-0.010416666666666676
2019-03-20,-0.029411764705882373,0.04347826086956513,0.0,0.0
2019-03-21,-0.030303030303030325,-0.04166666666666659,0.0,0.0
2019-03-22,0.0,0.0,0.0,-0.010526315789473694
2019-03-25,0.0,-0.04347826086956525,0.0,0.0
2019-03-26,0.0,0.0454545454545455,0.0,-0.02127659574468076
2019-03-27,0.0,0.0,0.0,0.03260869565217382
2019-03-28,0.0,0.0,0.0,-0.010526315789473694
2019-03-29,0.0,0.0,0.0,0.0
2019-04-01,0.0,-0.04347826086956525,0.0,-0.03191489361702119
2019-04-02,0.0,0.0454545454545455,0.0,0.04395604395604387
2019-04-03,0.0,0.08695652173913039,0.0,0.010526315789473694
2019-04-04,0.031250000000000035,0.0,0.0,-0.010416666666666676
2019-04-05,-0.06060606060606065,-0.040000000000000036,0.0,-0.03157894736842096
2019-04-08,0.0,0.04166666666666671,0.0,0.0
2019-04-09,0.0,-0.040000000000000036,0.0,0.03260869565217382
2019-04-10,0.03225806451612906,0.0,0.0,0.010526315789473694
2019-04-11,-0.031250000000000035,0.0,-0.03703703703703707,0.0
2019-04-12,0.03225806451612906,0.0,0.0,0.0
