full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
GENETEC TECHNOLOGY BERHAD,"GENETEC (0104) [s]
GENETEC TECHNOLOGY BERHAD Summary",Technology - Ace Market,1.150 - 2.050,11.41,8,21.8,5,0.0282,0.93,265.43,1,74.6M,Neutral 39.8,Oversold 6.7
FOCUS LUMBER BERHAD,"FLBHD (5197)
FOCUS LUMBER BERHAD Summary",Industrial Products & Services - Main Market,0.980 - 1.870,15.12,6,26.92,14,0.0838,0.94,192.7,1,176.3M,Neutral 45.0,Oversold 10.5
FOCUS POINT HOLDINGS BERHAD,"FOCUSP (0157)
FOCUS POINT HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.160 - 0.445,12.38,9,4.3,1,0.025,1.15,108.65,0,66.0M,Overbought 72.8,Overbought 84.2
DKLS INDUSTRIES BHD,"DKLS (7528) [s]
DKLS INDUSTRIES BHD Summary",Construction - Main Market,1.560 - 1.860,1.4,29,5.97,0,0,0.4,234.66,1,158.5M,Neutral 43.5,Neutral 55.0
CWG HOLDINGS BERHAD,"CWG (9423) [s]
CWG HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.415 - 0.540,6.33,10,4.24,1.49,0.0355,0.63,79.98,1,53.0M,Neutral 43.5,Oversold 14.3
B.I.G. INDUSTRIES BERHAD,"BIG (7005) [s]
B.I.G. INDUSTRIES BERHAD Summary",Industrial Products & Services - Main Market,0.260 - 0.500,2.03,32,1.4,0,0,0.65,97.39,0,21.6M,Neutral 63.1,Neutral 70.6
IJM CORPORATION BERHAD,"IJM (3336) [s]
IJM CORPORATION BERHAD Summary",Construction - Main Market,1.390 - 2.980,2.03,38,5.21,5,0.0251,0.77,155.66,1,"7,235.0M",Neutral 60.3,Overbought 95.8
INTA BINA GROUP BERHAD,"INTA (0192) [s]
INTA BINA GROUP BERHAD Summary",Construction - Main Market,0.250 - 0.370,17.84,7,3.96,0,0,1.22,71.57,0,144.5M,Neutral 40.4,Oversold 0.0
EVERSAFE RUBBER BERHAD,"ESAFE (0190) [s]
EVERSAFE RUBBER BERHAD Summary",Industrial Products & Services - Ace Market,0.170 - 0.375,1.39,62,0.35,1.8,0.0818,0.88,46.66,0,52.9M,Neutral 48.9,Neutral 33.3
DATAPREP HOLDINGS BHD,"DATAPRP (8338) [s]
DATAPREP HOLDINGS BHD Summary",Technology - Main Market,0.175 - 0.295,-39,-11,-1.95,0,0,4.2,8.97,2,88.5M,Neutral 45.1,Neutral 28.6
PLENITUDE BERHAD,"PLENITU (5075)
PLENITUDE BERHAD Summary",Property - Main Market,1.350 - 1.650,3.13,12,12.69,4.5,0.0304,0.36,63.27,2,564.7M,Neutral 54.3,Neutral 50.0
UMS-NEIKEN GROUP BERHAD,"UMSNGB (7227) [s]
UMS-NEIKEN GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.810 - 1.100,8.05,10,10.06,3,0.0288,0.83,91.6,1,83.2M,Neutral 52.5,Neutral 79.3
WIDETECH (MALAYSIA) BERHAD,"WIDETEC (7692)
WIDETECH (MALAYSIA) BERHAD Summary",Industrial Products & Services - Main Market,0.460 - 0.655,4.83,14,3.96,0,0,0.66,17.9,3,24.2M,Neutral 44.8,Oversold 20.0
IGB BERHAD,"IGBB (5606)
IGB BERHAD Summary",Property - Main Market,2.200 - 3.080,6.85,7,34.18,2,0.008,0.5,188.83,1,"1,723.8M",Neutral 51.7,Overbought 80.0
IJM PLANTATIONS BERHAD,"IJMPLNT (2216) [s]
IJM PLANTATIONS BERHAD Summary",Plantation - Main Market,1.300 - 2.610,-2.99,-38,-4.52,5,0.0294,1.13,68.98,2,"1,497.0M",Neutral 46.4,Oversold 15.4
CYCLE & CARRIAGE BINTANG BERHAD,"CCB (2925)
CYCLE & CARRIAGE BINTANG BERHAD Summary",Consumer Products & Services - Main Market,1.440 - 2.180,7.61,7,22.15,0,0,0.54,1502.11,0,158.2M,Neutral 48.4,Neutral 77.8
KNUSFORD BERHAD,"KNUSFOR (5035) [s]
KNUSFORD BERHAD Summary",Industrial Products & Services - Main Market,0.350 - 0.810,-13.77,-2,-29.3,0,0,0.22,209.86,0,46.8M,Neutral 44.3,Neutral 63.2
LION FOREST INDUSTRIES BERHAD,"LIONFIB (8486) [s]
LION FOREST INDUSTRIES BERHAD Summary",Industrial Products & Services - Main Market,0.405 - 0.775,1.07,17,2.52,0,0,0.18,167.5,0,99.6M,Neutral 49.3,Neutral 21.1
UPA CORPORATION BHD,"UPA (7757) [s]
UPA CORPORATION BHD Summary",Consumer Products & Services - Main Market,2.050 - 2.560,3.52,19,11.52,0,0,0.66,204.5,1,171.9M,Neutral 52.4,Neutral 72.7
TROPICANA CORPORATION BERHAD,"TROP (5401) [s]
TROPICANA CORPORATION BERHAD Summary",Property - Main Market,0.805 - 0.930,4.9,8,11.56,2.78,0.0312,0.38,111.23,1,"1,308.7M",Neutral 58.8,Overbought 100.0
OCK GROUP BERHAD,"OCK (0172) [s]
OCK GROUP BERHAD Summary",Telecommunications & Media - Main Market,0.400 - 0.815,5.63,21,2.76,0,0,1.17,52.48,1,501.1M,Neutral 56.4,Neutral 46.7
COMPUTER FORMS (MALAYSIA) BERHAD,"CFM (8044) [s]
COMPUTER FORMS (MALAYSIA) BERHAD Summary",Industrial Products & Services - Main Market,0.900 - 1.360,-10.76,-10,-12.27,0,0,1.1,91.34,1,51.3M,Neutral 53.9,Neutral 55.0
MALTON BERHAD,"MALTON (6181) [s]
MALTON BERHAD Summary",Property - Main Market,0.390 - 0.935,1.49,20,2.58,2,0.0392,0.29,163.41,0,269.4M,Neutral 50.4,Neutral 33.3
AMVERTON BERHAD,"AMVERTON (5959) [s]
AMVERTON BERHAD Summary",Property - Main Market,0.870 - 1.220,10.55,5,20.67,0,0,0.52,32.64,3,372.4M,Neutral 57.2,Neutral 71.4
MENANG CORPORATION (M) BERHAD,"MENANG (1694) [s]
MENANG CORPORATION (M) BERHAD Summary",Property - Main Market,0.340 - 0.545,3.73,16,2.39,0,0,0.59,11.41,3,182.7M,Neutral 47.0,Neutral 60.0
ENG KAH CORPORATION BERHAD,"ENGKAH (7149) [s]
ENG KAH CORPORATION BERHAD Summary",Consumer Products & Services - Main Market,0.935 - 1.500,9.04,11,9.22,3,0.0286,1.03,81.72,1,74.3M,Neutral 51.7,Neutral 64.3
TEO GUAN LEE CORPORATION BERHAD,"TGL (9369) [s]
TEO GUAN LEE CORPORATION BERHAD Summary",Consumer Products & Services - Main Market,0.880 - 1.100,7.26,6,15.25,5,0.0526,0.45,219.48,0,38.7M,Neutral 43.3,Oversold 6.7
YGL CONVERGENCE BERHAD,"YGL (0086) [s]
YGL CONVERGENCE BERHAD Summary",Technology - Ace Market,0.100 - 0.170,-14.07,-12,-1.01,0,0,1.67,1.48,8,27.9M,Neutral 55.3,Neutral 40.0
THETA EDGE BERHAD,"THETA (9075) [s]
THETA EDGE BERHAD Summary",Technology - Main Market,0.240 - 0.450,-2.38,-30,-1.5,0,0,0.71,65.71,1,47.7M,Overbought 71.8,Overbought 93.8
KELINGTON GROUP BERHAD,"KGB (0151) [s]
KELINGTON GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.600 - 1.340,14.58,19,6.48,1,0.008,2.81,122.51,1,356.3M,Neutral 53.6,Neutral 30.8
SEG INTERNATIONAL BHD,"SEG (9792) [s]
SEG INTERNATIONAL BHD Summary",Consumer Products & Services - Main Market,0.605 - 0.680,45.47,19,3.33,2.7,0.0429,8.6,19.95,3,796.7M,Neutral 32.7,Oversold 0.0
